apartment_id,apartment_name,gu,legal_dong,latitude,longitude,final_local_market_id,final_local_market_name,market_definition_type,local_market_confidence,assignment_stability,algorithm_cluster,hierarchical_cluster,market_size_apartments,market_transactions_12m,dominant_legal_dong,dominant_dong_share,spatial_fragmentation_flag,low_sample_flag,data_quality_flag,cluster_algorithm_reference
A10024704,문현경동리인아파트,남구,문현동,35.1409691251054,129.074276365533,LM023,남구|문현동,LEGAL_DONG,HIGH,1.0,0.0,0.0,7.0,329.0,문현동,1.0,False,True,LOW_SAMPLE,KMEANS_K3_SEED20260911
A10024875,브라운스톤하이포레,서구,동대신동3가,35.1184561607383,129.019216891509,LM069,서구|동대신동3가,LEGAL_DONG,HIGH,1.0,0.0,0.0,1.0,32.0,동대신동3가,1.0,False,True,LOW_SAMPLE,KMEANS_K3_SEED20260911
A10024909,일광자이푸르지오2단지,기장군,일광읍삼성리,35.266508511069,129.224075807701,LM014,기장군|일광읍삼성리,LEGAL_DONG,HIGH,1.0,0.0,0.0,6.0,308.0,일광읍삼성리,1.0,False,True,LOW_SAMPLE,KMEANS_K3_SEED20260911
A10024919,일광신도시비스타동원1차,기장군,일광읍삼성리,35.2686940584841,129.22713210067,LM014,기장군|일광읍삼성리,LEGAL_DONG,HIGH,1.0,0.0,0.0,6.0,308.0,일광읍삼성리,1.0,False,True,LOW_SAMPLE,KMEANS_K3_SEED20260911
A10024933,이지더원1차오션포레,기장군,일광읍삼성리,35.2678015529625,129.221833789339,LM014,기장군|일광읍삼성리,LEGAL_DONG,HIGH,1.0,0.0,0.0,6.0,308.0,일광읍삼성리,1.0,False,True,LOW_SAMPLE,KMEANS_K3_SEED20260911
A10024953,포레나부산초읍,부산진구,초읍동,35.1758848111544,129.045748934043,LM048,부산진구|초읍동,LEGAL_DONG,HIGH,1.0,1.0,1.0,2.0,139.0,초읍동,1.0,False,True,LOW_SAMPLE,KMEANS_K3_SEED20260911
A10024982,쌍용더플래티넘사직아시아드아파트,동래구,사직동,35.1962684818295,129.067245241012,LM035,동래구|사직동,LEGAL_DONG,HIGH,1.0,1.0,1.0,9.0,540.0,사직동,1.0,False,False,OK,KMEANS_K3_SEED20260911
A10024998,범양레우스센트럴베이,동구,초량동,35.121213153349,129.041661018536,LM030,동구|초량동,LEGAL_DONG,MEDIUM,1.0,1.0,0.0,2.0,86.0,초량동,1.0,False,True,LOW_SAMPLE,KMEANS_K3_SEED20260911
A10025042,e편한세상일광,기장군,일광읍삼성리,35.269062848856,129.22605244534,LM014,기장군|일광읍삼성리,LEGAL_DONG,HIGH,1.0,0.0,0.0,6.0,308.0,일광읍삼성리,1.0,False,True,LOW_SAMPLE,KMEANS_K3_SEED20260911
A10025075,e편한세상오션테라스3단지,수영구,민락동,35.1560922571174,129.128683849328,LM078,수영구|민락동,LEGAL_DONG,HIGH,1.0,1.0,1.0,5.0,219.0,민락동,1.0,False,True,LOW_SAMPLE,KMEANS_K3_SEED20260911
A10025135,시청역비스타동원,연제구,연산동,35.1792657348573,129.076959383109,LM081,연제구|연산동,LEGAL_DONG,HIGH,1.0,0.0,0.0,16.0,1001.0,연산동,1.0,False,False,OK,KMEANS_K3_SEED20260911
A10025154,명지화전우방아이유쉘,강서구,화전동,35.1107280033447,128.885585412422,LM004,강서구|화전동,LEGAL_DONG,MEDIUM,0.8,0.0,0.0,1.0,8.0,화전동,1.0,False,True,LOW_SAMPLE,KMEANS_K3_SEED20260911
A10025181,엘시티,해운대구,중동,35.1613327099223,129.168013841974,LM092,해운대구|중동,LEGAL_DONG,MEDIUM,1.0,1.0,0.0,5.0,254.0,중동,1.0,False,True,LOW_SAMPLE,KMEANS_K3_SEED20260911
A10025214,해운대비스타동원,해운대구,우동,35.1659202892898,129.162169592708,LM089,해운대구|우동,LEGAL_DONG,HIGH,1.0,1.0,1.0,19.0,766.0,우동,1.0,False,False,OK,KMEANS_K3_SEED20260911
A10025235,더 래디언트 금정산,북구,만덕동,35.2150395342966,129.03721493208,LM052,북구|만덕동,LEGAL_DONG,HIGH,1.0,0.0,0.0,13.0,569.0,만덕동,1.0,False,False,OK,KMEANS_K3_SEED20260911
A10025258,아시아드코오롱하늘채,연제구,거제동,35.1935398467592,129.064828479989,,,,,,,,,,,,,,INSUFFICIENT_CLUSTER_FEATURES,KMEANS_K3_SEED20260911
A10025342,e편한세상동래명장1단지,동래구,명장동,35.2051196931617,129.105513244994,LM033,동래구|명장동,LEGAL_DONG,HIGH,1.0,1.0,1.0,2.0,132.0,명장동,1.0,False,True,LOW_SAMPLE,KMEANS_K3_SEED20260911
A10025359,e편한세상부산항,동구,초량동,35.1230980159299,129.039977255617,LM030,동구|초량동,LEGAL_DONG,HIGH,1.0,0.0,0.0,2.0,86.0,초량동,1.0,False,True,LOW_SAMPLE,KMEANS_K3_SEED20260911
A10025380,협성휴포레부산진역오션뷰,동구,수정동,35.1273388202404,129.046454260579,LM028,동구|수정동,LEGAL_DONG,HIGH,1.0,0.0,0.0,1.0,29.0,수정동,1.0,False,True,LOW_SAMPLE,KMEANS_K3_SEED20260911
A10025433,수영SKVIEW1단지,수영구,망미동,35.1767886824248,129.101455155274,LM077,수영구|망미동,LEGAL_DONG,HIGH,1.0,1.0,1.0,4.0,145.0,망미동,1.0,False,True,LOW_SAMPLE,KMEANS_K3_SEED20260911
A10025434,서면2차봄여름가을겨울,부산진구,당감동,35.1586192511082,129.049074269119,LM040,부산진구|당감동,LEGAL_DONG,HIGH,1.0,0.0,0.0,10.0,393.0,당감동,1.0,False,False,OK,KMEANS_K3_SEED20260911
A10025463,동래효성해링턴플레이스,동래구,온천동,35.2072259634661,129.067811034236,LM037,동래구|온천동,LEGAL_DONG,HIGH,1.0,1.0,1.0,9.0,647.0,온천동,1.0,False,False,OK,KMEANS_K3_SEED20260911
A10025508,베스티움,남구,문현동,35.1390189910716,129.070427032654,LM023,남구|문현동,LEGAL_DONG,HIGH,1.0,1.0,1.0,7.0,329.0,문현동,1.0,False,True,LOW_SAMPLE,KMEANS_K3_SEED20260911
A10025540,삼한골든뷰센트럴파크,부산진구,범전동,35.1651823884655,129.062929485071,LM041,부산진구|범전동,LEGAL_DONG,HIGH,1.0,1.0,1.0,1.0,72.0,범전동,1.0,False,True,LOW_SAMPLE,KMEANS_K3_SEED20260911
A10025559,연산더샵,연제구,연산동,35.1744192055912,129.084553611316,LM081,연제구|연산동,LEGAL_DONG,HIGH,1.0,1.0,1.0,16.0,1001.0,연산동,1.0,False,False,OK,KMEANS_K3_SEED20260911
A10025593,대연자이,남구,대연동,35.1297154922914,129.101975964378,LM022,남구|대연동,LEGAL_DONG,HIGH,1.0,1.0,1.0,12.0,982.0,대연동,1.0,False,False,OK,KMEANS_K3_SEED20260911
A10025662,포레나동래,동래구,낙민동,35.196597853658,129.090761438022,LM031,동래구|낙민동,LEGAL_DONG,HIGH,1.0,0.0,0.0,6.0,143.0,낙민동,1.0,False,True,LOW_SAMPLE,KMEANS_K3_SEED20260911
A10025687,명륜자이,동래구,명륜동,35.2067512543455,129.081153682083,LM032,동래구|명륜동,LEGAL_DONG,HIGH,1.0,1.0,1.0,5.0,306.0,명륜동,1.0,False,True,LOW_SAMPLE,KMEANS_K3_SEED20260911
A10025749,부산정관 행복주택,기장군,정관읍,35.3419618136679,129.161652328411,,,,,,,,,,,,,,INSUFFICIENT_CLUSTER_FEATURES,KMEANS_K3_SEED20260911
