apartment_id,apartment_name,legal_dong,gu,school_premium_core_score,gap_confidence,has_6m_price,has_12m_price,has_24m_price,transaction_count_6m,transaction_count_12m,transaction_count_24m,gap_6m,gap_12m,gap_24m,temporal_sign_pattern,temporal_stability,temporal_std,temporal_range,temporal_cv,temporal_median,temporal_min,temporal_max,residual_method_gap_pct,comparable_method_gap_pct,gap_method_agreement,gap_method_abs_diff,large_method_disagreement,bootstrap_iterations,bootstrap_gap_median,bootstrap_gap_p05,bootstrap_gap_p25,bootstrap_gap_p75,bootstrap_gap_p95,gap_positive_probability,gap_negative_probability,bootstrap_iqr,bootstrap_stability,sanity_flag,phase145_gap_reproduced,phase145_reproduction_error
A10022847,대연비치,대연동,남구,77.64387417218543,HIGH,True,True,True,24.0,78.0,88.0,-77.17985567069707,-68.0904637712283,-69.57465775267245,---,STABLE_NEGATIVE,4.876113757372248,9.089391899468765,0.06808789045539095,-69.57465775267245,-77.17985567069707,-68.0904637712283,-67.37664077382429,-86.98307056756983,STRONG_NEGATIVE,19.606429793745534,False,500,-68.4699892983522,-99.9526896805609,-92.13852965550436,-66.5348835494626,-57.27893828045819,0.0,1.0,25.60364610604175,VERY_STABLE_NEGATIVE,False,-77.17985567069705,0.0
A10022890,레이카운티(5단지),거제동,연제구,80.79547461368652,LOW,True,True,True,146.0,345.0,402.0,-17.983946584586505,-16.503770082568376,-25.689692645640022,---,STABLE_NEGATIVE,4.932048563043508,9.185922563071646,0.2458754183355077,-17.983946584586505,-25.689692645640022,-16.503770082568376,8.009387990720796,-32.90462698986858,MIXED_POSITIVE_RESIDUAL,40.91401498058938,False,500,-16.272818440380814,-56.066094737746,-27.867719280145725,-8.586674456314926,-4.993499447275667,0.002,0.998,19.281044823830797,VERY_STABLE_NEGATIVE,False,-12.447619499573891,0.0
A10022905,포레나부산덕천2차,덕천동,북구,67.33973509933774,MEDIUM,True,True,True,30.0,47.0,60.0,-121.83196040664672,-119.7721289942417,-113.39999965558401,---,STABLE_NEGATIVE,4.395924246078679,8.431960751062704,0.03714822770995797,-119.7721289942417,-121.83196040664672,-113.39999965558401,-25.631429615726557,-218.03249119756688,STRONG_NEGATIVE,192.40106158184034,True,500,-119.57416309873251,-130.2730710879846,-123.89147276469615,-50.23934971242322,-11.56566621003069,0.002,0.998,73.65212305227293,VERY_STABLE_NEGATIVE,False,-121.8319604066467,0.0
A10022985,경동포레스트힐 행복주택 아미,아미동2가,서구,44.87897350993377,LOW,False,False,False,,,,,,,NANANA,INSUFFICIENT,,,,,,,,,INSUFFICIENT,,False,0,,,,,,,,,,False,,
A10022999,대연푸르지오클라센트1단지,대연동,남구,45.4014348785872,MEDIUM,True,True,True,50.0,92.0,95.0,8.179339443696893,6.866193600007276,3.9965038219810296,+++,STABLE_POSITIVE,2.13914255669582,4.1828356217158635,0.337013719454142,6.866193600007276,3.9965038219810296,8.179339443696893,1.707527916011886,14.6511509713819,STRONG_POSITIVE,12.943623055370015,False,500,7.239939951181961,-2.267441880866155,3.4320121747021357,10.105315560895244,16.986889166045334,0.944,0.05600000000000005,6.673303386193108,VERY_STABLE_POSITIVE,False,8.179339443696893,0.0
A10023014,시청앞 행복주택2단지,연산동,연제구,32.301821192052984,LOW,False,False,False,,,,,,,NANANA,INSUFFICIENT,,,,,,,,,INSUFFICIENT,,False,0,,,,,,,,,,False,,
A10023021,서면비스타동원,당감동,부산진구,62.1960816777042,MEDIUM,True,True,True,24.0,57.0,78.0,-71.65976450555017,-60.5532295432571,-54.448764634949214,---,STABLE_NEGATIVE,8.72580585802086,17.210999870600958,0.14023985286891316,-60.5532295432571,-71.65976450555017,-54.448764634949214,-7.973463266726632,-135.3460657443737,STRONG_NEGATIVE,127.37260247764708,True,500,-56.07900096483501,-104.30728210790096,-67.77668508165624,-39.04265084585646,-29.16882645708085,0.0,1.0,28.734034235799783,VERY_STABLE_NEGATIVE,False,-71.65976450555016,0.0
A10023040,양정포레힐즈스위첸1단지,양정동,부산진구,64.81462472406182,HIGH,True,True,True,54.0,141.0,159.0,-21.54267862406385,-11.178713074971823,-17.234340637410085,---,STABLE_NEGATIVE,5.206473267080962,10.363965549092027,0.3126652151958858,-17.234340637410085,-21.54267862406385,-11.178713074971823,-4.497769809913565,-38.587587438214136,STRONG_NEGATIVE,34.08981762830057,False,500,-11.666115315863035,-29.3017935830876,-14.132144408570255,-10.598564197558952,-4.581685541332658,0.028,0.972,3.5335802110113033,VERY_STABLE_NEGATIVE,False,-21.54267862406385,0.0
A10023104,사상중흥에스-클래스그랜드센트럴,덕포동,사상구,49.122130242825605,LOW,True,True,True,51.0,100.0,128.0,-27.72694819149032,-27.769907351222432,-27.610200441433285,---,STABLE_NEGATIVE,0.08264565282242373,0.15970690978914703,0.0029833442603786737,-27.72694819149032,-27.769907351222432,-27.610200441433285,-27.72694819149032,,INSUFFICIENT,,False,500,-27.83751558749409,-29.382080889653214,-28.452830539133487,-27.345620457084852,-26.43221488839774,0.0,1.0,1.1072100820486348,VERY_STABLE_NEGATIVE,False,-27.72694819149032,0.0
A10023208,두산위브더제니스하버시티,범일동,동구,63.84878587196467,LOW,True,True,True,33.0,93.0,161.0,-14.381767353086538,-10.09433171484726,-9.327265925146522,---,STABLE_NEGATIVE,2.723921161451542,5.054501427940016,0.24174408334872632,-10.09433171484726,-14.381767353086538,-9.327265925146522,-14.381767353086538,,INSUFFICIENT,,False,500,-10.64459046045365,-16.544508516589303,-13.225380249083063,-8.906189120679286,-6.317099105125512,0.0,1.0,4.3191911284037765,VERY_STABLE_NEGATIVE,False,-14.381767353086538,0.0
