apartment_id,apartment_name,gu,legal_dong,household_count,elementary_school_name,primary_market,fallback_level,fallback_market_name,school_premium_core_score,estimated_school_premium_pct,school_premium_confidence,representative_area_m2,recent_6m_market_price,recent_12m_market_price,transaction_count_6m,transaction_count_12m,comparable_apartment_count,comparable_transaction_count,local_fair_price_per_m2,local_fair_total_price,fair_price_lower,fair_price_upper,prediction_interval_width_pct,selected_model_type,local_model_rmse,local_model_mae,recent_local_residual,residual_volatility,model_confidence,low_sample_flag,fallback_flag,data_quality_flag,school_value_gap_pct,gap_confidence,gap_positive_probability,candidate_tier,residual_6m_median,residual_12m_median,residual_temporal_stability,fair_price_lower_per_m2,fair_price_upper_per_m2,observed_unit_price_6m,observed_unit_price_12m,observed_market_price_6m,observed_market_price_12m,has_6m_market_price,has_12m_market_price,local_value_gap_6m_pct,local_value_gap_12m_pct,local_value_gap_pct,fair_price_lower_gap_pct,fair_price_upper_gap_pct,local_gap_temporal_stability,local_gap_temporal_abs_diff,local_gap_interval_status,point_gap_status,local_gap_confidence,local_sign,school_sign,school_local_signal_agreement,strong_dual_positive,extreme_gap_flag,dong_bias_flag,residual_gap_direction_consistent,combined_candidate_class,phase154_audit_priority
A10022541,에코델타스마트시티수자인,강서구,강동동,554.0,,강서구|강동동,1,강서구|강동동;강서구|명지동,84.39039735099338,15.707645281770244,C,132.9686,6200712.047806775,6302556.01482424,2,3,25,7554,6503829.09905646,864805049.9407989,539199184.6613766,1387034319.9290814,98.03771790251965,F_S,0.2410301317701672,0.1824645800248972,-0.1121934741662631,0.1015076831974475,MEDIUM,True,True,OK,4.852893870474006,LOW,0.716,NOT_CANDIDATE,-0.03564492641694361,-0.11219347416626313,STABLE_NEGATIVE,4055086.5742842793,10431292.199279238,6200712.047806775,6302556.01482424,824500000.0,838042049.7127584,True,True,4.888423279660259,3.1935151985766685,3.1935151985766685,-35.65965039031289,65.50891693376148,STABLE_POSITIVE,1.6949080810835904,POTENTIAL_UNDERVALUED_SIGNAL,POSITIVE,MEDIUM,POSITIVE,POSITIVE,DOUBLE_POSITIVE,False,False,False,True,UNCERTAIN,LOW
A10022568,해운대경동리인뷰2차,해운대구,우동,632.0,해운대초등학교,해운대구|우동,0,해운대구|우동,81.58217439293598,14.337341114040411,B,84.9773,10620483.35261299,11179456.160645254,2,5,18,3922,11627771.889667915,988096660.1998774,594002536.8560009,1643654613.1028368,106.22969579054204,F_S,0.2596412943969097,0.2081108828451275,-0.065610612319336,0.0519806628406014,MEDIUM,False,False,OK,22.117697091821555,MEDIUM,0.998,TIER_1,-0.08571088786846559,-0.06561061231933607,STABLE_NEGATIVE,6990131.915888136,19342278.62150053,10620483.35261299,11179456.160645254,902499999.9999999,949999999.9999999,True,True,9.484394481980885,4.010174757881835,4.010174757881835,-37.473417173052525,73.01627506345653,STABLE_POSITIVE,5.474219724099051,POTENTIAL_UNDERVALUED_SIGNAL,POSITIVE,LOW,POSITIVE,POSITIVE,DOUBLE_POSITIVE,False,False,False,True,UNCERTAIN,LOW
A10022574,초읍하늘채포레스원,부산진구,초읍동,756.0,초읍초등학교,부산진구|초읍동,1,부산진구|가야동;부산진구|초읍동,61.15353200883003,4.84546555839156,B,59.994,8417508.417508418,8429472.765235096,11,18,5,1078,7545585.523805007,452689857.9151576,282248585.74662215,726055391.6228015,98.03771790251967,F_S,0.2410301317701672,0.1824645800248972,0.1158901333535142,0.0884365850592498,MEDIUM,True,True,OK,-16.994100679980853,HIGH,0.044,NOT_CANDIDATE,0.11513531484501804,0.11589013335351428,STABLE_POSITIVE,4704613.557132749,12102133.407054065,8417508.417508418,8429472.765235096,505000000.0,505717789.07751435,True,True,-10.358443977196508,-10.48567645980688,-10.48567645980688,-44.18851939903576,43.56928059564753,STABLE_NEGATIVE,0.12723248261037234,POTENTIAL_OVERVALUED_SIGNAL,NEGATIVE,MEDIUM,NEGATIVE,NEGATIVE,DOUBLE_NEGATIVE,False,False,False,True,NEGATIVE_OR_FULLY_PRICED,LOW
A10022591,사직하늘채리센티아,동래구,사직동,690.0,금강초등학교,동래구|사직동,0,동래구|사직동,77.53211920529802,12.389600394485466,B,84.8978,8680497.592831245,8668982.87433048,27,42,8,2944,8837349.752006717,750271551.7759159,532674377.40230644,1056757045.7384712,69.85239772128436,F_S,0.1747576003859271,0.129441481273205,-0.0145811810988769,0.1466019503832571,HIGH,False,False,OK,-23.653233623963025,MEDIUM,0.102,NOT_CANDIDATE,-0.010679019144607338,-0.01458118109887696,STABLE_NEGATIVE,6274301.3058325,12447402.00262517,8680497.592831245,8668982.87433048,736955148.5366684,735977574.2683343,True,True,1.806948939252151,1.94217568677848,1.94217568677848,-27.623558648256363,43.5854953582026,STABLE_POSITIVE,0.13522674752632913,WITHIN_MODEL_RANGE,NEUTRAL_POINT_GAP,HIGH,NEUTRAL,NEGATIVE,MIXED_OR_NEUTRAL,False,False,False,True,UNCERTAIN,LOW
A10022696,에코델타호반써밋스마트시티,강서구,강동동,526.0,,강서구|강동동,1,강서구|강동동;강서구|명지동,84.39039735099338,15.707645281770263,C,84.9146,,6925729.910377404,0,2,25,7551,7195134.944996691,610972005.800416,380936266.9668291,979919278.4768069,98.03771790251965,F_S,0.2410301317701672,0.1824645800248972,-0.0144897712328733,0.0755918976189701,MEDIUM,True,True,OK,-21.4727566923658,LOW,0.034,NOT_CANDIDATE,,-0.014489771232873316,INSUFFICIENT,4486110.362256069,11540056.462337537,,6925729.910377404,,588095585.0477331,False,True,,3.8899154039434114,3.8899154039434114,-35.22545030908364,66.6258518838007,INSUFFICIENT,,POTENTIAL_UNDERVALUED_SIGNAL,POSITIVE,LOW,POSITIVE,NEGATIVE,LOCAL_ONLY_POSITIVE,False,False,False,True,UNCERTAIN,LOW
A10022844,롯데캐슬라센트,부산진구,부암동,2195.0,동평초등학교,부산진구|부암동,0,부산진구|부암동,70.84387417218544,9.24547906344728,B,72.13,7031514.740765842,7179054.0540540535,45,70,11,2115,7828408.052957275,564663072.8598082,430202394.88433015,741149723.1139537,55.06776397733806,F_S,0.1387619583272264,0.1076887481608878,-0.0657616336574919,0.0753427846890337,HIGH,False,False,OK,-42.05620897088538,HIGH,0.0,NOT_CANDIDATE,-0.07712575501112973,-0.06576163365749199,STABLE_NEGATIVE,5964264.451467214,10275193.721252652,7031514.740765842,7179054.0540540535,507183158.2514401,517825168.91891885,True,True,11.333167056756244,9.045119231781351,9.045119231781351,-16.921304581915496,43.1274043054487,STABLE_POSITIVE,2.2880478249748926,POTENTIAL_UNDERVALUED_SIGNAL,POSITIVE,HIGH,POSITIVE,NEGATIVE,LOCAL_ONLY_POSITIVE,False,False,False,True,LOCAL_VALUE_CANDIDATE,LOW
A10022847,대연비치,남구,대연동,1384.0,남천초등학교,남구|대연동,0,남구|대연동,77.64387417218543,12.442897505507622,B,76.5966,17274633.234962106,16334854.506834053,24,78,11,4505,16414015.72401758,1257257796.806285,961657314.5625614,1643721878.5667126,54.250175718675,F_S,0.1367500567214909,0.1046307304852985,0.0199708688443021,0.2649628101300101,HIGH,False,False,OK,-77.17985567069705,HIGH,0.0,NOT_CANDIDATE,0.052813512455902156,0.019970868844302103,STABLE_POSITIVE,12554830.300072867,21459462.67284335,17274633.234962106,16334854.506834053,1323178172.0450983,1251194316.7181652,True,True,-4.981972695100245,0.4846153796497443,0.4846153796497443,-23.14085016906473,31.37223024462996,MIXED,5.466588074749989,WITHIN_MODEL_RANGE,NEUTRAL_POINT_GAP,LOW,NEUTRAL,NEGATIVE,MIXED_OR_NEUTRAL,False,False,False,False,UNCERTAIN,LOW
A10022890,레이카운티(5단지),연제구,거제동,4470.0,창신초등학교,연제구|거제동,0,연제구|거제동,80.79547461368652,13.956380261679737,B,84.8261,12225448.266436435,12252736.444472598,146,345,9,2205,11831302.69781136,1003603265.7748162,663740928.9122885,1517488934.612585,85.0682769591402,F_S,0.2109490625033537,0.1662387624603656,0.0148698098210964,0.1357657130844964,HIGH,False,False,OK,-12.447619499573891,LOW,0.002,NOT_CANDIDATE,0.0029394774646274158,0.014869809821096425,STABLE_POSITIVE,7824725.278095876,17889410.62494427,12225448.266436435,12252736.444472598,1037037097.1935637,1039351846.912477,True,True,-3.2239764140768346,-3.4395071547576928,-3.4395071547576928,-36.13895709292162,46.003390393779874,STABLE_NEGATIVE,0.2155307406808582,POTENTIAL_OVERVALUED_SIGNAL,NEGATIVE,HIGH,NEGATIVE,NEGATIVE,DOUBLE_NEGATIVE,False,False,False,True,NEGATIVE_OR_FULLY_PRICED,LOW
A10022905,포레나부산덕천2차,북구,덕천동,795.0,덕성초등학교,북구|덕천동,0,북구|덕천동,67.33973509933774,7.633466263367361,A,68.3,8010694.448463308,8016895.7080832785,30,47,5,1034,7457633.488998063,509356367.29856765,359527169.05090064,721625321.3699746,71.0893542451437,F_S,0.1777337525171167,0.1439222962375012,0.0504282012107175,0.208650843611165,HIGH,False,False,OK,-121.8319604066467,MEDIUM,0.002,NOT_CANDIDATE,0.0490359781711307,0.05042820121071756,STABLE_POSITIVE,5263940.981711576,10565524.471009878,8010694.448463308,8016895.7080832785,547130430.8300439,547553976.8620878,True,True,-6.904032640657509,-6.976044586950558,-6.976044586950558,-34.33941049770613,31.7907186987211,STABLE_NEGATIVE,0.07201194629304908,POTENTIAL_OVERVALUED_SIGNAL,NEGATIVE,HIGH,NEGATIVE,NEGATIVE,DOUBLE_NEGATIVE,False,False,False,True,NEGATIVE_OR_FULLY_PRICED,LOW
A10022985,경동포레스트힐 행복주택 아미,서구,아미동2가,767.0,아미초등학교,서구|아미동2가,1,서구|동대신동3가;서구|서대신동1가;서구|서대신동2가;서구|서대신동3가;서구|아미동2가,44.87897350993377,,B,,,,0,0,6,1134,,,,,,INSUFFICIENT_FEATURES,,,,,LOW,True,True,INSUFFICIENT_MODEL_FEATURES,,LOW,,NOT_CANDIDATE,,,,,,,,,,False,False,,,,,,INSUFFICIENT,,INSUFFICIENT,MISSING,LOW,MISSING,MISSING,MIXED_OR_NEUTRAL,False,False,False,False,UNCERTAIN,LOW
