apartment_id,apartment_name,legal_dong,gu,household_count,elementary_school_name,school_premium_core_score,school_premium_confidence,representative_area_m2,recent_market_price,baseline_expected_price,school_adjusted_expected_price,estimated_school_premium_pct,estimated_school_premium_amount,model_uncertainty_pct,transaction_count,price_window_used,as_of_date,data_quality_flag
A61203022,롯데3차,좌동,해운대구,824.0,부흥초등학교,82.6453642384106,B,59.6,392500000.0,308299957.8481046,354095503.2838571,14.854217222538635,45795545.43575251,7.435426614099689,16.0,6M,2026-08-28,OK
A61203023,롯데4,좌동,해운대구,842.0,부흥초등학교,82.6453642384106,B,59.6,349000000.0,326762562.3477592,375300583.16082865,14.854217222538658,48538020.81306946,7.435426614099689,12.0,6M,2026-08-28,OK
A61203029,건영2,좌동,해운대구,938.0,부흥초등학교,82.6453642384106,B,84.64,567500000.0,425724497.768072,488962539.43610275,14.85421722253857,63238041.66803074,7.435426614099689,22.0,6M,2026-08-28,OK
A10022568,해운대경동리인뷰2차,우동,해운대구,632.0,해운대초등학교,81.58217439293598,B,84.9773,950000000.0,1098530933.2594512,1256031060.4041102,14.337341114040413,157500127.14465904,7.179289615135408,5.0,12M,2026-08-28,OK
A10023542,해운대센트럴푸르지오,우동,해운대구,548.0,해운대초등학교,81.58217439293598,B,84.5444,970000000.0,1098688560.1835098,1256211286.8379588,14.337341114040413,157522726.654449,7.179289615135408,11.0,6M,2026-08-28,OK
A10024591,롯데캐슬스타,중동,해운대구,828.0,해운대초등학교,81.58217439293598,B,84.9953,1170000000.0,853525377.8722564,975898222.792705,14.337341114040502,122372844.92044866,7.179289615135408,16.0,6M,2026-08-28,OK
A10025181,엘시티,중동,해운대구,882.0,해운대초등학교,81.58217439293598,B,161.9826,3080000000.0,1514475517.6797569,1731611038.738133,14.337341114040413,217135521.05837607,7.179289615135408,11.0,6M,2026-08-28,OK
A61201007,롯데캐슬마린,중동,해운대구,792.0,해운대초등학교,81.58217439293598,B,84.9702,771000000.0,594586070.0228308,679833903.0985713,14.337341114040413,85247833.07574046,7.179289615135408,13.0,6M,2026-08-28,OK
A10022890,레이카운티(5단지),거제동,연제구,4470.0,창신초등학교,80.79547461368652,B,84.8261,894500000.0,844290131.1557014,962122472.3716257,13.956380261679735,117832341.21592426,6.925215402570213,146.0,6M,2026-08-28,OK
A10025258,아시아드코오롱하늘채,거제동,연제구,660.0,창신초등학교,80.79547461368652,B,84.5705,890000000.0,699359721.5947576,796965023.7375481,13.956380261679936,97605302.14279056,6.925215402570213,13.0,12M,2026-08-28,OK
A10027341,사직KCC스위첸1단지,사직동,동래구,999.0,사직초등학교,80.76136865342164,B,73.2931,580000000.0,473967967.4691421,540038595.5768828,13.939893124115454,66070628.10774076,6.925215402570213,15.0,6M,2026-08-28,OK
A60712001,사직2차삼정그린코아,사직동,동래구,560.0,사직초등학교,80.76136865342164,B,112.4493,405000000.0,493721692.9179894,562545969.2413306,13.939893124115454,68824276.32334125,6.925215402570213,12.0,6M,2026-08-28,OK
A60712204,한신,사직동,동래구,710.0,사직초등학교,80.76136865342164,B,84.94,205000000.0,331163211.4753878,377327009.22144544,13.9398931241155,46163797.74605763,6.925215402570213,11.0,6M,2026-08-28,OK
A60776402,사직2차쌍용예가,사직동,동래구,625.0,사직초등학교,80.76136865342164,B,84.995,510000000.0,441383037.6743687,502911361.39414996,13.939893124115454,61528323.71978128,6.925215402570213,11.0,6M,2026-08-28,OK
A60782005,삼정그린코아,사직동,동래구,874.0,사직초등학교,80.76136865342164,B,59.76,215000000.0,256770246.80021667,292563744.7786944,13.939893124115477,35793497.97847772,6.925215402570213,13.0,6M,2026-08-28,OK
A61180503,유림아시아드,거제동,연제구,1330.0,거제초등학교,79.81103752759383,B,84.9706,320000000.0,509946212.3865785,578694367.4294099,13.481452234165236,68748155.04283136,6.673190132267226,29.0,6M,2026-08-28,OK
A10025687,명륜자이,명륜동,동래구,671.0,명륜초등학교,78.46087196467991,B,59.9933,755000000.0,468323976.33097446,528425401.1006381,12.83330083599834,60101424.76966363,6.175231481671329,13.0,6M,2026-08-28,OK
A60701003,동래센트럴파크하이츠2차,명륜동,동래구,680.0,명륜초등학교,78.46087196467991,B,84.972,660000000.0,576595891.0585746,650592176.3661268,12.833300835998362,73996285.30755222,6.175231481671329,5.0,6M,2026-08-28,OK
A60701004,명륜아이파크1단지,명륜동,동래구,1409.0,명륜초등학교,78.46087196467991,B,84.9949,815000000.0,612135632.5973071,690692839.852861,12.83330083599834,78557207.25555396,6.175231481671329,25.0,6M,2026-08-28,OK
A61203017,동부,좌동,해운대구,679.0,상당초등학교,78.09409492273733,B,71.02,491500000.0,361050414.35460365,406751701.4515794,12.657868618893332,45701287.096975744,6.175231481671329,6.0,6M,2026-08-28,OK
A61203019,삼성,좌동,해운대구,728.0,상당초등학교,78.09409492273733,B,59.944,460000000.0,310620848.1366727,349938826.99670494,12.657868618893353,39317978.86003226,6.175231481671329,15.0,6M,2026-08-28,OK
A61203039,엘지,좌동,해운대구,1848.0,상당초등학교,78.09409492273733,B,59.94,380000000.0,341707690.8524799,384960601.421241,12.657868618893332,43252910.56876111,6.175231481671329,15.0,6M,2026-08-28,OK
A10022847,대연비치,대연동,남구,1384.0,남천초등학교,77.64387417218543,B,59.9372,1042500000.0,579747901.6882911,651885338.8856962,12.442897505507622,72137437.1974051,6.175231481671329,24.0,6M,2026-08-28,OK
A10023607,더샵남천프레스티지,남천동,수영구,975.0,남천초등학교,77.64387417218543,B,84.1286,1200000000.0,1951222246.6845157,2194010830.9441338,12.442897505507666,242788584.25961804,6.175231481671329,25.0,6M,2026-08-28,OK
A61381903,뉴비치,남천동,수영구,990.0,남천초등학교,77.64387417218543,B,84.96,920000000.0,922520437.0909376,1037308709.5455241,12.442897505507645,114788272.4545865,6.175231481671329,15.0,6M,2026-08-28,OK
A10022591,사직하늘채리센티아,사직동,동래구,690.0,금강초등학교,77.53211920529802,B,84.8978,720000000.0,545543671.5565841,613134352.4398491,12.389600394485466,67590680.88326502,6.175231481671329,27.0,6M,2026-08-28,OK
A10025463,동래효성해링턴플레이스,온천동,동래구,762.0,금강초등학교,77.53211920529802,B,84.5742,690000000.0,673443858.0284644,756880860.9193984,12.389600394485644,83437002.89093399,6.175231481671329,15.0,6M,2026-08-28,OK
A60784207,반도보라스카이뷰,온천동,동래구,1149.0,금강초등학교,77.53211920529802,B,84.9501,570000000.0,514479206.5273098,578221124.328763,12.389600394485466,63741917.80145323,6.175231481671329,16.0,6M,2026-08-28,OK
A10022280,두산위브더제니스센트럴사하,장림동,사하구,1643.0,보림초등학교,77.03780353200882,B,59.9309,375000000.0,241800132.04188183,271188904.36010575,12.1541589204482,29388772.318223923,5.929270851229026,15.0,6M,2026-08-28,OK
A60474002,동원로얄듀크,장림동,사하구,1973.0,보림초등학교,77.03780353200882,B,59.9942,136500000.0,160163822.1812991,179630387.66227826,12.154158920448221,19466565.480979174,5.929270851229026,46.0,6M,2026-08-28,OK
A61202007,해운대두산위브더제니스,우동,해운대구,1788.0,해원초등학교,76.8108719646799,B,123.01795,1780000000.0,1371795758.0944734,1537045528.4973593,12.046237162333128,165249770.4028859,5.929270851229026,24.0,6M,2026-08-28,OK
A61274013,해운대 I PARK,우동,해운대구,1631.0,해원초등학교,76.8108719646799,B,111.023,1400000000.0,1236692585.1320693,1385667506.9060671,12.046237162333151,148974921.77399778,5.929270851229026,27.0,6M,2026-08-28,OK
A60809002,GS하이츠자이,용호동,남구,1149.0,용문초등학교,76.70408388520971,B,130.1762,1055000000.0,682135002.615271,763960424.5549933,11.995487935087311,81825421.9397223,5.929270851229026,21.0,6M,2026-08-28,OK
A60809004,엘지메트로시티4-2(230~238),용호동,남구,7374.0,용문초등학교,76.70408388520971,B,85.0,527500000.0,514056714.03229606,575720325.1435463,11.99548793508729,61663611.11125028,5.929270851229026,124.0,6M,2026-08-28,OK
A10028145,대연롯데캐슬,대연동,남구,564.0,용소초등학교,76.50546357615895,B,84.53059999999999,832500000.0,574742509.3804772,643143524.2177868,11.901158122276346,68401014.8373096,5.929270851229026,20.0,6M,2026-08-28,OK
A60802001,대연힐스테이트푸르지오,대연동,남구,2304.0,용소초등학교,76.50546357615895,B,84.92,1045000000.0,679527886.448944,760399574.7001951,11.901158122276323,80871688.2512511,5.929270851229026,45.0,6M,2026-08-28,OK
A60874408,부산대연동푸르지오,대연동,남구,678.0,용소초등학교,76.50546357615895,B,84.96,700000000.0,471097538.1629239,527163601.08984447,11.901158122276323,56066062.92692059,5.929270851229026,9.0,6M,2026-08-28,OK
A61203013,두산2,좌동,해운대구,632.0,신곡초등학교,75.86605960264902,B,59.94,465000000.0,307085543.9522197,342701412.0239938,11.598028228028756,35615868.071774065,5.68530466166037,11.0,6M,2026-08-28,OK
A61203025,벽산1,좌동,해운대구,880.0,신곡초등학교,75.86605960264902,B,84.99,730000000.0,415895521.58803856,464131201.5809266,11.598028228028735,48235679.99288803,5.68530466166037,17.0,6M,2026-08-28,OK
A61203026,화목,좌동,해운대구,896.0,신곡초등학교,75.86605960264902,B,56.345,455000000.0,297200784.734911,331670215.64238894,11.598028228028735,34469430.907477915,5.68530466166037,11.0,6M,2026-08-28,OK
A10023283,금호센트럴베이 행복주택 일광,일광읍,기장군,999.0,해빛초등학교,75.63647902869756,B,,,,,,,,,,2026-08-28,OK
A10023778,이지더원2차포레온아파트,일광읍,기장군,786.0,해빛초등학교,75.63647902869756,B,,,,,,,,,,2026-08-28,OK
