apartment_id,apartment_name,gu,legal_dong,household_count,elementary_school_name,primary_market,fallback_level,fallback_market_name,school_premium_core_score,estimated_school_premium_pct,school_premium_confidence,representative_area_m2,recent_6m_market_price,recent_12m_market_price,transaction_count_6m,transaction_count_12m,comparable_apartment_count,comparable_transaction_count,local_fair_price_per_m2,local_fair_total_price,fair_price_lower,fair_price_upper,prediction_interval_width_pct,selected_model_type,local_model_rmse,local_model_mae,recent_local_residual,residual_volatility,model_confidence,low_sample_flag,fallback_flag,data_quality_flag
A10022905,포레나부산덕천2차,북구,덕천동,795.0,덕성초등학교,북구|덕천동,0,북구|덕천동,67.33973509933774,7.633466263367361,A,68.3,8010694.448463308,8016895.7080832785,30,47,5,1034,7457633.488998063,509356367.29856765,5263940.981711576,10565524.471009878,71.0893542451437,F_S,0.17773375251711676,0.1439222962375012,0.05042820121071756,0.208650843611165,HIGH,False,False,OK
A10022985,경동포레스트힐 행복주택 아미,서구,아미동2가,767.0,아미초등학교,서구|아미동2가,1,서구|동대신동3가;서구|서대신동1가;서구|서대신동2가;서구|서대신동3가;서구|아미동2가,44.87897350993377,,B,,,,0,0,6,1134,,,,,,INSUFFICIENT_FEATURES,,,,,LOW,True,True,INSUFFICIENT_MODEL_FEATURES
A10022999,대연푸르지오클라센트1단지,남구,대연동,1057.0,석포초등학교,남구|대연동,0,남구|대연동,45.4014348785872,-1.93197144512941,B,74.9183,8662178.45242301,8676117.851045739,50,92,11,4513,8849482.86527671,662988212.14566,6768834.481764317,11569694.486370934,54.25017571867463,F_S,0.1367500567214909,0.10463073048529858,0.013064467462434948,0.0795374704973525,HIGH,False,False,OK
A10023014,시청앞 행복주택2단지,연제구,연산동,999.0,연산초등학교,연제구|연산동,0,연제구|연산동,32.301821192052984,,B,,,,0,0,16,5310,,,,,,INSUFFICIENT_FEATURES,,,,,LOW,False,False,INSUFFICIENT_MODEL_FEATURES
A10023021,서면비스타동원,부산진구,당감동,806.0,가야초등학교,부산진구|당감동,0,부산진구|당감동,62.1960816777042,5.310210775141577,B,84.999,7108357.02785676,6823601.661664653,24,57,9,2405,3805821.494491468,323491021.2102803,2038989.1084779408,7103656.016458792,133.076838083747,F_S,0.31840699832467373,0.26799341269342497,0.49834322157949984,0.08058112042028562,MEDIUM,False,False,OK
A10023040,양정포레힐즈스위첸1단지,부산진구,양정동,1338.0,양동초등학교,부산진구|양정동,0,부산진구|양정동,64.81462472406182,6.486603777673561,B,84.971,9113463.40672183,8992940.791745849,54,141,4,1223,8578543.083796814,728927384.3732991,6452107.775459556,11405792.339746904,57.7450566593748,F_S,0.1453353219443202,0.1089156649634835,0.015051426336315288,0.08742227116611431,MEDIUM,False,False,OK
A10023104,사상중흥에스-클래스그랜드센트럴,사상구,덕포동,1572.0,사상초등학교;덕포초등학교,사상구|덕포동,1,사상구|괘법동;사상구|덕포동,49.122130242825605,-0.3717315158393908,B,79.8564,7657343.392313228,7682117.309093542,51,100,5,1059,5893978.105046309,470671873.14782,3674849.249400811,9453170.877262386,98.03771790251967,F_S,0.24103013177016724,0.1824645800248972,0.28177069529142784,0.0639172051594728,MEDIUM,True,True,OK
A10023208,두산위브더제니스하버시티,동구,범일동,2040.0,성남초등학교,동구|범일동,1,동구|범일동;동구|수정동,63.84878587196467,6.0511741695158605,B,75.6455,8738127.18535802,8244314.367484424,33,93,4,770,7350314.525220063,556018217.4175342,4582863.616805478,11788944.23598865,98.03771790251966,F_S,0.24103013177016724,0.1824645800248972,0.15495041552664546,0.0968256324388161,MEDIUM,True,True,OK
A10023283,금호센트럴베이 행복주택 일광,기장군,일광읍,999.0,해빛초등학교,기장군|일광읍,1,기장군|일광읍;기장군|정관읍모전리,75.63647902869756,,B,,,,0,0,6,2297,,,,,,INSUFFICIENT_FEATURES,,,,,LOW,True,True,INSUFFICIENT_MODEL_FEATURES
A10023409,이진젠시티개금,부산진구,개금동,736.0,가평초등학교,부산진구|개금동,0,부산진구|개금동,71.48399558498896,9.542552216435162,B,74.1253,8047184.969234526,7865865.792786247,16,49,7,2601,6891372.924977802,510825085.475857,4640739.750910772,10233502.273381462,81.15599871543311,F_S,0.20173293162805278,0.15680689052296223,0.08027717467684248,0.11041893608574013,HIGH,False,False,OK
