school_score,predicted_log_price,relative_price_effect_pct,lower_ci_pct,upper_ci_pct,reference_score,selected_model
53.0,0.012727086840567918,1.2808420892540406,0.6878298567961706,1.877346933563262,50.0,LINEAR
54.0,0.016969449120757225,1.7114248116000659,0.9181562286687838,2.5109288933571485,50.0,LINEAR
55.0,0.02121181140094653,2.143838102066956,1.149009478890602,3.1484511412706118,50.0,LINEAR
56.0,0.025454173681135835,2.5780897430841274,1.3803908127113438,3.7899381822161176,50.0,LINEAR
57.0,0.02969653596132514,3.0141875501670166,1.6123014381377716,4.4354146735038045,50.0,LINEAR
58.0,0.03393889824151445,3.452139372057735,1.8447425659400003,5.0849054257892545,50.0,LINEAR
59.0,0.03818126052170376,3.8919530908663313,2.0777154096578148,5.738435404027157,50.0,LINEAR
60.0,0.04242362280189306,4.333636622212652,2.311221185607008,6.396029728430906,50.0,LINEAR
61.0,0.04666598508208237,4.7771979153688005,2.545261112885734,7.057713675438163,50.0,LINEAR
62.0,0.05090834736227167,5.222644953402211,2.779836413380866,7.72351267868243,50.0,LINEAR
63.0,0.05515070964246098,5.66998575331932,3.0149483117743823,8.393452329970659,50.0,LINEAR
64.0,0.05939307192265028,6.119228366209852,3.2505980355497552,9.067558380266936,50.0,LINEAR
65.0,0.0636354342028396,6.570380877391731,3.4867868149983634,9.745856740682306,50.0,LINEAR
66.0,0.0678777964830289,7.023451406556582,3.72351588322591,10.42837348347072,50.0,LINEAR
67.0,0.0721201587632182,7.478448107915881,3.9607864761588667,11.1151348430312,50.0,LINEAR
68.0,0.07636252104340752,7.935379170347705,4.198599832550925,11.806167216916236,50.0,LINEAR
69.0,0.0806048833235968,8.394252817544103,4.436957193989454,12.501497166846443,50.0,LINEAR
70.0,0.08484724560378612,8.85507730815913,4.675859804902004,13.20115141973153,50.0,LINEAR
71.0,0.08908960788397544,9.317860935957457,4.915308912562776,13.90515686869763,50.0,LINEAR
72.0,0.09333197016416474,9.782612029963643,5.155305767099152,14.613540574120995,50.0,LINEAR
73.0,0.09757433244435403,10.249338954612055,5.39585162149822,15.326329764668161,50.0,LINEAR
74.0,0.10181669472454334,10.718050109897398,5.636947731613315,16.043551838342545,50.0,LINEAR
75.0,0.10605905700473264,11.188753931525888,5.878595356170564,16.765234363537537,50.0,LINEAR
76.0,0.11030141928492196,11.66145889106708,6.120795756775477,17.491405080096218,50.0,LINEAR
77.0,0.11454378156511127,12.136173496106348,6.363550197919516,18.222091900377567,50.0,LINEAR
78.0,0.11878614384530056,12.612906290397977,6.6068599469867095,18.957322910329367,50.0,LINEAR
79.0,0.12302850612548986,13.091665854018963,6.850726274260261,19.697126370567794,50.0,LINEAR
80.0,0.1272708684056792,13.572460803523413,7.095150452929191,20.441530717463642,50.0,LINEAR
81.0,0.13151323068586848,14.055299792097605,7.340133759094962,21.190564564235387,50.0,LINEAR
82.0,0.1357555929660578,14.54019150971578,7.585677471778177,21.944256702048992,50.0,LINEAR
83.0,0.13999795524624709,15.02714468329648,7.831782872925215,22.702636101124593,50.0,LINEAR
84.0,0.1442403175264364,15.516168076859667,8.078451247414963,23.465731911850064,50.0,LINEAR
85.0,0.14848267980662572,16.007270491684405,8.325683883065498,24.23357346590142,50.0,LINEAR
86.0,0.15272504208681503,16.500460766467288,8.573482070640818,25.006190277370354,50.0,LINEAR
87.0,0.15696740436700432,16.995747777481526,8.821847103857577,25.783612043898614,50.0,LINEAR
88.0,0.1612097666471936,17.493140438736678,9.070780279391856,26.565868647819578,50.0,LINEAR
89.0,0.16545212892738292,17.992647702139088,9.32028289688592,27.352990157306817,50.0,LINEAR
90.0,0.16969449120757224,18.49427855765301,9.57035625895499,28.145006827529855,50.0,LINEAR
91.0,0.17393685348776153,18.998042033462376,9.821001671194065,28.941949101817126,50.0,LINEAR
92.0,0.17817921576795087,19.503947196133332,10.072220442184742,29.74384761282614,50.0,LINEAR
93.0,0.18242157804814016,20.012003150777357,10.324013883502014,30.550733183720922,50.0,LINEAR
94.0,0.18666394032832948,20.52221904121518,10.576383309721162,31.3626368293568,50.0,LINEAR
95.0,0.19090630260851876,21.03460405014133,10.829330038424583,32.17958975747252,50.0,LINEAR
96.0,0.19514866488870805,21.54916739928939,11.082855390208689,33.00162336988986,50.0,LINEAR
97.0,0.1993910271688974,22.065918349598014,11.336960688690802,33.828769263720574,50.0,LINEAR
98.0,0.20363338944908668,22.584866201377515,11.591647260516034,34.66105923258093,50.0,LINEAR
99.0,0.207875751729276,23.106020294477343,11.846916435364262,35.49852526781385,50.0,LINEAR
100.0,0.2121181140094653,23.62939000845413,12.102769545957031,36.341199559718476,50.0,LINEAR
