apartment_name,legal_dong,local_fair_total_price,observed_market_price_12m,local_value_gap_pct,local_gap_interval_status,model_confidence,fallback_level,recent_local_residual,school_premium_core_score,school_value_gap_pct,phase154_audit_priority
경남선경,좌동,356404233.73143536,267999999.99999997,32.98665437740127,POTENTIAL_UNDERVALUED_SIGNAL,HIGH,0,-0.2421107317767798,62.41092715231788,24.369635438918465,HIGH
덕포경동메르빌,덕포동,332862636.0008539,250374188.69395292,32.94606674002305,POTENTIAL_UNDERVALUED_SIGNAL,MEDIUM,1,-0.2746899641154652,58.5157284768212,25.715462634553745,HIGH
뉴그린1,부곡동,188538506.6175525,142746234.93975905,32.079495264529,POTENTIAL_UNDERVALUED_SIGNAL,HIGH,0,-0.27948891819244,52.94050772626932,49.31748030239528,HIGH
경동,청룡동,284779984.59555244,217500000.0000001,30.933326250828653,POTENTIAL_UNDERVALUED_SIGNAL,MEDIUM,1,-0.2555550544353044,50.54679911699779,40.58012368662183,HIGH
반도보라,주례동,188584939.9049975,144701105.00460118,30.327228599257005,POTENTIAL_UNDERVALUED_SIGNAL,HIGH,0,-0.2446092451933657,36.705877483443714,13.432908639516882,HIGH
연지2청구,연지동,215938963.64396316,166139341.35977334,29.974611598073665,POTENTIAL_UNDERVALUED_SIGNAL,HIGH,0,-0.2029229715074381,67.58669977924946,47.84342965649007,HIGH
영남,좌동,545584591.3962182,420332298.3972476,29.798398428235263,POTENTIAL_UNDERVALUED_SIGNAL,HIGH,0,-0.200267459590167,62.41092715231788,12.121017830422543,HIGH
삼한2,반송동,155608260.71075353,120000000.00000001,29.673550592294596,POTENTIAL_UNDERVALUED_SIGNAL,MEDIUM,1,-0.2618039347148819,38.63543046357616,43.9849174421912,HIGH
다대해송,다대동,95396716.70927268,135000000.0,-29.335765400538747,POTENTIAL_OVERVALUED_SIGNAL,HIGH,0,0.3903819577602547,24.5848233995585,-16.33544522841096,HIGH
드파인센텀,반여동,485112331.6845936,696135187.7543961,-30.31348792330457,POTENTIAL_OVERVALUED_SIGNAL,HIGH,0,0.3098813632111428,75.30364238410596,-55.6920266942995,HIGH
쌍용예가디오션,광안동,711110503.8577316,1044880732.6064218,-31.943380553693533,POTENTIAL_OVERVALUED_SIGNAL,MEDIUM,1,0.4138476282597381,56.86467991169978,-47.99112137721965,HIGH
가야역롯데캐슬스카이엘,가야동,377314790.8247101,553000000.0,-31.769477246887867,POTENTIAL_OVERVALUED_SIGNAL,MEDIUM,1,0.383291137306708,46.08741721854304,-38.60890401562369,LOW
장산동국,재송동,362716302.0008358,132436116.70020123,173.88020053617646,STRONG_UNDERVALUED_SIGNAL,MEDIUM,0,-0.8572362292437905,47.1682119205298,69.5316519622852,MEDIUM
센텀우신골든빌,재송동,462745821.5270467,256087719.11372417,80.69816980233604,STRONG_UNDERVALUED_SIGNAL,MEDIUM,0,-0.4379599825256921,20.46280353200883,42.86102090628866,MEDIUM
재송그린,재송동,188863680.07469168,123000000.0,53.547707377798126,POTENTIAL_UNDERVALUED_SIGNAL,MEDIUM,0,-0.3473959811336904,26.85298013245033,41.37626144559998,MEDIUM
센텀센시빌,우동,854958002.7996724,577366226.4031048,48.07897720757206,POTENTIAL_UNDERVALUED_SIGNAL,MEDIUM,0,-0.4034899523425395,65.61307947019867,38.89249758252501,MEDIUM
센텀삼익아파트,재송동,230229389.87796837,158423088.39835876,45.32565436361833,POTENTIAL_UNDERVALUED_SIGNAL,MEDIUM,0,-0.2149110668463176,20.46280353200883,29.72631700519869,MEDIUM
국제백양,당감동,230752978.2759849,160849869.8293318,43.45860430028521,POTENTIAL_UNDERVALUED_SIGNAL,MEDIUM,0,-0.417269627298074,37.058388520971306,41.70825093948672,MEDIUM
경동,우동,703180258.6302489,494205414.9499705,42.28501699064415,POTENTIAL_UNDERVALUED_SIGNAL,MEDIUM,0,-0.2982428514839359,82.99199779249447,16.689503228048792,MEDIUM
반도보라빌,우동,856220125.1731795,640000000.0,33.7843945583093,POTENTIAL_UNDERVALUED_SIGNAL,MEDIUM,0,-0.2609096753296134,72.85044150110376,34.177990646184504,MEDIUM
센텀삼환Nauville,우동,652162961.4908267,492000000.0,32.5534474574851,POTENTIAL_UNDERVALUED_SIGNAL,MEDIUM,0,-0.240086437508479,65.61307947019867,12.29723553694091,MEDIUM
백양푸른채,당감동,171107176.96903566,129956601.5690202,31.66485957864966,POTENTIAL_UNDERVALUED_SIGNAL,MEDIUM,0,-0.338587932732235,66.89039735099338,51.3186949207654,MEDIUM
롯데,우동,824384786.0336838,629000000.0,31.062764075307435,POTENTIAL_UNDERVALUED_SIGNAL,MEDIUM,0,-0.2564267333636012,72.85044150110376,17.948951430305893,MEDIUM
장림현대(372-4),장림동,169629116.2184932,130000000.0,30.48393555268707,POTENTIAL_UNDERVALUED_SIGNAL,MEDIUM,0,-0.256694365536271,29.150275938189846,-10.2592990394355,MEDIUM
태화현대1,당감동,224658995.9786068,327760660.78798544,-31.456387890330372,POTENTIAL_OVERVALUED_SIGNAL,MEDIUM,0,0.311617202620023,62.1960816777042,-36.59481700767678,MEDIUM
태화현대2,당감동,226084795.2451956,345948074.67911315,-34.64776601086671,POTENTIAL_OVERVALUED_SIGNAL,MEDIUM,0,0.3419482291134619,62.1960816777042,-17.7907062496372,MEDIUM
현대,신평동,135217258.77383894,212999999.99999994,-36.51771888552161,STRONG_OVERVALUED_SIGNAL,HIGH,0,,,,MEDIUM
대우트럼프월드센텀,우동,975961910.0821912,1670831764.6367676,-41.58825976747207,STRONG_OVERVALUED_SIGNAL,MEDIUM,0,0.5144252748630631,65.61307947019867,-65.63874836836254,MEDIUM
서면비스타동원,당감동,323491021.2102803,579999317.6398338,-44.22562038061556,POTENTIAL_OVERVALUED_SIGNAL,MEDIUM,0,0.4983432215794998,62.1960816777042,-71.65976450555016,MEDIUM
