apartment_id,elementary_name,school_premium_core_score,school_premium_confidence,data_quality_flag,transaction_count,price_window_used,recent_market_price,baseline_expected_price,gap_confidence,comparable_count,school_value_gap_pct,gap_method_agreement,large_method_disagreement,model_residual,flag_low_transaction,flag_price_outlier,flag_confidence_c,flag_school_mapping,original_sanity_flag,flag_comparable_shortage,flag_method_disagreement,flag_old_price_window,flag_missing_control,sanity_flag_reason,sanity_severity
A10023440,사남초등학교,72.3003863134658,B,OK,34.0,6M,604000000.0,572810529.7261683,LOW,8.0,-23.40379349900545,MIXED_POSITIVE_RESIDUAL,False,0.021250591408982444,False,False,False,False,False,False,True,False,False,METHOD_DISAGREEMENT,MINOR
A61996111,정관초등학교,72.22753863134659,B,OK,25.0,6M,338000000.0,331422402.60878134,HIGH,12.0,11.05743446217044,STRONG_POSITIVE,False,-0.011146775787032048,False,False,False,False,False,False,False,False,False,NONE,NONE
A61996306,정관초등학교,72.22753863134659,B,OK,15.0,6M,410000000.0,358613985.16177577,LOW,5.0,5.166582454149365,MIXED_POSITIVE_COMPARABLE,False,0.08199257083451528,False,False,False,False,False,False,True,False,False,METHOD_DISAGREEMENT,MINOR
A10028191,감전초등학교,71.6083885209713,B,OK,,,,,LOW,,,INSUFFICIENT,False,,True,False,False,False,True,True,False,False,False,LOW_TRANSACTION;COMPARABLE_SHORTAGE,MAJOR
A10023409,가평초등학교,71.48399558498896,B,OK,16.0,6M,612500000.0,550185130.811662,MEDIUM,7.0,-73.94696785501705,STRONG_NEGATIVE,True,0.09494665584065842,False,False,False,False,False,False,False,False,False,NONE,NONE
A61476403,가평초등학교,71.48399558498896,B,OK,17.0,6M,234000000.0,296730469.3205196,HIGH,15.0,33.897658503068484,STRONG_POSITIVE,False,-0.21006208032010854,False,False,False,False,False,False,False,False,False,NONE,NONE
A61479502,가평초등학교,71.48399558498896,B,OK,20.0,6M,400000000.0,379099110.2602106,LOW,27.0,-4.0679344148077945,MIXED_POSITIVE_RESIDUAL,False,-0.014328421074759845,False,False,False,False,False,False,True,False,False,METHOD_DISAGREEMENT,MINOR
A61375202,수영초등학교,71.04155629139072,B,OK,14.0,6M,316500000.0,417498542.3767335,MEDIUM,8.0,43.495351170341536,STRONG_POSITIVE,False,-0.29301029638628684,False,False,False,False,False,False,False,False,False,NONE,NONE
A61375603,수영초등학교,71.04155629139072,B,OK,17.0,6M,263000000.0,333575790.0629657,LOW,0.0,30.494482823493573,INSUFFICIENT,False,-0.29243284845452244,False,False,False,False,False,True,False,False,False,COMPARABLE_SHORTAGE,MAJOR
A10020313,일광초등학교,70.97770419426048,B,OK,,,,,LOW,,,INSUFFICIENT,False,,True,False,False,False,True,True,False,False,False,LOW_TRANSACTION;COMPARABLE_SHORTAGE,MAJOR
