apartment_id,apartment_name,household_count,gu,legal_dong,elementary_school_name,elementary_demand_score,elementary_percentile,phase7_score,eligible_middle_count,eligible_middle_schools,eligible_middle_score_mean,eligible_middle_score_max,eligible_middle_score_min,eligible_middle_score_range,has_guaranteed_assignment,guaranteed_middle_name,guaranteed_middle_score,guaranteed_middle_is_top_tier,school_premium_core_score,school_premium_addon_score,final_school_premium_score,school_premium_confidence,data_quality_flag,recent_price_per_m2,unusual_flag,unusual_reason,price_window_used,transaction_count,representative_area_m2,recent_market_price,recent_market_price_per_m2,recent_transaction_date,baseline_expected_price,school_adjusted_expected_price,estimated_school_premium_pct,estimated_school_premium_amount,model_uncertainty_pct,as_of_date,linear_school_premium_pct,internal_complex_id,apartment_age,comparable_count,comparable_rule,comparable_median_price_per_m2,observed_comparable_premium_pct,baseline_non_school_price,expected_school_premium_pct,expected_school_premium_amount,expected_fair_price,observed_residual_premium_pct,residual_method_gap_pct,comparable_method_gap_pct,observed_market_premium_pct,school_value_gap_pct,total_value_gap_pct,linear_gap_pct,gap_confidence,school_data_quality_flag,score_percentile,ranking_type,rank
A61375202,광원,589.0,수영구,광안동,수영초등학교,71.04155629139072,81.41831238779174,56.74800000000001,5.0,광안중;동수영중;동아중;부산수영중학교;한바다중,50.25294117647059,73.52941176470588,36.97058823529412,36.55882352941177,0.0,,,0.0,71.04155629139072,0.0,71.04155629139072,B,OK,4070737.404070738,False,,6M,14.0,84.99,316500000.0,4324038.122132016,2026-08-12,417498542.3767335,456480945.0211612,9.337135028665955,38982402.64442772,4.494923978067426,2026-08-28,9.337135028665898,A61375202,30,8.0,DISTRICT_RELAXED,7738781.794638396,-44.12508018861821,417498542.3767335,9.337135028665955,38982402.64442772,456480945.0211612,-24.191352094732956,33.52848712339891,53.46221521728417,-34.15821614167558,43.495351170341536,44.22778673654382,43.49535117034148,MEDIUM,OK,80.9,SCHOOL_VALUE_GAP_TOP_30,11
A61282705,센텀센시빌,800.0,해운대구,우동,강동초등학교,65.61307947019867,72.35188509874327,85.82235294117646,3.0,해강중;해운대여중;해운대중,93.3529411764706,97.70588235294116,89.82352941176471,7.882352941176464,0.0,,,0.0,65.61307947019867,0.0,65.61307947019867,B,OK,6797325.958769873,False,,6M,13.0,84.9402,580000000.0,6825183.515063651,2026-08-22,737906869.3729935,788438149.6432006,6.847921108681931,50531280.27020717,3.352428800122405,2026-08-28,6.84792110868184,A61282705,22,5.0,RELAXED_SAME_DONG_1,11909207.071036868,-42.68985773484061,737906869.3729935,6.847921108681931,50531280.27020717,788438149.6432006,-21.399295212845548,28.24721632152748,49.53777884352254,-32.04457647384308,38.89249758252501,35.93761200744838,38.89249758252492,MEDIUM,OK,71.2,SCHOOL_VALUE_GAP_TOP_30,12
A60783306,벽산아스타,648.0,동래구,온천동,온천초등학교,83.8975165562914,96.76840215439856,60.33529411764707,3.0,동래중;온천중;유락여중,59.52941176470589,78.3529411764706,36.50000000000001,41.85294117647059,0.0,,,0.0,83.8975165562914,0.0,83.8975165562914,B,OK,5173525.121280999,False,,6M,6.0,101.44200000000001,544000000.0,5818364.40438963,2026-08-26,609771546.9532702,704078544.9451027,15.465955809686172,94306997.9918325,7.693640332217551,2026-08-28,15.465955809686196,A60783306,18,8.0,ALL_SAME_DONG,8260870.892580979,-29.56717905354197,609771546.9532702,15.465955809686172,94306997.9918325,704078544.9451027,-10.786260408820059,26.25221621850623,45.03313486322814,-20.176719731181016,35.64267554086719,29.426203114908578,35.64267554086722,MEDIUM,OK,97.39999999999999,SCHOOL_VALUE_GAP_TOP_30,13
A61286810,반도보라빌,548.0,해운대구,우동,해림초등학교,72.85044150110376,84.20107719928187,86.82235294117646,3.0,해강중;해운대여중;해운대중,93.3529411764706,97.70588235294116,89.82352941176471,7.882352941176464,0.0,,,0.0,72.85044150110376,0.0,72.85044150110376,B,OK,7537632.217724506,False,,6M,14.0,84.9073,620000000.0,7537632.217724506,2026-08-11,732410261.7836571,806965305.1656079,10.179409993571786,74555043.38195086,4.96523907158497,2026-08-28,10.17940999357169,A61286810,20,10.0,RELAXED_SAME_DONG_2,11191595.17536933,-32.649170206643404,732410261.7836571,10.179409993571786,74555043.38195086,806965305.1656079,-15.347991098582037,25.527401092153823,42.82858020021519,-23.99858065261272,34.177990646184504,30.155694381549658,34.17799064618441,HIGH,OK,83.8,SCHOOL_VALUE_GAP_TOP_30,14
A61476403,벽산1,1772.0,부산진구,가야동,가평초등학교,71.48399558498896,81.86714542190305,50.14470588235294,3.0,가야여중;부산개성중;서면중,38.0,54.82352941176472,15.705882352941178,39.117647058823536,0.0,,,0.0,71.48399558498896,0.0,71.48399558498896,B,OK,2622321.2078629453,False,,6M,17.0,84.99,234000000.0,2647370.278856336,2026-08-14,296730469.32051957,325046129.2975033,9.542552216435162,28315659.976983726,4.494923978067426,2026-08-28,9.542552216435235,A61476403,35,15.0,DISTRICT_RELAXED,3655056.9481453537,-27.569657151315717,296730469.32051957,9.542552216435162,28315659.976983726,325046129.2975033,-21.140555421950936,30.683107638386097,37.11220936775088,-24.355106286633326,33.897658503068484,38.9086022638903,33.89765850306856,HIGH,OK,81.39999999999999,SCHOOL_VALUE_GAP_TOP_30,15
A10024005,동래3차SKVIEW,999.0,동래구,온천동,온천초등학교,83.8975165562914,96.76840215439856,60.33529411764707,3.0,동래중;온천중;유락여중,59.52941176470589,78.3529411764706,36.50000000000001,41.85294117647059,0.0,,,0.0,83.8975165562914,0.0,83.8975165562914,B,OK,6815423.946466229,False,,6M,38.0,74.865,504000000.0,6921454.742521884,2026-08-28,620403875.5962573,716355264.8375549,15.465955809686193,95951389.2412976,7.693640332217551,2026-08-28,15.465955809686196,A10024005,4,8.0,ALL_SAME_DONG,8260870.892580979,-16.213982369123016,620403875.5962573,15.465955809686193,95951389.2412976,716355264.8375549,-18.76259645934416,34.22855226903035,31.67993817880921,-17.488289414233588,32.954245223919784,42.13398111856248,32.954245223919784,MEDIUM,OK,97.39999999999999,SCHOOL_VALUE_GAP_TOP_30,16
A61486008,세동한신,789.0,부산진구,연지동,연지초등학교,67.58669977924946,77.28904847396768,53.63725490196079,3.0,부산진중;초연중;초읍중,42.75490196078431,58.67647058823528,24.205882352941178,34.4705882352941,0.0,,,0.0,67.58669977924946,0.0,67.58669977924946,B,OK,3329994.992488733,False,,6M,14.0,84.98,290000000.0,3430145.2178267404,2026-07-25,304134463.1621088,327693614.08044577,7.74629440984449,23559150.918336987,3.8037836921826558,2026-08-28,7.746294409844517,A61486008,30,5.0,ALL_SAME_DONG,5180078.9193160925,-33.78198920800206,304134463.1621088,7.74629440984449,23559150.918336987,327693614.08044577,-4.647438838450501,12.393733248294991,41.52828361784655,-19.21471402322628,26.961008433070766,12.997797958774404,26.961008433070795,MEDIUM,OK,76.5,SCHOOL_VALUE_GAP_TOP_30,17
A61206114,센텀롯데캐슬2차,1165.0,해운대구,반여동,무정초등학교,75.30364238410596,86.26570915619389,60.278823529411774,3.0,반여중;인지중;장산중,53.55882352941177,71.11764705882354,32.73529411764706,38.38235294117648,0.0,,,0.0,75.30364238410596,0.0,75.30364238410596,B,OK,4095563.1399317407,False,,6M,24.0,84.97,335000000.0,4077909.850535483,2026-08-25,386998420.54590774,430853372.733147,11.332075238285633,43854952.18723929,5.443319503683487,2026-08-28,11.332075238285519,A61206114,21,5.0,RELAXED_SAME_DONG_1,4855074.96157555,-16.007273156249358,386998420.54590774,11.332075238285633,43854952.18723929,430853372.733147,-13.436339216206028,24.768414454491662,27.33934839453499,-14.721806186227692,26.053881424513325,28.61294708452149,26.05388142451321,MEDIUM,OK,86.1,SCHOOL_VALUE_GAP_TOP_30,18
A61202011,센텀두산위브,581.0,해운대구,우동,강동초등학교,65.61307947019867,72.35188509874327,86.82235294117646,3.0,해강중;해운대여중;해운대중,93.3529411764706,97.70588235294116,89.82352941176471,7.882352941176464,0.0,,,0.0,65.61307947019867,0.0,65.61307947019867,B,OK,8614602.457280045,False,,6M,9.0,84.9988,753000000.0,8826436.943934472,2026-08-18,893556067.0744989,954746081.6096014,6.847921108681909,61190014.53510249,3.352428800122405,2026-08-28,6.84792110868184,A61202011,11,7.0,RELAXED_SAME_DONG_1,11412248.04815263,-22.658209787481255,893556067.0744989,6.847921108681909,61190014.53510249,954746081.6096014,-15.729966171532938,22.577887280214846,29.506130896163164,-19.194087979507096,26.042009088189005,26.792308314688107,26.042009088188934,MEDIUM,OK,71.2,SCHOOL_VALUE_GAP_TOP_30,19
A10022365,연산포레서희스타힐스,612.0,연제구,연산동,연동초등학교,73.0110927152318,84.8294434470377,57.94745098039217,6.0,동신중;연산중;연일중;연제중;이사벨중;토현중,50.333333333333336,79.73529411764706,30.617647058823533,49.11764705882352,0.0,,,0.0,73.0110927152318,0.0,73.0110927152318,B,OK,6128274.207272376,False,,6M,14.0,84.8526,519500000.0,6128274.207272376,2026-08-24,681207255.0803286,751061839.2622335,10.25452733524801,69854584.18190491,4.96523907158497,2026-08-28,10.254527335248019,A10022365,1,5.0,RELAXED_SAME_DONG_1,6597724.564797072,-7.115337309312708,681207255.0803286,10.25452733524801,69854584.18190491,751061839.2622335,-23.738334240327475,33.99286157557549,17.369864644560717,-15.426835774820091,25.6813631100681,44.57398253363494,25.681363110068112,MEDIUM,OK,84.5,SCHOOL_VALUE_GAP_TOP_30,20
