target_apartment_id,target_apartment_name,comparable_rank,comparable_apartment_id,comparable_apartment_name,same_legal_dong,fallback_level,age_difference,household_difference,area_difference,school_score_difference,similarity_distance,comparable_transaction_count
A10022696,에코델타호반써밋스마트시티,2,A61870406,퀸덤1차에디슨타운,False,1,15,126.0,16.485400000000013,25.20778145695364,0.49553047444787,151.0
A10022696,에코델타호반써밋스마트시티,3,A10027581,명지대방노블랜드오션뷰2차,False,1,8,74.0,0.08390000000001407,40.98807947019867,0.5178470003518292,263.0
A10022696,에코델타호반써밋스마트시티,4,A10027656,명지대방노블랜드오션뷰1차,False,1,8,211.0,0.019500000000007844,40.98807947019867,0.5889159849623178,342.0
A10022696,에코델타호반써밋스마트시티,5,A10026445,부산명지중흥S-클래스에듀오션,False,1,6,224.0,9.46289999999999,31.331567328918325,0.6036739600137205,364.0
A10022844,롯데캐슬라센트,1,A10020721,백양산서희스타힐스,True,0,0,900.0,12.859700000000004,3.953476821192055,0.5117524491813519,41.0
A10022844,롯데캐슬라센트,2,A61484005,화승,True,0,28,384.0,12.63000000000001,0.0,0.7678740771988835,456.0
A10022844,롯데캐슬라센트,3,A10026861,서면동일파크스위트3차,True,0,8,1468.0,4.2479999999999905,13.80430463576159,0.9771241110938031,265.0
A10022844,롯데캐슬라센트,4,A10028147,서면동일파크스위트1차,True,0,10,1444.0,12.865500000000011,13.80430463576159,0.990153896486334,224.0
A10022844,롯데캐슬라센트,5,A61409004,타워베르빌,True,0,19,1491.0,12.805000000000007,28.99415011037528,1.1665569683356605,158.0
A10022847,대연비치,1,A10026094,대연SKVIEWHills(2단지),True,0,7,390.0,8.3673,8.112362030905075,0.41869397991997775,364.0
A10022847,대연비치,2,A10022999,대연푸르지오클라센트1단지,True,0,1,327.0,1.678299999999993,32.24243929359823,0.4884929963891261,97.0
A10022847,대연비치,3,A10026184,대연파크푸르지오,True,0,7,38.0,8.365800000000007,32.24243929359823,0.4985788613360789,610.0
A10022847,대연비치,4,A60802001,대연힐스테이트푸르지오,True,0,12,920.0,8.323400000000007,1.138410596026489,0.580527387943512,721.0
A10022847,대연비치,5,A10025593,대연자이,True,0,6,419.0,16.704399999999993,17.885596026490077,0.6047155767597809,420.0
A10022890,레이카운티(5단지),1,A61180503,유림아시아드,True,0,22,3140.0,0.14450000000000784,0.9844370860926972,1.3223701252121471,281.0
A10022890,레이카운티(5단지),2,A61176513,거제1차현대홈타운,True,0,23,3343.0,24.896099999999997,8.608278145695394,1.4095309017435695,410.0
A10022890,레이카운티(5단지),3,A61176612,거제2차현대홈타운,True,0,22,3360.0,25.150099999999995,8.608278145695394,1.415636893193185,390.0
A10022890,레이카운티(5단지),4,A10025950,거제센트럴자이,True,0,5,3592.0,9.849999999999994,27.67323399558498,1.4294550528586962,363.0
A10022890,레이카운티(5단지),5,A61177214,거제동월드메르디앙,True,0,18,3314.0,0.16920000000000357,41.92190949227372,1.4669075387521655,268.0
A10022905,포레나부산덕천2차,1,A10023684,포레나부산덕천1차,True,0,2,159.0,6.253900000000002,0.0,0.2404804008729967,83.0
A10022905,포레나부산덕천2차,2,A61670501,덕천삼정그린코아,True,0,16,235.0,16.0659,0.0,0.5958644312143323,110.0
A10022905,포레나부산덕천2차,3,A61610003,롯데,True,0,19,90.0,16.450400000000002,31.987969094922732,0.6093050554565907,172.0
A10022905,포레나부산덕천2차,4,A61677608,기비골마을,True,0,29,30.0,23.43,32.54718543046357,1.392815942681201,263.0
A10022905,포레나부산덕천2차,5,A61682303,덕천주공1,True,0,32,525.0,27.0,28.978532008830015,1.9222106634035057,406.0
A10022999,대연푸르지오클라센트1단지,1,A10026094,대연SKVIEWHills(2단지),True,0,6,63.0,10.045599999999993,24.130077262693156,0.32922052159703025,364.0
A10022999,대연푸르지오클라센트1단지,2,A10026184,대연파크푸르지오,True,0,6,365.0,10.0441,0.0,0.3471762300767936,610.0
A10022999,대연푸르지오클라센트1단지,3,A10025593,대연자이,True,0,5,92.0,15.0261,14.356843267108154,0.362134426122329,420.0
A10022999,대연푸르지오클라센트1단지,4,A10022847,대연비치,True,0,1,327.0,1.678299999999993,32.24243929359823,0.4884929963891261,105.0
A10022999,대연푸르지오클라센트1단지,5,A60874408,부산대연동푸르지오,True,0,19,379.0,1.7883000000000067,31.104028697571742,0.6172025853776539,147.0
A10023021,서면비스타동원,1,A10025434,서면2차봄여름가을겨울,True,0,5,271.0,3.313299999999998,18.556843267108157,0.3813578893074085,209.0
A10023021,서면비스타동원,2,A61479605,동일스위트,True,0,19,284.0,4.7616999999999905,25.137693156732894,0.5493552198684206,311.0
A10023021,서면비스타동원,3,A61475903,태화현대2,True,0,28,14.0,0.0589999999999975,0.0,0.9834563345713351,173.0
A10023021,서면비스타동원,4,A61475202,태화현대1,True,0,28,138.0,0.2289999999999992,0.0,1.0502918267928618,147.0
A10023021,서면비스타동원,5,A61477806,국제백양,True,0,29,347.0,0.01649999999999352,25.137693156732894,1.1476896821938907,233.0
A10023040,양정포레힐즈스위첸1단지,1,A10020870,양정자이더샵SKVIEW아파트(2단지),True,0,2,938.0,24.991600000000005,18.242991169977927,0.6937649580142788,15.0
A10023040,양정포레힐즈스위첸1단지,2,A61479902,대원칸타빌멤버스,True,0,17,498.0,0.12080000000000268,18.242991169977927,0.7682984959115183,220.0
A10023040,양정포레힐즈스위첸1단지,3,A61479104,현대2차,True,0,25,563.0,25.021,51.04878587196468,0.8871067365387503,486.0
A10023040,양정포레힐즈스위첸1단지,4,A61475403,현대1차,True,0,25,395.0,25.021,51.04878587196468,1.0685995831063764,502.0
