gu,legal_dong,apartment_count,high_model_count,medium_model_count,median_gap,p25,p75,positive_share,negative_share,strong_undervalued_count,strong_overvalued_count,median_interval_width,dong_bias_flag
남구,대연동,12,12,0,2.1687203089227003,-6.173165758640728,7.7938597730132,0.4166666666666667,0.3333333333333333,0,0,54.25017571867487,False
남구,문현동,7,7,0,0.9998734646377683,-2.8058047494772973,11.009858589447099,0.2857142857142857,0.2857142857142857,0,0,48.11557121476924,False
남구,용당동,2,0,2,3.1367906044060145,-0.0975610331927168,6.371142242004746,0.5,0.5,0,0,98.03771790251966,False
남구,용호동,9,9,0,3.889246621454734,-4.088982776536398,9.864709104706048,0.5555555555555556,0.3333333333333333,0,0,70.72835389685706,False
남구,우암동,1,0,1,20.466410503610355,20.466410503610355,20.466410503610355,1.0,0.0,0,0,98.03771790251967,True
동구,범일동,4,0,4,1.2582430502823205,-4.112815012804205,14.72435158395053,0.5,0.25,0,0,98.03771790251966,False
동구,수정동,1,0,1,-1.5065494569795779,-1.5065494569795779,-1.5065494569795779,0.0,0.0,0,0,98.03771790251966,False
동구,좌천동,1,0,1,2.3721243528873615,2.3721243528873615,2.3721243528873615,0.0,0.0,0,0,98.03771790251967,False
동구,초량동,2,0,2,2.1945265112458197,-2.6240194372768197,7.013072459768459,0.5,0.5,0,0,98.03771790251938,False
동래구,낙민동,6,6,0,6.031998655382321,5.89554504856295,9.646131424293985,0.8333333333333334,0.16666666666666666,0,0,58.38446886202263,False
동래구,명륜동,5,0,5,-3.577046404784323,-5.519997027753987,-3.4534685242995855,0.0,0.8,0,0,42.39372505315593,False
동래구,명장동,2,0,2,4.528110450200024,-2.2671091673225092,11.323330067722557,0.5,0.5,0,0,98.03771790251952,False
동래구,복천동,1,0,1,4.207499727170738,4.207499727170738,4.207499727170738,1.0,0.0,0,0,98.03771790251965,False
동래구,사직동,9,9,0,1.94217568677848,-5.07776836067273,9.676308086202923,0.3333333333333333,0.4444444444444444,0,0,69.85239772128439,False
동래구,안락동,6,6,0,5.233663435571256,0.8991938437920066,8.976766163942763,0.5,0.16666666666666666,0,0,55.05876002157092,False
동래구,온천동,9,9,0,-5.703244381687722,-9.26867296833379,5.340466899521368,0.4444444444444444,0.5555555555555556,0,1,62.75467706943266,False
부산진구,가야동,4,0,4,-13.603231072849669,-29.928999572919505,13.027541840450578,0.25,0.5,0,0,98.03771790251966,True
부산진구,개금동,8,8,0,-3.1954141815126125,-11.696629841927594,9.139860704964924,0.375,0.5,1,0,81.15599871543311,False
부산진구,당감동,10,0,10,-8.578596066401278,-30.82037582250591,25.63640995845664,0.5,0.5,0,0,133.07683808374696,False
부산진구,범전동,1,0,1,-2.2573446551487963,-2.2573446551487963,-2.2573446551487963,0.0,0.0,0,0,98.03771790251938,False
부산진구,범천동,5,0,5,0.5840197760036636,-0.031568866941400486,1.2813052713721795,0.2,0.2,1,0,48.696155271529946,False
부산진구,부암동,12,12,0,1.1654992386744834,-5.222800924728885,10.630653701751047,0.4166666666666667,0.3333333333333333,0,0,55.06776397733806,False
부산진구,부전동,2,0,2,17.50065267306715,4.225157782394573,30.77614756373973,0.5,0.5,0,0,98.03771790251966,True
부산진구,양정동,5,0,5,-1.9326275948643334,-2.1703730147412004,4.181694867054286,0.4,0.2,0,0,57.74505665937502,False
부산진구,연지동,6,6,0,-0.1977918122879454,-7.110036777060944,4.34326655058197,0.5,0.5,0,0,61.67986030924704,False
부산진구,전포동,7,7,0,6.379530936539313,-3.529194344699077,14.781385172462691,0.5714285714285714,0.42857142857142855,0,0,38.95354524403557,False
부산진구,초읍동,2,0,2,-4.227197183807113,-7.356436821806996,-1.0979575458072293,0.0,0.5,0,0,98.03771790251952,False
북구,구포동,5,0,5,-0.37682219858694577,-2.671015067411031,4.928263665508137,0.4,0.2,0,0,48.41097467956118,False
북구,금곡동,13,13,0,4.941568223146997,-4.929075829476536,16.360379527501912,0.5384615384615384,0.3076923076923077,0,0,64.74773884625962,False
북구,덕천동,6,6,0,5.7229003648385905,-5.190882906277194,16.03906598236427,0.5,0.3333333333333333,0,0,71.08935424514391,False
북구,만덕동,13,13,0,9.774586678817698,-1.4860284250382105,17.823477733033457,0.6153846153846154,0.23076923076923078,0,0,60.40431576127065,False
북구,화명동,18,18,0,4.547604882084643,-9.535510188622766,14.007368487352084,0.5555555555555556,0.3888888888888889,2,0,67.94807341626614,False
사상구,괘법동,3,0,3,-1.254759436439401,-2.294463210176029,-0.07547928656036484,0.0,0.3333333333333333,0,0,98.03771790251965,False
사상구,덕포동,3,0,3,14.570521595674602,-4.3530618943361326,23.758294167848824,0.6666666666666666,0.3333333333333333,0,0,98.03771790251967,True
사상구,모라동,6,6,0,7.5557975900308225,2.2631500912822067,11.000081354643545,0.6666666666666666,0.16666666666666666,0,0,54.543342131418264,False
사상구,엄궁동,5,0,5,10.958848889278162,3.208986571114947,11.008049863056812,0.8,0.0,0,0,44.175008386533534,False
사상구,주례동,9,9,0,4.556236144702064,-5.608098889871382,8.744613193537077,0.5555555555555556,0.3333333333333333,0,0,65.33453882570369,False
