middle_school_id,middle_school_name,requested_year,observed_year,availability,eligible_for_scoring,manual_review,review_reason,source_document
S020001423,부산중앙여자중학교,2023,2023.0,available,True,False,,data\raw\advancement\2023\S020001423.html
S020001425,사하중학교,2023,2023.0,available,True,False,,data\raw\advancement\2023\S020001425.html
S020001426,삼성중학교,2023,2023.0,available,True,False,,data\raw\advancement\2023\S020001426.html
S020001429,송도중학교,2023,2023.0,available,True,False,,data\raw\advancement\2023\S020001429.html
S020001430,신선중학교,2023,2023.0,available,True,False,,data\raw\advancement\2023\S020001430.html
S020001431,알로이시오중학교,2023,,not_published,False,True,official_page_reports_no_data,data\raw\advancement\2023\S020001431.html
S020001432,영남중학교,2023,2023.0,available,True,False,,data\raw\advancement\2023\S020001432.html
S020001434,영도제일중학교,2023,2023.0,available,True,False,,data\raw\advancement\2023\S020001434.html
S020001436,장림여자중학교,2023,2023.0,available,True,False,,data\raw\advancement\2023\S020001436.html
S020001437,장평중학교,2023,2023.0,available,True,False,,data\raw\advancement\2023\S020001437.html
S020001439,초장중학교,2023,2023.0,available,True,False,,data\raw\advancement\2023\S020001439.html
S020001441,태종대중학교,2023,2023.0,available,True,False,,data\raw\advancement\2023\S020001441.html
S020001443,하남중학교,2023,2023.0,available,True,False,,data\raw\advancement\2023\S020001443.html
S020001444,하단중학교,2023,2023.0,available,True,False,,data\raw\advancement\2023\S020001444.html
S020001445,해동중학교,2023,2023.0,available,True,False,,data\raw\advancement\2023\S020001445.html
S020001620,광안중학교,2023,2023.0,available,True,False,,data\raw\advancement\2023\S020001620.html
S020001621,기장중학교,2023,2023.0,available,True,False,,data\raw\advancement\2023\S020001621.html
S020001622,동백중학교,2023,2023.0,available,True,False,,data\raw\advancement\2023\S020001622.html
S020001623,동수영중학교,2023,2023.0,available,True,False,,data\raw\advancement\2023\S020001623.html
S020001624,동아중학교,2023,2023.0,available,True,False,,data\raw\advancement\2023\S020001624.html
S020001626,망미중학교,2023,2023.0,available,True,False,,data\raw\advancement\2023\S020001626.html
S020001627,반송여자중학교,2023,2023.0,available,True,False,,data\raw\advancement\2023\S020001627.html
S020001628,반송중학교,2023,2023.0,available,True,False,,data\raw\advancement\2023\S020001628.html
S020001629,반안중학교,2023,2023.0,available,True,False,,data\raw\advancement\2023\S020001629.html
S020001630,반여중학교,2023,2023.0,available,True,False,,data\raw\advancement\2023\S020001630.html
S020001631,부산수영중학교,2023,2023.0,available,True,False,,data\raw\advancement\2023\S020001631.html
S020001632,부흥중학교,2023,2023.0,available,True,False,,data\raw\advancement\2023\S020001632.html
S020001633,상당중학교,2023,2023.0,available,True,False,,data\raw\advancement\2023\S020001633.html
S020001635,신곡중학교,2023,2023.0,available,True,False,,data\raw\advancement\2023\S020001635.html
S020001636,신도중학교,2023,2023.0,available,True,False,,data\raw\advancement\2023\S020001636.html
S020001637,양운중학교,2023,2023.0,available,True,False,,data\raw\advancement\2023\S020001637.html
S020001638,운송중학교,2023,,not_published,False,True,official_page_reports_no_data,data\raw\advancement\2023\S020001638.html
S020001639,장안중학교,2023,2023.0,available,True,False,,data\raw\advancement\2023\S020001639.html
S020001640,재송여자중학교,2023,2023.0,available,True,False,,data\raw\advancement\2023\S020001640.html
S020001641,재송중학교,2023,2023.0,available,True,False,,data\raw\advancement\2023\S020001641.html
S020001642,한바다중학교,2023,2023.0,available,True,False,,data\raw\advancement\2023\S020001642.html
S020001643,해운대여자중학교,2023,2023.0,available,True,False,,data\raw\advancement\2023\S020001643.html
S020001644,해운대중학교,2023,2023.0,available,True,False,,data\raw\advancement\2023\S020001644.html
S020001837,금명중학교,2023,2023.0,available,True,False,,data\raw\advancement\2023\S020001837.html
S020001838,명진중학교,2023,2023.0,available,True,False,,data\raw\advancement\2023\S020001838.html
S020001839,대청중학교,2023,2023.0,available,True,False,,data\raw\advancement\2023\S020001839.html
S020001857,인지중학교,2023,2023.0,available,True,False,,data\raw\advancement\2023\S020001857.html
S020001871,신덕중학교,2023,2023.0,available,True,False,,data\raw\advancement\2023\S020001871.html
S020001875,동양중학교,2023,2023.0,available,True,False,,data\raw\advancement\2023\S020001875.html
S020001893,해강중학교,2023,2023.0,available,True,False,,data\raw\advancement\2023\S020001893.html
S020001909,두송중학교,2023,2023.0,available,True,False,,data\raw\advancement\2023\S020001909.html
S020001910,센텀중학교,2023,2023.0,available,True,False,,data\raw\advancement\2023\S020001910.html
S020001918,양동여자중학교,2023,2023.0,available,True,False,,data\raw\advancement\2023\S020001918.html
S020001919,장산중학교,2023,2023.0,available,True,False,,data\raw\advancement\2023\S020001919.html
S020002004,명호중학교,2023,2023.0,available,True,False,,data\raw\advancement\2023\S020002004.html
S020002007,오륙도중학교,2023,2023.0,available,True,False,,data\raw\advancement\2023\S020002007.html
