audit_segment,apartment_id,apartment_name,legal_dong,sigungu,household_count,elementary_name,school_premium_core_score,school_premium_confidence,recent_market_price,residual_premium,transaction_count,has_guaranteed_assignment,sanity_flag,sanity_reason
CORE_BOTTOM_30,A61987101,고촌휴먼시아,철마면,기장군,1084.0,신진초등학교,21.331456953642384,B,,,0,0.0,True,EXTREMELY_LOW_TRANSACTION_COUNT
CORE_BOTTOM_30,A10027989,신화명리버뷰자이,금곡동,북구,792.0,신금초등학교,21.752097130242827,B,395000000.0,0.12498672486790063,23,0.0,False,
CORE_BOTTOM_30,A61673902,율리역벽산블루밍1단지,금곡동,북구,589.0,신금초등학교,21.752097130242827,B,383500000.0,0.1431941855880119,4,0.0,False,
CORE_BOTTOM_30,A61676422,금곡주공4단지,금곡동,북구,1937.0,신금초등학교,21.752097130242827,B,,,0,0.0,True,EXTREMELY_LOW_TRANSACTION_COUNT
CORE_BOTTOM_30,A61676509,금곡5단지주공,금곡동,북구,713.0,신금초등학교,21.752097130242827,B,88750000.0,0.05923335767121074,10,0.0,False,
CORE_BOTTOM_30,A61676605,금곡6단지주공,금곡동,북구,504.0,신금초등학교,21.752097130242827,B,98000000.0,0.036658946486273436,5,0.0,False,
CORE_BOTTOM_30,A61676723,금곡주공7단지,금곡동,북구,802.0,신금초등학교,21.752097130242827,B,,,0,0.0,True,EXTREMELY_LOW_TRANSACTION_COUNT
CORE_BOTTOM_30,A61273609,부산반송주공,반송동,해운대구,1710.0,운봉초등학교,22.90789183222958,B,,,0,0.0,True,EXTREMELY_LOW_TRANSACTION_COUNT
CORE_BOTTOM_30,A61676006,벽산삼협한솔,금곡동,북구,532.0,금창초등학교,23.34448123620309,B,240000000.0,0.04955337768605972,5,1.0,False,
CORE_BOTTOM_30,A61676118,금곡주공1단지,금곡동,북구,1099.0,금창초등학교,23.34448123620309,B,,,0,1.0,True,EXTREMELY_LOW_TRANSACTION_COUNT
CORE_BOTTOM_30,A61676316,금곡3단지주공,금곡동,북구,1484.0,금창초등학교,23.34448123620309,B,61000000.0,-0.26576116908282366,16,1.0,False,
CORE_BOTTOM_30,A61829001,부산신호윌더하임,신호동,강서구,671.0,신호초등학교,23.84431567328918,A,243500000.0,0.0019659638656355227,10,1.0,False,
CORE_BOTTOM_30,A61872203,부산신호사랑으로부영5차,신호동,강서구,1109.0,신호초등학교,23.84431567328918,A,,,0,1.0,True,EXTREMELY_LOW_TRANSACTION_COUNT
