final_review_class,class_rank,apartment_id,apartment_name,gu,legal_dong,household_count,school_core_score,school_premium_pct,school_value_gap_pct,local_fair_total_price,observed_market_price_12m,local_value_gap_pct,local_gap_interval_status,local_gap_temporal_stability,school_local_signal_agreement,model_confidence,local_gap_confidence,gap_confidence,gap_positive_probability,dong_bias_flag,phase154_audit_priority,model_limitation_flag,unmodeled_premium_candidate,unmodeled_discount_candidate
CORE_CANDIDATE,28,A61676605,금곡6단지주공,북구,금곡동,504.0,21.752097130242827,-11.293572649989148,19.149046126798503,115881453.46150784,103905911.22929025,11.525371454364164,POTENTIAL_UNDERVALUED_SIGNAL,STABLE_POSITIVE,DOUBLE_POSITIVE,HIGH,HIGH,HIGH,0.86,False,LOW,NONE,False,False
CORE_CANDIDATE,29,A61206114,센텀롯데캐슬2차,해운대구,반여동,1165.0,75.30364238410596,11.332075238285633,26.053881424513325,445069975.44998586,348000000.0,27.893671106317772,POTENTIAL_UNDERVALUED_SIGNAL,STABLE_POSITIVE,DOUBLE_POSITIVE,HIGH,HIGH,MEDIUM,1.0,False,LOW,EXTREME_RESIDUAL,False,True
CORE_CANDIDATE,30,A61678706,럭키,북구,만덕동,900.0,35.35176600441501,-6.025161527512523,28.657950664234136,166222747.75128233,130000000.0,27.86365211637103,POTENTIAL_UNDERVALUED_SIGNAL,STABLE_POSITIVE,DOUBLE_POSITIVE,HIGH,HIGH,MEDIUM,1.0,False,LOW,EXTREME_RESIDUAL,False,True
CORE_CANDIDATE,31,A61682303,덕천주공1,북구,덕천동,1320.0,38.36120309050773,-4.817681643998051,32.47154535710053,116143389.61070968,90910306.1354785,27.756020794416592,POTENTIAL_UNDERVALUED_SIGNAL,STABLE_POSITIVE,DOUBLE_POSITIVE,HIGH,HIGH,MEDIUM,1.0,False,LOW,EXTREME_RESIDUAL,False,True
CORE_CANDIDATE,32,A60608002,조양비취맨션,영도구,동삼동,630.0,64.44094922737307,6.317927830150016,28.48128657701507,114289271.07448074,89813890.14979573,27.251220144082232,POTENTIAL_UNDERVALUED_SIGNAL,STABLE_POSITIVE,DOUBLE_POSITIVE,HIGH,HIGH,MEDIUM,1.0,False,LOW,EXTREME_RESIDUAL,False,True
CORE_CANDIDATE,33,A61206113,우방신세계타운,해운대구,반여동,998.0,64.27847682119204,6.244671660872059,31.646294728720324,347812145.96498173,274387658.9731512,26.75939846077957,POTENTIAL_UNDERVALUED_SIGNAL,STABLE_POSITIVE,DOUBLE_POSITIVE,HIGH,HIGH,MEDIUM,1.0,False,LOW,EXTREME_RESIDUAL,False,True
CORE_CANDIDATE,34,A10027503,정관양우내안愛,기장군,정관읍용수리,830.0,63.0385761589404,5.687280488702173,18.74508548142361,242526407.14045447,192412920.5190092,26.04476169597685,POTENTIAL_UNDERVALUED_SIGNAL,STABLE_POSITIVE,DOUBLE_POSITIVE,HIGH,HIGH,MEDIUM,1.0,False,LOW,EXTREME_RESIDUAL,False,True
CORE_CANDIDATE,35,A61775202,백양그린,사상구,모라동,1080.0,61.79635761589404,5.131779760166655,29.34682699021083,115044689.59525158,92345036.31961262,24.581346415928486,POTENTIAL_UNDERVALUED_SIGNAL,STABLE_POSITIVE,DOUBLE_POSITIVE,HIGH,HIGH,MEDIUM,1.0,False,LOW,EXTREME_RESIDUAL,False,True
CORE_CANDIDATE,36,A60872101,시티프라자,남구,문현동,521.0,57.40093818984548,3.1895560646846066,34.83456862652005,246052635.3273256,197553153.5811854,24.55009240144026,POTENTIAL_UNDERVALUED_SIGNAL,STABLE_POSITIVE,DOUBLE_POSITIVE,HIGH,HIGH,MEDIUM,1.0,False,LOW,NONE,False,False
CORE_CANDIDATE,37,A60608303,동삼그린힐,영도구,동삼동,2088.0,59.38355408388521,4.061141130872925,39.128643595864354,102234309.41095696,83000000.0,23.17386676018911,POTENTIAL_UNDERVALUED_SIGNAL,STABLE_POSITIVE,DOUBLE_POSITIVE,HIGH,HIGH,MEDIUM,1.0,False,LOW,EXTREME_RESIDUAL,False,True
