district,legal_dong,apartment_count,transaction_count,fallback_level,model_type,rmse,mae,r2,median_error,bias,school_coefficient,school_effect_direction,model_confidence
남구,감만동,2,49,1,F,0.23245784149188448,0.1960142326469904,-0.18923142272330007,-0.16654325762047684,-0.17053547094835955,0.10137589359511523,POSITIVE,MEDIUM
남구,대연동,12,1428,0,F,0.1363194390768147,0.11005928260414265,0.8802541604447031,0.05880722081726031,0.05385609138069779,0.4897641171848316,POSITIVE,HIGH
남구,문현동,7,424,0,F,0.13365626328746025,0.10352260536553232,0.8059133490535519,-0.011450526455870857,-0.02452362774857685,0.09713473416377566,POSITIVE,HIGH
남구,용당동,2,58,1,F,0.12265358371818529,0.09007815109079331,-0.03485673435963332,-0.04246503736337903,-0.06648357832819567,0.10137589359511523,POSITIVE,MEDIUM
남구,용호동,9,1028,0,F,0.19136806540284362,0.15389254581881875,0.7757421063585833,-0.10678502204255302,-0.11260438524302795,0.35003312902251227,POSITIVE,HIGH
남구,우암동,1,22,2,F,0.2550289441322027,0.23642857641993498,-6.743845699884578,-0.24374054851975036,-0.23642857641993498,0.10137589359511523,POSITIVE,LOW
동구,범일동,4,289,1,F,0.17703031562493005,0.1333740949126417,0.7709934421832751,0.06690673746379794,0.035747395004666595,0.10137589359511523,POSITIVE,MEDIUM
동구,수정동,1,42,1,F,0.10459848337629168,0.0871216309820108,-0.28039057088887254,-0.05319052612968189,-0.04724066233967709,0.10137589359511523,POSITIVE,MEDIUM
동구,좌천동,1,39,1,F,0.05968298150374601,0.04970403148958374,-0.5723255388693795,-0.04198698510495902,-0.040843138394060466,0.10137589359511523,POSITIVE,MEDIUM
동구,초량동,2,143,1,F,0.14491506732554638,0.11330401532867429,-0.6364833590861079,-0.07677076029418473,-0.08595812183294264,0.10137589359511523,POSITIVE,MEDIUM
동래구,낙민동,6,221,0,F,0.15645383495222068,0.1218539284518877,0.6728310675874414,-0.08896209617906159,-0.10668991894890485,-0.4358905288202599,NEGATIVE,HIGH
동래구,명륜동,5,458,0,F,0.10307692941789641,0.08207404888093421,0.7151232332271074,0.046746629159892805,0.047286200340673046,0.3861774001478577,POSITIVE,HIGH
동래구,명장동,2,191,1,F,0.1474772347341487,0.11207071901498461,0.2220536246706235,-0.0015194647006371298,-0.054425964429696015,0.10137589359511523,POSITIVE,MEDIUM
동래구,복천동,1,29,1,F,0.15983597894153215,0.1314886778320922,-0.329672677992902,-0.1182507394118808,-0.12768709371521778,0.10137589359511523,POSITIVE,LOW
동래구,사직동,9,783,0,F,0.14666680302868285,0.11524186527489245,0.8915979619362515,0.0160637462373181,0.0070411444542472605,0.13261953240922608,POSITIVE,HIGH
동래구,안락동,6,389,0,F,0.16778872558271316,0.14439785196835128,0.49704937390582316,-0.14244100511340285,-0.1416485926933422,-0.0018014225294253978,NEGATIVE,HIGH
동래구,온천동,9,1006,0,F,0.15079192565822708,0.11932850542582189,0.7379133667502968,0.05600302216537756,0.04284330811317677,-0.02982714110160998,NEGATIVE,HIGH
부산진구,가야동,4,223,1,F,0.33320867066247295,0.28846498769629225,0.6136544630442282,0.2885648553149043,0.13764416766893234,0.10137589359511523,POSITIVE,MEDIUM
부산진구,개금동,8,522,0,F,0.22440505998296595,0.1708708438462773,0.7812777344758621,-0.06484758379527733,-0.08179725975183397,0.3767278653427999,POSITIVE,HIGH
부산진구,당감동,10,559,0,F,0.382050561860263,0.330012606203733,0.14334565868198057,-0.08393599062973145,0.017161864519982434,-0.13614417110197702,NEGATIVE,HIGH
부산진구,범전동,1,114,1,F,0.08097131606803676,0.062233902912034185,-0.15632825308820353,-0.022945170252254954,-0.0322462110431325,0.10137589359511523,POSITIVE,MEDIUM
부산진구,범천동,5,282,0,F,0.13305447801160533,0.09991735138509301,0.8695114366535192,0.02190020816250904,0.004997802467374111,-0.013392002426404237,NEGATIVE,HIGH
부산진구,부암동,12,605,0,F,0.2112077563595713,0.16577501887003238,0.597515268886259,-0.12216388649227383,-0.14358590334377339,0.13238361447532862,POSITIVE,HIGH
부산진구,부전동,2,101,2,F,0.2973960151529998,0.22996065067428562,0.32823853142225534,-0.056749448104122635,-0.16558099766466824,0.10137589359511523,POSITIVE,MEDIUM
부산진구,양정동,5,488,1,F,0.140695254771525,0.09840192582336249,0.8521058553092133,-0.013858931443083478,-0.04241192203635246,0.10137589359511523,POSITIVE,HIGH
부산진구,연지동,6,426,0,F,0.15395013049382106,0.11874213885044581,0.8828966415980045,0.04308964136003901,0.002001532005379938,0.0,ZERO,HIGH
부산진구,전포동,7,669,0,F,0.0961761110015975,0.07380809289687598,0.942424924356268,0.03274129128828385,0.019449727834954578,0.11182361109912087,POSITIVE,HIGH
부산진구,초읍동,2,195,1,F,0.06924663242048794,0.053245025323206435,0.5779328417484044,0.01521827746613802,0.021347216712285955,0.10137589359511523,POSITIVE,MEDIUM
북구,구포동,5,317,0,F,0.16108787677052547,0.12518828382596106,0.8307424362312308,-0.10165877528877054,-0.1092953655961759,0.5461370012708066,POSITIVE,HIGH
북구,금곡동,13,574,0,F,0.20287781826736276,0.1650422573271724,0.7900560209440269,-0.08662563502445142,-0.08989636137422993,0.04115289330428865,POSITIVE,HIGH
북구,덕천동,6,253,1,F,0.31149512231028775,0.28591224487762507,0.7147735776502873,0.16038540231406273,0.008153031593054152,0.10137589359511523,POSITIVE,HIGH
북구,만덕동,13,820,0,F,0.1667289510614952,0.12989332412124954,0.7937627982352867,-0.08214497904384377,-0.10063150668532375,0.22728605815879419,POSITIVE,HIGH
북구,화명동,18,1727,0,F,0.19467371640198675,0.14751730847701683,0.7510954187655108,-0.04728566622746122,-0.05767746893032835,0.23904543054145572,POSITIVE,HIGH
사상구,괘법동,3,188,1,F,0.09171893259998652,0.062176965513725625,0.8736673457449882,-0.006734207343571441,-0.019806480080616744,0.10137589359511523,POSITIVE,MEDIUM
사상구,덕포동,3,193,1,F,0.31718666881797714,0.29952302686624965,0.6693271070082847,0.3087902561859668,0.1587853028272107,0.10137589359511523,POSITIVE,MEDIUM
사상구,모라동,6,289,0,F,0.2022334104632841,0.16610911372627987,-0.32778795947314565,-0.14257912213476942,-0.1467330689221055,-0.01896696585979373,NEGATIVE,HIGH
사상구,엄궁동,5,203,0,F,0.18492967764066118,0.15839586895715005,0.41502455538568983,-0.1548127961544754,-0.1547114120868205,-0.0012780779231482359,NEGATIVE,HIGH
사상구,주례동,9,407,0,F,0.17544413443295534,0.13442683121603238,0.8179084227786635,-0.04881303473312215,-0.06524246298561512,-0.013781841716594388,NEGATIVE,HIGH
사상구,학장동,10,274,0,F,0.18969285690476284,0.1504468182625329,0.6045975058136899,-0.10303102466333147,-0.11109232292444365,-0.2038346481790847,NEGATIVE,HIGH
사하구,감천동,1,35,1,F,0.17818247027165282,0.15989192564176788,-1.3650207977025612,-0.1635076771956605,-0.14145254408362185,0.10137589359511523,POSITIVE,MEDIUM
사하구,괴정동,3,232,1,F,0.08956606536767939,0.06732118758053635,0.4284223789527617,-0.04812049708386912,-0.0559044065250533,0.10137589359511523,POSITIVE,MEDIUM
사하구,구평동,3,179,1,F,0.16911913567666453,0.1160361839137371,0.5606947080572762,-0.07788384091968048,-0.10116769094594187,0.10137589359511523,POSITIVE,MEDIUM
사하구,다대동,15,953,0,F,0.24122469738074673,0.1989280652995214,0.4768666955307942,-0.16231289219996725,-0.15628172337334267,0.12310548571407837,POSITIVE,HIGH
