gu,legal_dong,apartment_count,market_id,apartments_in_market,share,relationship_type
연제구,거제동,5,ALG01,141,0.5555555555555556,MIXED
연제구,연산동,7,ALG00,220,0.4375,MIXED
연제구,연산동,8,ALG01,141,0.5,MIXED
연제구,연산동,1,ALG02,133,0.0625,MIXED
영도구,동삼동,2,ALG00,220,0.2857142857142857,MIXED
영도구,동삼동,1,ALG01,141,0.14285714285714285,MIXED
영도구,동삼동,4,ALG02,133,0.5714285714285714,MIXED
영도구,봉래동2가,1,ALG02,133,1.0,MULTI_DONG_MARKET
영도구,봉래동4가,1,ALG00,220,1.0,MULTI_DONG_MARKET
영도구,영선동4가,1,ALG00,220,1.0,MULTI_DONG_MARKET
영도구,청학동,1,ALG00,220,0.5,MIXED
영도구,청학동,1,ALG02,133,0.5,MIXED
해운대구,반송동,3,ALG02,133,1.0,MULTI_DONG_MARKET
해운대구,반여동,10,ALG00,220,0.8333333333333334,MIXED
해운대구,반여동,1,ALG01,141,0.08333333333333333,MIXED
해운대구,반여동,1,ALG02,133,0.08333333333333333,MIXED
해운대구,우동,4,ALG00,220,0.21052631578947367,MIXED
해운대구,우동,15,ALG01,141,0.7894736842105263,MIXED
해운대구,재송동,1,ALG00,220,0.09090909090909091,MIXED
해운대구,재송동,6,ALG01,141,0.5454545454545454,MIXED
해운대구,재송동,4,ALG02,133,0.36363636363636365,MIXED
해운대구,좌동,7,ALG00,220,0.25,MIXED
해운대구,좌동,21,ALG01,141,0.75,MIXED
해운대구,중동,1,ALG00,220,0.2,MIXED
해운대구,중동,4,ALG01,141,0.8,MIXED
