apartment_id,apartment_name,gu,legal_dong,household_count,elementary_school_name,elementary_demand_score,school_premium_core_score,school_premium_confidence,estimated_school_premium_pct,school_value_gap_pct,residual_method_gap_pct,comparable_method_gap_pct,gap_confidence,data_quality_flag,comparable_count,gap_method_agreement,gap_6m,gap_12m,gap_24m,temporal_sign_pattern,temporal_stability,gap_positive_probability,bootstrap_gap_median,bootstrap_gap_p05,bootstrap_gap_p95,bootstrap_stability,original_sanity_flag,sanity_flag_reason,sanity_severity,candidate_tier,tier_reason,original_phase145_candidate
A10022574,초읍하늘채포레스원,부산진구,초읍동,756.0,초읍초등학교,61.15353200883003,61.15353200883003,B,4.84546555839156,-16.994100679980853,-19.77306219367001,-14.215139166291692,HIGH,OK,10.0,STRONG_NEGATIVE,-16.994100679980853,-22.312299266339842,-17.921273930280268,---,STABLE_NEGATIVE,0.044,-20.381090372169915,-33.06897770683917,-0.3644317378627927,VERY_STABLE_NEGATIVE,False,NONE,NONE,NOT_CANDIDATE,NOT_IN_ORIGINAL_PHASE145_CANDIDATES,False
A10022591,사직하늘채리센티아,동래구,사직동,690.0,금강초등학교,77.53211920529802,77.53211920529802,B,12.389600394485466,-23.653233623963025,-19.588834612494743,-27.717632635431304,MEDIUM,OK,8.0,STRONG_NEGATIVE,-23.653233623963025,-26.456816828686783,-27.159500702666577,---,STABLE_NEGATIVE,0.102,-26.673766441116037,-79.92257609743281,5.817930616088064,STABLE_NEGATIVE,False,NONE,NONE,NOT_CANDIDATE,NOT_IN_ORIGINAL_PHASE145_CANDIDATES,False
A10022696,에코델타호반써밋스마트시티,강서구,강동동,526.0,,84.39039735099338,84.39039735099338,C,15.707645281770263,-21.4727566923658,-12.380317892148527,-30.56519549258308,LOW,OK,21.0,STRONG_NEGATIVE,,-12.471986344998413,-17.919710941339822,NA--,STABLE_NEGATIVE,0.034,-12.471986344998411,-28.067806340675062,-0.28671909607260027,VERY_STABLE_NEGATIVE,True,CONFIDENCE_C;SCHOOL_MAPPING_QUALITY;OLD_PRICE_WINDOW,MAJOR,NOT_CANDIDATE,NOT_IN_ORIGINAL_PHASE145_CANDIDATES,False
A10022844,롯데캐슬라센트,부산진구,부암동,2195.0,동평초등학교,70.84387417218544,70.84387417218544,B,9.24547906344728,-42.05620897088538,-2.228541778946536,-81.88387616282422,HIGH,OK,11.0,STRONG_NEGATIVE,-42.05620897088538,-46.304468634777876,-46.13737715326152,---,STABLE_NEGATIVE,0.0,-45.66314685395216,-70.50987975074634,-19.792896925846332,VERY_STABLE_NEGATIVE,False,NONE,NONE,NOT_CANDIDATE,NOT_IN_ORIGINAL_PHASE145_CANDIDATES,False
A10022847,대연비치,남구,대연동,1384.0,남천초등학교,77.64387417218543,77.64387417218543,B,12.442897505507622,-77.17985567069705,-67.37664077382429,-86.98307056756983,HIGH,OK,11.0,STRONG_NEGATIVE,-77.17985567069707,-68.0904637712283,-69.57465775267245,---,STABLE_NEGATIVE,0.0,-68.4699892983522,-99.9526896805609,-57.27893828045819,VERY_STABLE_NEGATIVE,False,NONE,NONE,NOT_CANDIDATE,NOT_IN_ORIGINAL_PHASE145_CANDIDATES,False
A10022890,레이카운티(5단지),연제구,거제동,4470.0,창신초등학교,80.79547461368652,80.79547461368652,B,13.956380261679737,-12.447619499573891,8.009387990720796,-32.90462698986858,LOW,METHOD_DIRECTION_DISAGREEMENT,9.0,MIXED_POSITIVE_RESIDUAL,-17.983946584586505,-16.503770082568376,-25.689692645640022,---,STABLE_NEGATIVE,0.002,-16.272818440380814,-56.066094737746,-4.993499447275667,VERY_STABLE_NEGATIVE,False,METHOD_DISAGREEMENT,MINOR,NOT_CANDIDATE,NOT_IN_ORIGINAL_PHASE145_CANDIDATES,False
A10022905,포레나부산덕천2차,북구,덕천동,795.0,덕성초등학교,67.33973509933774,67.33973509933774,A,7.633466263367361,-121.8319604066467,-25.631429615726557,-218.03249119756688,MEDIUM,OK,5.0,STRONG_NEGATIVE,-121.83196040664672,-119.7721289942417,-113.39999965558401,---,STABLE_NEGATIVE,0.002,-119.57416309873251,-130.2730710879846,-11.56566621003069,VERY_STABLE_NEGATIVE,False,NONE,NONE,NOT_CANDIDATE,NOT_IN_ORIGINAL_PHASE145_CANDIDATES,False
A10022985,경동포레스트힐 행복주택 아미,서구,아미동2가,767.0,아미초등학교,44.87897350993377,44.87897350993377,B,,,,,LOW,RECENT_PRICE_MISSING,,INSUFFICIENT,,,,NANANA,INSUFFICIENT,,,,,,True,LOW_TRANSACTION;COMPARABLE_SHORTAGE,MAJOR,NOT_CANDIDATE,NOT_IN_ORIGINAL_PHASE145_CANDIDATES,False
A10022999,대연푸르지오클라센트1단지,남구,대연동,1057.0,석포초등학교,45.4014348785872,45.4014348785872,B,-1.93197144512941,8.179339443696893,1.707527916011886,14.6511509713819,MEDIUM,OK,6.0,STRONG_POSITIVE,8.179339443696893,6.866193600007276,3.9965038219810296,+++,STABLE_POSITIVE,0.944,7.239939951181961,-2.267441880866155,16.986889166045334,VERY_STABLE_POSITIVE,False,NONE,NONE,NOT_CANDIDATE,NOT_IN_ORIGINAL_PHASE145_CANDIDATES,False
A10023014,시청앞 행복주택2단지,연제구,연산동,999.0,연산초등학교,32.301821192052984,32.301821192052984,B,,,,,LOW,RECENT_PRICE_MISSING,,INSUFFICIENT,,,,NANANA,INSUFFICIENT,,,,,,True,LOW_TRANSACTION;COMPARABLE_SHORTAGE,MAJOR,NOT_CANDIDATE,NOT_IN_ORIGINAL_PHASE145_CANDIDATES,False
