middle_school_id,middle_school_name,district,education_office,closed,suspended,middle_school_score,score_reference_year,graduates_total,weighted_graduates,available_year_count,observation_years,score_stability,sample_warning,ranking_coverage,score_status,confirmed_E_mean,confirmed_E_median,confirmed_E_max,confirmed_E_min,confirmed_E_top25_mean,confirmed_school_count,confirmed_scored_school_count,broad_E_mean,broad_E_median,broad_E_max,broad_E_min,broad_E_top25_mean,broad_school_count,broad_scored_school_count,possible_elementary_count,ambiguous_elementary_count,excluded_edge_count,total_elementary_count,connected_elementary_schools,catchment_uncertainty_gap,assignment_uncertainty_grade,representative_catchment_demand,representative_basis,data_quality_status,quality_high,demand_high,quality_demand_group,catchment_robustness
S020000604,남천중학교,남구,부산광역시남부교육지원청,N,N,87.20588235294116,2025.0,885.0,289.0,3.0,"2023,2024,2025",0.8048487190620064,False,0.9941520467836257,scored,,,,,,0,0,61.158929359823404,59.75827814569536,77.64387417218543,38.21296909492274,77.07466887417219,5,5,5,0,0,5,광남초; 남천초; 대남초; 대천초; 용소초,,HIGH_NO_CONFIRMED,59.75827814569536,BROAD_MEDIAN_FALLBACK,NO_CONFIRMED_EDGE,True,False,HIGH_QUALITY_LOW_DEMAND,CONFIRMED_DATA_INSUFFICIENT
S020001416,부산남중학교,영도구,부산광역시서부교육지원청,N,N,83.17647058823529,2025.0,203.0,66.3,3.0,"2023,2024,2025",0.6497088947195391,False,0.9941520467836257,scored,,,,,,0,0,50.3166114790287,51.67326158940398,55.103090507726264,42.81683222958057,55.103090507726264,5,4,5,0,0,5,남항초; 대평초; 봉래초; 신선초; 영도초,,HIGH_NO_CONFIRMED,51.67326158940398,BROAD_MEDIAN_FALLBACK,PARTIAL_ELEMENTARY_DEMAND,True,False,HIGH_QUALITY_LOW_DEMAND,CONFIRMED_DATA_INSUFFICIENT
S020000769,금정중학교,금정구,부산광역시동래교육지원청,N,N,82.26470588235294,2025.0,300.0,96.9,3.0,"2023,2024,2025",0.947829884590962,False,0.9941520467836257,scored,,,,,,0,0,55.19859823399558,60.480518763796915,72.37748344370861,29.618874172185436,67.6733995584989,5,5,5,0,0,5,금빛초; 두실초; 장전초; 청룡초; 현곡초,,HIGH_NO_CONFIRMED,60.480518763796915,BROAD_MEDIAN_FALLBACK,NO_CONFIRMED_EDGE,True,False,HIGH_QUALITY_LOW_DEMAND,CONFIRMED_DATA_INSUFFICIENT
S020002004,명호중학교,강서구,부산광역시북부교육지원청,N,N,77.02941176470588,2025.0,922.0,294.6,3.0,"2023,2024,2025",0.7978971236308012,False,0.9941520467836257,scored,,,,,,0,0,53.36138704930096,58.468598233995586,59.18261589403974,42.43294701986755,59.18261589403974,3,3,3,0,0,3,남명초; 명호초; 오션초,,HIGH_NO_CONFIRMED,58.468598233995586,BROAD_MEDIAN_FALLBACK,NO_CONFIRMED_EDGE,True,False,HIGH_QUALITY_LOW_DEMAND,CONFIRMED_DATA_INSUFFICIENT
S020001233,화명중학교,북구,부산광역시북부교육지원청,N,N,76.91176470588236,2025.0,735.0,241.5,3.0,"2023,2024,2025",0.7124310749344143,False,0.9941520467836257,scored,,,,,,0,0,59.73474613686534,61.55711920529801,66.68863134657838,50.83890728476821,65.25985099337748,5,5,5,0,0,5,명덕초; 와석초; 용수초; 학사초; 화정초,,HIGH_NO_CONFIRMED,61.55711920529801,BROAD_MEDIAN_FALLBACK,NO_CONFIRMED_EDGE,True,False,HIGH_QUALITY_LOW_DEMAND,BROAD_ONLY_HIGH_DEMAND
S020001426,삼성중학교,사하구,부산광역시서부교육지원청,N,N,76.79411764705881,2025.0,251.0,82.2,3.0,"2023,2024,2025",0.854933286926557,False,0.9941520467836257,scored,,,,,,0,0,50.48239514348786,48.05253863134658,73.16280353200882,35.42522075055188,67.83002207505518,6,6,6,0,0,6,감천초; 괴정초; 사하초; 서천초; 송도초; 옥천초,,HIGH_NO_CONFIRMED,48.05253863134658,BROAD_MEDIAN_FALLBACK,NO_CONFIRMED_EDGE,True,False,HIGH_QUALITY_LOW_DEMAND,CONFIRMED_DATA_INSUFFICIENT
S020000963,동의중학교,부산진구,부산광역시남부교육지원청,N,N,73.88235294117646,2025.0,279.0,93.4,3.0,"2023,2024,2025",0.7423189389846518,False,0.9941520467836257,scored,,,,,,0,0,49.928962472406184,53.49387417218543,83.05761589403974,13.76583885209713,73.93612030905078,5,5,5,0,0,5,성전초; 양동초; 양성초; 양정초; 전포초,,HIGH_NO_CONFIRMED,53.49387417218543,BROAD_MEDIAN_FALLBACK,NO_CONFIRMED_EDGE,True,False,HIGH_QUALITY_LOW_DEMAND,CONFIRMED_DATA_INSUFFICIENT
S020001642,한바다중학교,수영구,부산광역시해운대교육지원청,N,N,73.52941176470588,2025.0,565.0,187.3,3.0,"2023,2024,2025",0.8876108625416345,False,0.9941520467836257,scored,,,,,,0,0,60.779777672658454,58.72201986754967,77.64387417218543,42.56953642384106,74.34271523178808,7,7,7,0,0,7,광남초; 광안초; 남천초; 민락초; 민안초; 수영초; 호암초,,HIGH_NO_CONFIRMED,58.72201986754967,BROAD_MEDIAN_FALLBACK,NO_CONFIRMED_EDGE,True,False,HIGH_QUALITY_LOW_DEMAND,CONFIRMED_DATA_INSUFFICIENT
S020002323,오션중학교,강서구,부산광역시북부교육지원청,N,N,72.0,2025.0,388.0,210.0,2.0,"2024,2025",0.8858823529411766,False,0.9941520467836257,scored,,,,,,0,0,53.36138704930096,58.468598233995586,59.18261589403974,42.43294701986755,59.18261589403974,3,3,3,0,0,3,남명초; 명호초; 오션초,,HIGH_NO_CONFIRMED,58.468598233995586,BROAD_MEDIAN_FALLBACK,NO_CONFIRMED_EDGE,True,False,HIGH_QUALITY_LOW_DEMAND,CONFIRMED_DATA_INSUFFICIENT
S020001418,당리중학교,사하구,부산광역시서부교육지원청,N,N,69.70588235294117,2025.0,499.0,159.3,3.0,"2023,2024,2025",0.7998541275570952,False,0.9941520467836257,scored,,,,,,0,0,48.13905445180279,43.271412803532,72.3003863134658,32.74519867549669,67.82950699043414,9,9,9,0,0,9,낙동초; 당리초; 사남초; 사동초; 사하초; 신평초; 을숙도초; 하남초; 하단초,,HIGH_NO_CONFIRMED,43.271412803532,BROAD_MEDIAN_FALLBACK,NO_CONFIRMED_EDGE,True,False,HIGH_QUALITY_LOW_DEMAND,CONFIRMED_DATA_INSUFFICIENT
S020000778,부곡중학교,금정구,부산광역시동래교육지원청,N,N,69.55882352941177,2025.0,657.0,211.8,3.0,"2023,2024,2025",0.9309742560850205,False,0.9941520467836257,scored,,,,,,0,0,53.60139348785873,56.00562913907285,65.36490066225166,37.02941501103752,65.36490066225166,4,4,4,0,0,4,금양초; 동현초; 부곡초; 현곡초,,HIGH_NO_CONFIRMED,56.00562913907285,BROAD_MEDIAN_FALLBACK,NO_CONFIRMED_EDGE,True,False,HIGH_QUALITY_LOW_DEMAND,CONFIRMED_DATA_INSUFFICIENT
S020001444,하단중학교,사하구,부산광역시서부교육지원청,N,N,68.58823529411767,2025.0,376.0,124.6,3.0,"2023,2024,2025",0.6998202087689613,False,0.9941520467836257,scored,,,,,,0,0,39.29757174392936,40.58683774834438,43.271412803532,32.74519867549669,43.271412803532,4,4,4,0,0,4,신남초; 을숙도초; 하남초; 하단초,,HIGH_NO_CONFIRMED,40.58683774834438,BROAD_MEDIAN_FALLBACK,NO_CONFIRMED_EDGE,True,False,HIGH_QUALITY_LOW_DEMAND,CONFIRMED_DATA_INSUFFICIENT
S020000618,선화여자중학교,동구,부산광역시남부교육지원청,N,N,68.26470588235294,2025.0,271.0,88.9,3.0,"2023,2024,2025",0.8737312637375789,False,0.9941520467836257,scored,,,,,,0,0,47.48580298013245,50.92447571743929,67.08349889624725,21.010761589403973,67.08349889624725,4,4,4,0,0,4,광일초; 동일중앙초; 봉래초; 초량초,,HIGH_NO_CONFIRMED,50.92447571743929,BROAD_MEDIAN_FALLBACK,NO_CONFIRMED_EDGE,True,False,HIGH_QUALITY_LOW_DEMAND,CONFIRMED_DATA_INSUFFICIENT
S020002007,오륙도중학교,남구,부산광역시남부교육지원청,N,N,67.5,2025.0,397.0,130.5,3.0,"2023,2024,2025",0.6795870642763013,False,0.9941520467836257,scored,,,,,,0,0,45.93176600441501,50.4907284768212,60.247626931567325,24.534823399558498,56.4862582781457,5,5,5,0,0,5,백운초; 오륙도초; 용산초; 용호초; 운산초,,HIGH_NO_CONFIRMED,50.4907284768212,BROAD_MEDIAN_FALLBACK,NO_CONFIRMED_EDGE,True,False,HIGH_QUALITY_LOW_DEMAND,CONFIRMED_DATA_INSUFFICIENT
S020001227,용수중학교,북구,부산광역시북부교육지원청,N,N,65.55882352941177,2025.0,726.0,237.3,3.0,"2023,2024,2025",0.7815143850763973,False,0.9941520467836257,scored,,,,,,0,0,59.73474613686534,61.55711920529801,66.68863134657838,50.83890728476821,65.25985099337748,5,5,5,0,0,5,명덕초; 와석초; 용수초; 학사초; 화정초,,HIGH_NO_CONFIRMED,61.55711920529801,BROAD_MEDIAN_FALLBACK,NO_CONFIRMED_EDGE,True,False,HIGH_QUALITY_LOW_DEMAND,BROAD_ONLY_HIGH_DEMAND
S020000794,유락여자중학교,동래구,부산광역시동래교육지원청,N,N,63.73529411764706,2025.0,752.0,251.7,3.0,"2023,2024,2025",0.9646760476456282,False,0.9941520467836257,scored,,,,,,0,0,63.28199963208241,66.8509105960265,83.8975165562914,26.398785871964677,81.17919426048564,6,6,6,0,0,6,낙민초; 내산초; 내성초; 명륜초; 온샘초; 온천초,,HIGH_NO_CONFIRMED,66.8509105960265,BROAD_MEDIAN_FALLBACK,NO_CONFIRMED_EDGE,False,True,LOW_QUALITY_HIGH_DEMAND,BROAD_ONLY_HIGH_DEMAND
S020001919,장산중학교,해운대구,부산광역시해운대교육지원청,N,N,56.823529411764696,2025.0,781.0,261.9,3.0,"2023,2024,2025",0.6442150397388156,False,0.9941520467836257,scored,,,,,,0,0,73.93509933774834,73.93509933774834,75.30364238410596,72.56655629139073,75.30364238410596,2,2,2,0,0,2,무정초; 장산초,,HIGH_NO_CONFIRMED,73.93509933774834,BROAD_MEDIAN_FALLBACK,NO_CONFIRMED_EDGE,False,True,LOW_QUALITY_HIGH_DEMAND,BROAD_ONLY_HIGH_DEMAND
S020000771,부산내성중학교,동래구,부산광역시동래교육지원청,N,N,56.529411764705884,2025.0,539.0,175.8,3.0,"2023,2024,2025",0.785419148098365,False,0.9941520467836257,scored,,,,,,0,0,78.46087196467991,78.46087196467991,78.46087196467991,78.46087196467991,78.46087196467991,1,1,1,0,0,1,명륜초,,HIGH_NO_CONFIRMED,78.46087196467991,BROAD_MEDIAN_FALLBACK,NO_CONFIRMED_EDGE,False,True,LOW_QUALITY_HIGH_DEMAND,BROAD_ONLY_HIGH_DEMAND
S020001622,동백중학교,해운대구,부산광역시해운대교육지원청,N,N,54.23529411764706,2025.0,614.0,197.7,3.0,"2023,2024,2025",0.8852437789834834,False,0.9941520467836257,scored,,,,,,0,0,66.07453642384107,64.0762693156733,75.86605960264902,59.09834437086093,72.82974613686534,5,5,5,0,0,5,동백초; 신곡초; 좌동초; 해동초; 해송초,,HIGH_NO_CONFIRMED,64.0762693156733,BROAD_MEDIAN_FALLBACK,NO_CONFIRMED_EDGE,False,True,LOW_QUALITY_HIGH_DEMAND,BROAD_ONLY_HIGH_DEMAND
S020000959,거제여자중학교,연제구,부산광역시동래교육지원청,N,N,51.8235294117647,2025.0,770.0,260.1,3.0,"2023,2024,2025",0.9069848112241387,False,0.9941520467836257,scored,,,,,,0,0,75.78312637969096,80.30325607064017,89.40375275938192,53.12224061810154,89.40375275938192,4,4,4,0,0,4,거제초; 거학초; 남문초; 창신초,,HIGH_NO_CONFIRMED,80.30325607064017,BROAD_MEDIAN_FALLBACK,NO_CONFIRMED_EDGE,False,True,LOW_QUALITY_HIGH_DEMAND,BROAD_ONLY_HIGH_DEMAND
S020000796,남일중학교,동래구,부산광역시동래교육지원청,N,N,46.00000000000001,2025.0,635.0,207.4,3.0,"2023,2024,2025",0.650177966509656,False,0.9941520467836257,scored,,,,,,0,0,61.6733995584989,61.6733995584989,61.6733995584989,61.6733995584989,61.6733995584989,1,1,1,0,0,1,안민초,,HIGH_NO_CONFIRMED,61.6733995584989,BROAD_MEDIAN_FALLBACK,NO_CONFIRMED_EDGE,False,True,LOW_QUALITY_HIGH_DEMAND,BROAD_ONLY_HIGH_DEMAND
