apartment_id,apartment_name,household_count,sigungu,legal_dong,elementary_name,elementary_demand_score,elementary_percentile,phase7_score,eligible_middle_count,eligible_middle_schools,eligible_middle_score_mean,eligible_middle_score_max,eligible_middle_score_min,eligible_middle_score_range,has_guaranteed_assignment,guaranteed_middle_name,guaranteed_middle_score,guaranteed_middle_is_top_tier,school_premium_core_score,school_premium_addon_score,final_school_premium_score,school_premium_confidence,data_quality_flag,recent_price_per_m2,unusual_flag,unusual_reason,audit_segment
A10026391,더블유,1488.0,남구,용호동,분포초등학교,82.85033112582782,94.97307001795332,84.5229411764706,2.0,분포중;용호중,90.57352941176471,93.44117647058823,87.70588235294119,5.735294117647044,0.0,,,0.0,82.85033112582782,0.0,82.85033112582782,B,OK,16869126.415056694,False,,TOP_30
A61203016,동신,676.0,해운대구,좌동,부흥초등학교,82.6453642384106,94.43447037701975,80.32764705882353,2.0,부흥중;상당중,80.83823529411765,83.41176470588236,78.26470588235294,5.14705882352942,0.0,,,0.0,82.6453642384106,0.0,82.6453642384106,B,OK,5533969.151065583,False,,TOP_30
A61203020,건영1,788.0,해운대구,좌동,부흥초등학교,82.6453642384106,94.43447037701975,79.32764705882353,2.0,부흥중;상당중,80.83823529411765,83.41176470588236,78.26470588235294,5.14705882352942,0.0,,,0.0,82.6453642384106,0.0,82.6453642384106,B,OK,5819973.279893119,False,,TOP_30
A61203022,롯데3차,824.0,해운대구,좌동,부흥초등학교,82.6453642384106,94.43447037701975,80.32764705882353,2.0,부흥중;상당중,80.83823529411765,83.41176470588236,78.26470588235294,5.14705882352942,0.0,,,0.0,82.6453642384106,0.0,82.6453642384106,B,OK,6291946.308724832,False,,TOP_30
A61203023,롯데4,842.0,해운대구,좌동,부흥초등학교,82.6453642384106,94.43447037701975,80.32764705882353,2.0,부흥중;상당중,80.83823529411765,83.41176470588236,78.26470588235294,5.14705882352942,0.0,,,0.0,82.6453642384106,0.0,82.6453642384106,B,OK,5788590.604026846,False,,TOP_30
A61203029,건영2,938.0,해운대구,좌동,부흥초등학교,82.6453642384106,94.43447037701975,80.32764705882353,2.0,부흥중;상당중,80.83823529411765,83.41176470588236,78.26470588235294,5.14705882352942,0.0,,,0.0,82.6453642384106,0.0,82.6453642384106,B,OK,6420610.256196037,False,,TOP_30
A10022568,해운대경동리인뷰2차,632.0,해운대구,우동,해운대초등학교,81.58217439293598,93.53680430879713,80.95333333333333,3.0,신도중;해운대여중;해운대중,86.74509803921569,92.52941176470588,77.88235294117646,14.64705882352942,0.0,,,0.0,81.58217439293598,0.0,81.58217439293598,B,OK,11179456.160645254,False,,ALL
A10023542,해운대센트럴푸르지오,548.0,해운대구,우동,해운대초등학교,81.58217439293598,93.53680430879713,81.95333333333333,3.0,신도중;해운대여중;해운대중,86.74509803921569,92.52941176470588,77.88235294117646,14.64705882352942,0.0,,,0.0,81.58217439293598,0.0,81.58217439293598,B,OK,11501895.240147397,False,,ALL
A10024591,롯데캐슬스타,828.0,해운대구,중동,해운대초등학교,81.58217439293598,93.53680430879713,82.95333333333333,3.0,신도중;해운대여중;해운대중,86.74509803921569,92.52941176470588,77.88235294117646,14.64705882352942,0.0,,,0.0,81.58217439293598,0.0,81.58217439293598,B,OK,12330093.546349034,False,,ALL
A10025181,엘시티,882.0,해운대구,중동,해운대초등학교,81.58217439293598,93.53680430879713,81.95333333333333,3.0,신도중;해운대여중;해운대중,86.74509803921569,92.52941176470588,77.88235294117646,14.64705882352942,0.0,,,0.0,81.58217439293598,0.0,81.58217439293598,B,OK,18541200.526176903,False,,ALL
