middle_school_id,year,data_year,source_name,source_document,collected_at,parser_version,manual_review,confidence,requested_year,middle_school_name,sigungu,source_url,school_public_id,availability,observed_year,eligible_for_scoring,review_reason,graduates,general_hs_count,specialized_hs_count,science_hs_count,foreign_international_hs_count,arts_sports_hs_count,meister_hs_count,special_purpose_total,autonomous_private_hs_count,autonomous_public_hs_count,autonomous_total,other_advancement_count,advancement_total,employment_count,unaccredited_alternative_count,unknown_destination_count,foreign_language_hs_count,international_hs_count,arts_hs_count,sports_hs_count,other_special_hs_count,source_values,category_resolution,academic_selective_count,science_rate,foreign_international_rate,autonomous_private_rate,academic_selective_rate,arts_sports_rate,meister_rate
S020002354,2025,2025,학교알리미 공시 13-다,data\raw\advancement\2025\S020002354.html,2026-09-05T00:58:53.641941+00:00,advancement-html-1.0,True,0.0,2025,가락중학교,강서구,https://www.schoolinfo.go.kr/ei/pp/Pneipp_b06_s0p.do,0e2ca472-67d2-49cc-8305-f2aa1a61d6d9,not_published,,False,official_page_reports_no_data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S020000599,2026,2026,학교알리미 공시 13-다,data\raw\advancement\2026\S020000599.html,2026-09-05T00:59:49.929808+00:00,advancement-html-1.0,True,0.0,2026,감만중학교,남구,https://www.schoolinfo.go.kr/ei/pp/Pneipp_b06_s0p.do,6804cb34-773f-492b-8c6e-a22af827de62,year_mismatch,2025.0,False,requested_year_not_published_or_response_year_differs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S020000600,2026,2026,학교알리미 공시 13-다,data\raw\advancement\2026\S020000600.html,2026-09-05T00:59:21.506954+00:00,advancement-html-1.0,True,0.0,2026,경남여자중학교,동구,https://www.schoolinfo.go.kr/ei/pp/Pneipp_b06_s0p.do,75a268ff-9bad-44cf-822a-9d7e7709e081,year_mismatch,2025.0,False,requested_year_not_published_or_response_year_differs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S020000601,2026,2026,학교알리미 공시 13-다,data\raw\advancement\2026\S020000601.html,2026-09-05T00:59:21.809635+00:00,advancement-html-1.0,True,0.0,2026,금성중학교,동구,https://www.schoolinfo.go.kr/ei/pp/Pneipp_b06_s0p.do,63502a64-072b-4118-ad19-5df00842009e,not_published,,False,official_page_reports_no_data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S020000604,2026,2026,학교알리미 공시 13-다,data\raw\advancement\2026\S020000604.html,2026-09-05T00:59:51.154074+00:00,advancement-html-1.0,True,0.0,2026,남천중학교,남구,https://www.schoolinfo.go.kr/ei/pp/Pneipp_b06_s0p.do,6ee81a91-3658-4050-860f-715e5afa250f,year_mismatch,2025.0,False,requested_year_not_published_or_response_year_differs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S020000606,2026,2026,학교알리미 공시 13-다,data\raw\advancement\2026\S020000606.html,2026-09-05T00:59:51.280424+00:00,advancement-html-1.0,True,0.0,2026,대연중학교,남구,https://www.schoolinfo.go.kr/ei/pp/Pneipp_b06_s0p.do,fec3f534-5068-4f7d-9709-11b14705529e,year_mismatch,2025.0,False,requested_year_not_published_or_response_year_differs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S020000607,2026,2026,학교알리미 공시 13-다,data\raw\advancement\2026\S020000607.html,2026-09-05T00:59:52.394823+00:00,advancement-html-1.0,True,0.0,2026,대천중학교,남구,https://www.schoolinfo.go.kr/ei/pp/Pneipp_b06_s0p.do,2a0337ff-2eeb-4271-bb58-cccc892d23c3,year_mismatch,2025.0,False,requested_year_not_published_or_response_year_differs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S020000608,2026,2026,학교알리미 공시 13-다,data\raw\advancement\2026\S020000608.html,2026-09-05T00:59:15.799658+00:00,advancement-html-1.0,True,0.0,2026,덕원중학교,중구,https://www.schoolinfo.go.kr/ei/pp/Pneipp_b06_s0p.do,e01183cf-b1f3-49c6-b1f7-10bd44b6e5ff,year_mismatch,2025.0,False,requested_year_not_published_or_response_year_differs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S020000610,2026,2026,학교알리미 공시 13-다,data\raw\advancement\2026\S020000610.html,2026-09-05T00:59:52.497705+00:00,advancement-html-1.0,True,0.0,2026,동항중학교,남구,https://www.schoolinfo.go.kr/ei/pp/Pneipp_b06_s0p.do,70f08ca7-d077-4829-825a-8fb2c56b6a0b,year_mismatch,2025.0,False,requested_year_not_published_or_response_year_differs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S020000611,2026,2026,학교알리미 공시 13-다,data\raw\advancement\2026\S020000611.html,2026-09-05T00:59:53.594250+00:00,advancement-html-1.0,True,0.0,2026,문현여자중학교,남구,https://www.schoolinfo.go.kr/ei/pp/Pneipp_b06_s0p.do,24b5b899-c87f-46f4-87bc-425ee69b6f9a,year_mismatch,2025.0,False,requested_year_not_published_or_response_year_differs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S020000612,2026,2026,학교알리미 공시 13-다,data\raw\advancement\2026\S020000612.html,2026-09-05T00:59:53.708741+00:00,advancement-html-1.0,True,0.0,2026,배정중학교,남구,https://www.schoolinfo.go.kr/ei/pp/Pneipp_b06_s0p.do,394f2f78-cee2-4007-9d4d-7a20924c50d9,not_published,,False,official_page_reports_no_data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S020000613,2026,2026,학교알리미 공시 13-다,data\raw\advancement\2026\S020000613.html,2026-09-05T00:59:22.513941+00:00,advancement-html-1.0,True,0.0,2026,부산동여자중학교,동구,https://www.schoolinfo.go.kr/ei/pp/Pneipp_b06_s0p.do,1378386e-96bb-4dfc-82d9-3598b31ab5a3,year_mismatch,2025.0,False,requested_year_not_published_or_response_year_differs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
