apartment_id,apartment_name,legal_dong,issue_type,model_confidence,recommended_action
A60474307,다대해송,다대동,EXTREME_PREDICTION,HIGH,Phase 15.3 confidence filter 또는 별도 검토
A60474307,다대해송,다대동,SYSTEMATIC_RESIDUAL,HIGH,Phase 15.3 confidence filter 또는 별도 검토
A60475309,3지구도개공아파트,다대동,INSUFFICIENT_RECENT_TRANSACTIONS,LOW,Phase 15.3 confidence filter 또는 별도 검토
A60475309,3지구도개공아파트,다대동,FAIR_PRICE_NOT_AVAILABLE,LOW,Phase 15.3 confidence filter 또는 별도 검토
A60475408,국제그린,다대동,EXTREME_PREDICTION,HIGH,Phase 15.3 confidence filter 또는 별도 검토
A60475411,도개공다대4지구영구임대아파트,다대동,INSUFFICIENT_RECENT_TRANSACTIONS,LOW,Phase 15.3 confidence filter 또는 별도 검토
A60475411,도개공다대4지구영구임대아파트,다대동,FAIR_PRICE_NOT_AVAILABLE,LOW,Phase 15.3 confidence filter 또는 별도 검토
A60475412,다송,다대동,SYSTEMATIC_RESIDUAL,HIGH,Phase 15.3 confidence filter 또는 별도 검토
A60476805,현대,신평동,SCHOOL_DATA_LOW_CONFIDENCE,HIGH,Phase 15.3 confidence filter 또는 별도 검토
A60476805,현대,신평동,EXTREME_PREDICTION,HIGH,Phase 15.3 confidence filter 또는 별도 검토
A60482712,5지구몰운대영구임대아파트,다대동,INSUFFICIENT_RECENT_TRANSACTIONS,LOW,Phase 15.3 confidence filter 또는 별도 검토
A60482712,5지구몰운대영구임대아파트,다대동,FAIR_PRICE_NOT_AVAILABLE,LOW,Phase 15.3 confidence filter 또는 별도 검토
A60483404,한신,신평동,EXTREME_PREDICTION,MEDIUM,Phase 15.3 confidence filter 또는 별도 검토
A60670101,도시공사동삼2지구영구임대아파트,동삼동,INSUFFICIENT_RECENT_TRANSACTIONS,LOW,Phase 15.3 confidence filter 또는 별도 검토
A60670101,도시공사동삼2지구영구임대아파트,동삼동,SCHOOL_DATA_LOW_CONFIDENCE,LOW,Phase 15.3 confidence filter 또는 별도 검토
A60670101,도시공사동삼2지구영구임대아파트,동삼동,FAIR_PRICE_NOT_AVAILABLE,LOW,Phase 15.3 confidence filter 또는 별도 검토
A60676104,부산동삼1,동삼동,INSUFFICIENT_RECENT_TRANSACTIONS,LOW,Phase 15.3 confidence filter 또는 별도 검토
A60676104,부산동삼1,동삼동,FAIR_PRICE_NOT_AVAILABLE,LOW,Phase 15.3 confidence filter 또는 별도 검토
A60676205,부산동삼2주공,동삼동,INSUFFICIENT_RECENT_TRANSACTIONS,LOW,Phase 15.3 confidence filter 또는 별도 검토
A60676205,부산동삼2주공,동삼동,FAIR_PRICE_NOT_AVAILABLE,LOW,Phase 15.3 confidence filter 또는 별도 검토
A60680912,절영아파트(215동-217동),동삼동,SCHOOL_DATA_LOW_CONFIDENCE,HIGH,Phase 15.3 confidence filter 또는 별도 검토
A60777206,부산안락4휴먼시아,안락동,INSUFFICIENT_RECENT_TRANSACTIONS,LOW,Phase 15.3 confidence filter 또는 별도 검토
A60777206,부산안락4휴먼시아,안락동,FAIR_PRICE_NOT_AVAILABLE,LOW,Phase 15.3 confidence filter 또는 별도 검토
A60976501,부곡시영,부곡동,INSUFFICIENT_RECENT_TRANSACTIONS,LOW,Phase 15.3 confidence filter 또는 별도 검토
A60976501,부곡시영,부곡동,FAIR_PRICE_NOT_AVAILABLE,LOW,Phase 15.3 confidence filter 또는 별도 검토
A61180503,유림아시아드,거제동,SYSTEMATIC_RESIDUAL,HIGH,Phase 15.3 confidence filter 또는 별도 검토
A61202004,대우트럼프월드센텀,우동,SYSTEMATIC_RESIDUAL,MEDIUM,Phase 15.3 confidence filter 또는 별도 검토
A61204001,송정1단지주공아파트,송정동,INSUFFICIENT_RECENT_TRANSACTIONS,LOW,Phase 15.3 confidence filter 또는 별도 검토
A61204001,송정1단지주공아파트,송정동,FAIR_PRICE_NOT_AVAILABLE,LOW,Phase 15.3 confidence filter 또는 별도 검토
A61204002,부산송정2휴먼시아,송정동,INSUFFICIENT_RECENT_TRANSACTIONS,LOW,Phase 15.3 confidence filter 또는 별도 검토
A61204002,부산송정2휴먼시아,송정동,FAIR_PRICE_NOT_AVAILABLE,LOW,Phase 15.3 confidence filter 또는 별도 검토
A61271204,더샵센텀파크1차,재송동,EXTREME_PREDICTION,MEDIUM,Phase 15.3 confidence filter 또는 별도 검토
A61273009,부산도시공사 반송영구임대아파트,반송동,INSUFFICIENT_RECENT_TRANSACTIONS,LOW,Phase 15.3 confidence filter 또는 별도 검토
A61273009,부산도시공사 반송영구임대아파트,반송동,FAIR_PRICE_NOT_AVAILABLE,LOW,Phase 15.3 confidence filter 또는 별도 검토
A61273609,부산반송주공,반송동,INSUFFICIENT_RECENT_TRANSACTIONS,LOW,Phase 15.3 confidence filter 또는 별도 검토
A61273609,부산반송주공,반송동,FAIR_PRICE_NOT_AVAILABLE,LOW,Phase 15.3 confidence filter 또는 별도 검토
A61278214,센텀우신골든빌,재송동,SYSTEMATIC_RESIDUAL,MEDIUM,Phase 15.3 confidence filter 또는 별도 검토
A61282705,센텀센시빌,우동,SYSTEMATIC_RESIDUAL,MEDIUM,Phase 15.3 confidence filter 또는 별도 검토
A61283410,장산동국,재송동,SYSTEMATIC_RESIDUAL,MEDIUM,Phase 15.3 confidence filter 또는 별도 검토
A61301003,삼익비치,남천동,EXTREME_PREDICTION,MEDIUM,Phase 15.3 confidence filter 또는 별도 검토
A61310007,쌍용예가디오션,광안동,SYSTEMATIC_RESIDUAL,MEDIUM,Phase 15.3 confidence filter 또는 별도 검토
A61476004,범천LH,범천동,INSUFFICIENT_RECENT_TRANSACTIONS,LOW,Phase 15.3 confidence filter 또는 별도 검토
A61476004,범천LH,범천동,FAIR_PRICE_NOT_AVAILABLE,LOW,Phase 15.3 confidence filter 또는 별도 검토
A61477403,시영(1~5동),개금동,SYSTEMATIC_RESIDUAL,HIGH,Phase 15.3 confidence filter 또는 별도 검토
A61477806,국제백양,당감동,SYSTEMATIC_RESIDUAL,MEDIUM,Phase 15.3 confidence filter 또는 별도 검토
A61480910,개금2지구도개공임대아파트,개금동,INSUFFICIENT_RECENT_TRANSACTIONS,LOW,Phase 15.3 confidence filter 또는 별도 검토
A61480910,개금2지구도개공임대아파트,개금동,FAIR_PRICE_NOT_AVAILABLE,LOW,Phase 15.3 confidence filter 또는 별도 검토
A61673302,삼한힐파크,화명동,SYSTEMATIC_RESIDUAL,HIGH,Phase 15.3 confidence filter 또는 별도 검토
A61673305,화명유림,화명동,SYSTEMATIC_RESIDUAL,HIGH,Phase 15.3 confidence filter 또는 별도 검토
A61674824,부산율리마을,금곡동,INSUFFICIENT_RECENT_TRANSACTIONS,LOW,Phase 15.3 confidence filter 또는 별도 검토
A61674824,부산율리마을,금곡동,FAIR_PRICE_NOT_AVAILABLE,LOW,Phase 15.3 confidence filter 또는 별도 검토
A61676118,금곡주공1단지,금곡동,INSUFFICIENT_RECENT_TRANSACTIONS,LOW,Phase 15.3 confidence filter 또는 별도 검토
A61676118,금곡주공1단지,금곡동,FAIR_PRICE_NOT_AVAILABLE,LOW,Phase 15.3 confidence filter 또는 별도 검토
A61676215,금곡주공2단지,금곡동,INSUFFICIENT_RECENT_TRANSACTIONS,LOW,Phase 15.3 confidence filter 또는 별도 검토
A61676215,금곡주공2단지,금곡동,FAIR_PRICE_NOT_AVAILABLE,LOW,Phase 15.3 confidence filter 또는 별도 검토
