local_market_id,local_market_name,apartment_count,transaction_count_12m,transaction_count_24m,median_price_per_m2,price_iqr,median_age,median_households,median_turnover,median_school_core_score,main_gu,legal_dong_list,dominant_dong,spatial_coherence,time_stability,bootstrap_stability,market_confidence,representative_apartments
LM021,남구|감만동,2,31,58,2730869.2152384645,477865.2098980108,25.0,716.5,0.02168336838632521,37.66233443708609,남구,감만동,감만동,0.8378008374274473,1.0,1.0,LOW,감만현대1차;동일스위트
LM022,남구|대연동,12,982,1670,8686746.39456695,4431473.686318031,9.5,979.5,0.0643964945743827,61.73405077262693,남구,대연동,대연동,1.681727889281459,0.9166666666666666,1.0,HIGH,대연푸르지오클라센트1단지;대연자이;대연파크푸르지오;대연SKVIEWHills(2단지);부산대연동푸르지오
LM023,남구|문현동,7,329,503,5309392.4409069065,2362677.126627364,7.0,662.0,0.06042296072507553,57.40093818984548,남구,문현동,문현동,0.8480254942762,1.0,1.0,MEDIUM,문현경동리인아파트;오션파라곤아파트;베스티움;현대;삼성
LM024,남구|용당동,2,39,69,3573503.8723978344,265435.49362200033,21.0,730.0,0.026813074565883555,46.31117549668875,남구,용당동,용당동,0.6711744078495964,1.0,1.0,LOW,현대아이파크;신대연코오롱하늘채
LM025,남구|용호동,9,715,1215,4851581.932782942,1837407.852539286,18.0,1149.0,0.04633204633204633,50.4907284768212,남구,용호동,용호동,1.4096551397191637,1.0,1.0,MEDIUM,용호동일신님(林)Ⅱ;데시앙해링턴플레이스파크시티;쌍용예가;엘지메트로시티4-2(230~238);현대비치
LM026,남구|우암동,1,17,27,2567394.0949935815,0.0,27.0,661.0,0.025718608169440244,62.45943708609272,남구,우암동,우암동,0.0,1.0,1.0,LOW,일신보라
LM027,동구|범일동,4,179,317,5242142.756484496,2467976.5423408784,14.0,671.0,0.03946078431372549,63.84878587196467,동구,범일동,범일동,0.5666319828457136,1.0,1.0,LOW,오션브릿지;두산위브더제니스하버시티;두산위브포세이돈2;한성기린
LM028,동구|수정동,1,29,51,8044418.59802543,0.0,7.0,788.0,0.03680203045685279,36.20816777041942,동구,수정동,수정동,0.0,1.0,1.0,LOW,협성휴포레부산진역오션뷰
LM029,동구|좌천동,1,23,46,6231019.096718961,0.0,4.0,546.0,0.04212454212454213,36.20816777041942,동구,좌천동,좌천동,0.0,1.0,1.0,LOW,부산항일동미라주더오션(1지구)
LM030,동구|초량동,2,86,173,7104301.658739256,473719.7913508946,6.5,804.0,0.05322255915689004,67.08349889624725,동구,초량동,초량동,0.2595726404158961,1.0,1.0,LOW,범양레우스센트럴베이;e편한세상부산항
LM031,동래구|낙민동,6,143,271,5064896.549628479,1193979.7892103363,28.0,592.0,0.0405017271418069,61.6733995584989,동래구,낙민동,낙민동,0.3902947000615124,1.0,1.0,MEDIUM,동원로얄듀크;중앙하이츠2;한일유앤아이;포레나동래;동래우성
LM032,동래구|명륜동,5,306,543,9447625.681070276,3093264.441238243,10.0,874.0,0.04264705882352941,78.46087196467991,동래구,명륜동,명륜동,0.6178788659211965,1.0,1.0,MEDIUM,힐스테이트명륜트라디움;명륜아이파크1단지;명륜자이;명륜2차아이파크1단지;동래센트럴파크하이츠2차
LM033,동래구|명장동,2,132,238,5948569.660274189,940637.980245675,7.5,1043.0,0.06383289692538247,37.41754966887417,동래구,명장동,명장동,1.3883966967191779,1.0,1.0,LOW,e편한세상동래명장1단지;동래동일스위트
LM034,동래구|복천동,1,20,32,3784796.9702487625,0.0,37.0,744.0,0.026881720430107527,26.39878587196468,동래구,복천동,복천동,0.0,1.0,1.0,LOW,우성베스토피아
LM035,동래구|사직동,9,540,950,6237862.649326193,4960644.983387628,15.0,874.0,0.05579868708971553,80.76136865342164,동래구,사직동,사직동,0.7063982967306048,1.0,1.0,MEDIUM,사직KCC스위첸1단지;사직2차쌍용예가;쌍용더플래티넘사직아시아드아파트;사직하늘채리센티아;사직2차삼정그린코아
LM036,동래구|안락동,6,263,455,5209359.273665601,1796593.8779614097,22.5,803.5,0.043729982754372995,63.19006622516556,동래구,안락동,안락동,0.9601627971960714,1.0,1.0,MEDIUM,안락현대;안락경동리인;안락뜨란채2단지;안락SKVIEW;강변뜨란채
LM037,동래구|온천동,9,647,1194,7302559.257048026,3126552.135545928,7.0,999.0,0.05804311774461028,77.53211920529802,동래구,온천동,온천동,1.1662592935425289,1.0,1.0,MEDIUM,반도보라스카이뷰;동래삼정그린코아포레스트;동래효성해링턴플레이스;동래3차SKVIEW;더샵동래
LM038,부산진구|가야동,3,155,263,4884332.0396831045,3688154.870180056,21.0,1048.0,0.04103053435114504,71.48399558498896,부산진구,가야동,가야동,0.5995933916415056,1.0,1.0,LOW,반도보라빌;가야롯데캐슬골드아너;벽산1
LM039,부산진구|개금동,8,361,628,3410533.9270518674,2563293.9768613894,28.5,937.0,0.03419174019053364,46.13645143487858,부산진구,개금동,개금동,1.0795706529458422,1.0,1.0,MEDIUM,개금아이파크;엘지신개금(2-1);동원화인패밀리;개금우드빌;개금주공2
LM040,부산진구|당감동,10,393,674,3435337.99781547,1598983.6077572051,28.5,962.5,0.036338403706617714,55.55295253863135,부산진구,당감동,당감동,1.2167051542188532,1.0,1.0,HIGH,"태화현대2;동일스위트;백양푸른채;백양뜨란채,주공아파트(1단지);태화현대1"
LM041,부산진구|범전동,1,72,137,9471340.371307733,0.0,7.0,1272.0,0.05660377358490566,41.84972406181016,부산진구,범전동,범전동,0.0,1.0,1.0,LOW,삼한골든뷰센트럴파크
LM042,부산진구|범천동,5,198,348,5284995.546449504,1198106.027868019,19.0,630.0,0.04173354735152488,43.54536423841059,부산진구,범천동,범천동,0.8621768783729671,1.0,1.0,MEDIUM,서면DS·협성엘리시안아파트;경남;서면이-편한세상;e편한세상서면더센트럴;서면베르빌2
LM043,부산진구|부암동,12,426,698,4109545.962781543,2009995.7644102843,19.0,722.5,0.03977280592602619,57.03956953642385,부산진구,부암동,부암동,1.1248256206284637,1.0,1.0,HIGH,서면동일파크스위트1차;쌍용스윗닷홈스카이;서면동일파크스위트3차;화승;백양산서희스타힐스
LM044,부산진구|부전동,2,73,123,3883776.028503207,1379644.2110043345,20.5,1071.0,0.03580562659846547,45.773316777041956,부산진구,부전동,부전동,0.6017129888066663,1.0,1.0,LOW,네오스포;더샵센트럴스타
LM045,부산진구|양정동,5,366,546,4981353.819961494,4286504.740445696,20.0,1733.0,0.04576538663861126,64.81462472406182,부산진구,양정동,양정동,0.8033783588071245,1.0,1.0,MEDIUM,현대2차;대원칸타빌멤버스;양정포레힐즈스위첸1단지;현대1차;양정자이더샵SKVIEW아파트(2단지)
LM046,부산진구|연지동,6,308,493,4308658.056426888,2089073.9023356778,20.5,721.5,0.04428216496685014,67.58669977924946,부산진구,연지동,연지동,0.6146881469505178,1.0,1.0,MEDIUM,세동한신;연지2청구;연지자이2차;연지자이;화인
LM047,부산진구|전포동,7,439,795,4971758.060720169,4172864.918092043,21.0,751.0,0.045878136200716846,53.49387417218543,부산진구,전포동,전포동,0.8876037065285518,1.0,1.0,MEDIUM,서면한신;한라비발디;e편한세상시민공원2단지;서면아이파크1단지;서면대우디오빌2
LM048,부산진구|초읍동,2,139,240,7447544.497495885,981928.2677392121,4.0,934.5,0.06626235399820304,53.35584988962472,부산진구,초읍동,초읍동,0.6404047342847273,1.0,1.0,LOW,초읍하늘채포레스원;포레나부산초읍
LM049,북구|구포동,5,218,400,3684459.573681779,2732890.985931051,21.0,1079.0,0.041916167664670656,41.49266004415011,북구,구포동,구포동,0.9869717528955647,1.0,1.0,MEDIUM,삼정그린코아;구포동원로얄듀크비스타;구포유림노르웨이숲2차;구포현대;리버파크반도유보라
LM050,북구|금곡동,13,382,684,2622245.4793883367,2276823.6362328157,30.0,713.0,0.02976190476190476,42.66324503311259,북구,금곡동,금곡동,1.1583701355479161,1.0,1.0,HIGH,화명리버빌2차;협진태양·조성아파트;동원역삼정그린코아;화명한일유앤아이;율리역벽산블루밍1단지
LM051,북구|덕천동,6,198,294,3438882.555912312,4652655.275509962,19.5,750.0,0.03803191489361702,52.85046909492274,북구,덕천동,덕천동,0.7787114156892254,1.0,1.0,MEDIUM,롯데;덕천삼정그린코아;포레나부산덕천2차;포레나부산덕천1차;기비골마을
LM052,북구|만덕동,13,569,1011,2624439.7263505543,1475176.8828998269,27.0,900.0,0.032388663967611336,40.07654525386313,북구,만덕동,만덕동,0.774763569756778,1.0,1.0,HIGH,벽산라인타운;대성타워;쌍용스윗닷홈;상록한신휴플러스;럭키2
LM053,북구|화명동,18,1144,2075,4679582.086071497,3258323.145560547,23.5,1016.5,0.04427350427350427,61.624392935982335,북구,화명동,화명동,1.0754188854539517,1.0,1.0,HIGH,동원로얄듀크;화명2차현대;롯데낙천대;수정강변타운;대림쌍용강변타운
LM054,사상구|괘법동,3,123,247,4161096.256684492,1227481.586331728,26.0,874.0,0.04666666666666667,49.17135761589404,사상구,괘법동,괘법동,0.3732549391676027,1.0,1.0,LOW,괘법한신2;센트럴스타힐스;사상강변동원
LM055,사상구|덕포동,3,145,213,3383261.247313691,2855634.504229004,13.0,780.0,0.04448742746615087,49.122130242825605,사상구,덕포동,덕포동,0.8839351314947589,1.0,1.0,LOW,덕포경동메르빌;자유;사상중흥에스-클래스그랜드센트럴
LM056,사상구|모라동,6,174,350,2341066.555925235,503228.01784056285,34.0,990.0,0.027905982905982906,51.28046357615894,사상구,모라동,모라동,0.7115981640381136,1.0,1.0,MEDIUM,모라동원타운;우성;주공4;우신모라;백양그린
LM057,사상구|엄궁동,5,130,254,2514619.8830409357,943717.8061778652,27.0,1016.0,0.023064250411861616,52.09056291390729,사상구,엄궁동,엄궁동,0.512079207512962,1.0,1.0,MEDIUM,코오롱;엄궁대림;쌍용스윗닷홈;엄궁2차한신;롯데캐슬
LM058,사상구|주례동,9,271,514,2751375.687843922,1745585.0950650866,29.0,977.0,0.02834008097165992,43.32251655629139,사상구,주례동,주례동,0.9978144766984618,1.0,1.0,MEDIUM,반도보라;주례경동리인;엘지신주례1;주례청구;한일유엔아이
LM059,사상구|학장동,10,168,351,2349100.532697538,958989.9152867908,32.0,794.0,0.021769714920399853,38.87693156732892,사상구,학장동,학장동,0.6924464127839373,1.0,1.0,HIGH,신구덕우성;학장동2차삼성;학장대림;학장무학;목화
LM060,사하구|감천동,1,20,44,2602034.9522943376,0.0,23.0,634.0,0.031545741324921134,35.70402869757175,사하구,감천동,감천동,0.0,1.0,1.0,LOW,부영벽산파라빌
LM061,사하구|괴정동,3,160,274,6668569.43181121,610536.2892516097,4.0,835.0,0.059880239520958084,62.49724061810154,사하구,괴정동,괴정동,1.385825420203486,1.0,1.0,LOW,괴정한신더휴;힐스테이트사하역;사하역비스타동원
LM062,사하구|구평동,3,118,205,3719295.8313808255,1159549.078685658,9.0,946.0,0.05056179775280899,36.72902869757174,사하구,구평동,구평동,0.4996803869145152,1.0,1.0,LOW,e편한세상사하;e편한세상사하2차;구평1차자유
LM063,사하구|다대동,15,577,1178,2765024.673432937,1220860.4738959852,30.0,972.0,0.02661064425770308,35.72958057395144,사하구,다대동,다대동,1.2203080653785157,1.0,1.0,HIGH,자유;삼환;다대해송;국제그린;다대푸르지오
LM064,사하구|당리동,1,19,31,6000762.449817154,0.0,13.0,542.0,0.03505535055350553,68.6908940397351,사하구,당리동,당리동,0.0,0.0,1.0,LOW,당리푸르지오
LM065,사하구|신평동,6,195,357,2321429.866280585,991646.1079801731,31.5,937.0,0.031564093442428554,45.64525386313466,사하구,신평동,신평동,0.445823631316381,1.0,1.0,MEDIUM,사하뷰웰;한신;신익강변타운;현대;사하코오롱하늘채
LM066,사하구|장림동,5,181,340,2196725.7097845254,992671.238860436,21.0,990.0,0.03230769230769231,35.53813465783665,사하구,장림동,장림동,0.9714240488360846,1.0,1.0,MEDIUM,신세대지큐빌;협성르네상스;동원로얄듀크;두산위브더제니스센트럴사하;장림현대(372-4)
LM067,사하구|하단동,4,236,406,3219764.8146263356,820397.5018404131,31.5,1787.0,0.0312845486482743,35.91852924944812,사하구,하단동,하단동,1.3482876502453875,1.0,1.0,LOW,가락타운1;가락타운2;하단동에스케이뷰;한신혜성
LM068,서구|동대신동1가,1,37,55,6833675.017084188,0.0,5.0,503.0,0.073558648111332,48.52251655629139,서구,동대신동1가,동대신동1가,0.0,1.0,1.0,LOW,동대신역비스타동원아파트
