class_a_rank,combined_candidate_class,apartment_id,apartment_name,gu,legal_dong,elementary_school_name,local_value_gap_pct,local_gap_interval_status,local_gap_temporal_stability,local_gap_confidence,school_value_gap_pct,gap_confidence,gap_positive_probability,school_local_signal_agreement,strong_dual_positive,model_confidence,fallback_level,extreme_gap_flag,dong_bias_flag
36.0,ROBUST_DUAL_POSITIVE,A10026902,연산동일동미라주더스타,연제구,연산동,연서초등학교,18.778299409017983,POTENTIAL_UNDERVALUED_SIGNAL,STABLE_POSITIVE,HIGH,9.2132883738834,MEDIUM,1.0,DOUBLE_POSITIVE,True,HIGH,0,False,False
37.0,ROBUST_DUAL_POSITIVE,A61404203,서면대우디오빌2,부산진구,전포동,성전초등학교,18.266589559208903,POTENTIAL_UNDERVALUED_SIGNAL,STABLE_POSITIVE,HIGH,54.80354907673871,MEDIUM,1.0,DOUBLE_POSITIVE,True,HIGH,0,False,False
38.0,ROBUST_DUAL_POSITIVE,A10028028,부산센텀푸르지오,연제구,연산동,과정초등학교,18.099343015150705,POTENTIAL_UNDERVALUED_SIGNAL,STABLE_POSITIVE,HIGH,8.010279327192004,MEDIUM,1.0,DOUBLE_POSITIVE,True,HIGH,0,False,False
39.0,ROBUST_DUAL_POSITIVE,A61479403,쌍용스윗닷홈,부산진구,부암동,동양초등학교,17.399361809335346,POTENTIAL_UNDERVALUED_SIGNAL,STABLE_POSITIVE,HIGH,23.614564600191656,MEDIUM,1.0,DOUBLE_POSITIVE,True,HIGH,0,False,False
40.0,ROBUST_DUAL_POSITIVE,A61203038,SKVIEW,해운대구,좌동,좌산초등학교,16.96962150587591,POTENTIAL_UNDERVALUED_SIGNAL,STABLE_POSITIVE,HIGH,32.09802977224911,MEDIUM,1.0,DOUBLE_POSITIVE,True,HIGH,0,False,False
41.0,ROBUST_DUAL_POSITIVE,A61990110,이지더원,기장군,정관읍모전리,모전초등학교,16.13022529473893,POTENTIAL_UNDERVALUED_SIGNAL,STABLE_POSITIVE,HIGH,16.480288876010807,MEDIUM,1.0,DOUBLE_POSITIVE,True,HIGH,0,False,False
42.0,ROBUST_DUAL_POSITIVE,A61279804,센텀SKVIEW아파트,해운대구,반여동,반안초등학교,15.573359712260215,POTENTIAL_UNDERVALUED_SIGNAL,STABLE_POSITIVE,HIGH,12.730960909909628,MEDIUM,1.0,DOUBLE_POSITIVE,True,HIGH,0,False,False
43.0,ROBUST_DUAL_POSITIVE,A60712001,사직2차삼정그린코아,동래구,사직동,사직초등학교,14.954900102314795,POTENTIAL_UNDERVALUED_SIGNAL,STABLE_POSITIVE,HIGH,48.0926280153876,MEDIUM,1.0,DOUBLE_POSITIVE,True,HIGH,0,False,False
44.0,ROBUST_DUAL_POSITIVE,A61777409,학장대림,사상구,학장동,구학초등학교,13.719404585131745,POTENTIAL_UNDERVALUED_SIGNAL,STABLE_POSITIVE,HIGH,25.690931112584444,MEDIUM,1.0,DOUBLE_POSITIVE,True,HIGH,0,False,False
45.0,ROBUST_DUAL_POSITIVE,A61776907,금강,사상구,학장동,학진초등학교,12.592633485764848,POTENTIAL_UNDERVALUED_SIGNAL,STABLE_POSITIVE,HIGH,36.7098570905033,MEDIUM,1.0,DOUBLE_POSITIVE,True,HIGH,0,False,False
