n,coefficient,standard_error,t_stat,p_value,ci95_low,ci95_high,r_squared,scenario,excluded_districts,predictor,outcome
239,0.00040735407842053994,0.0002539429563484625,1.6041164688244611,0.11012297880496472,-9.037411602244653e-05,0.0009050822728635265,0.36028951543366416,LEAVE_ONE_OUT_북구,북구,broad_middle_quality_median,net_transfer_rate
24,0.0049912315462716135,0.00767175484881749,0.6505984151775852,0.5240022561228144,-0.010045407957410666,0.02002787104995389,0.3069400895732286,LEAVE_ONE_OUT_사상구,사상구,confirmed_middle_quality_median,adjusted_upper_grade_index
24,0.0009024834767811691,0.001517710725683276,0.5946347097038992,0.5599194975039046,-0.002072229545558052,0.0038771964991203903,0.518567725071087,LEAVE_ONE_OUT_사상구,사상구,confirmed_middle_quality_median,adjusted_cohort_growth
24,-0.000696085585260311,0.002303594236718576,-0.3021736962894433,0.7661853204348213,-0.0052111302892287195,0.003818959118708098,0.49998020829400114,LEAVE_ONE_OUT_사상구,사상구,confirmed_middle_quality_median,net_transfer_rate
247,0.0021857231199766645,0.001182145516166357,1.8489459123990617,0.06576020184362781,-0.0001312820917093952,0.004502728331662724,0.45516481634710515,LEAVE_ONE_OUT_사상구,사상구,broad_middle_quality_median,adjusted_upper_grade_index
246,0.0002594269702769086,0.0001696539940608201,1.5291533318331743,0.12761870694505686,-7.309485808229874e-05,0.0005919487986361159,0.5562100242664301,LEAVE_ONE_OUT_사상구,사상구,broad_middle_quality_median,adjusted_cohort_growth
246,0.00030461140658848845,0.00022690035826627514,1.3424897559263296,0.18077824420013763,-0.0001401132956134108,0.0007493361087903877,0.36766055768928696,LEAVE_ONE_OUT_사상구,사상구,broad_middle_quality_median,net_transfer_rate
31,0.0031539652682795252,0.006184327587193114,0.5099932407867511,0.6149155776561708,-0.00896731680261898,0.01527524733917803,0.31285191649336763,LEAVE_ONE_OUT_사하구,사하구,confirmed_middle_quality_median,adjusted_upper_grade_index
31,0.0010463679303408524,0.0012147723526920882,0.8613695628007746,0.3979259739667445,-0.0013345858809356405,0.0034273217416173453,0.5869031182857535,LEAVE_ONE_OUT_사하구,사하구,confirmed_middle_quality_median,adjusted_cohort_growth
31,-0.0012841219059383279,0.001949600309450033,-0.658659059353847,0.5166547953380706,-0.005105338512460393,0.0025370947005837366,0.5361845252171362,LEAVE_ONE_OUT_사하구,사하구,confirmed_middle_quality_median,net_transfer_rate
241,0.0013598715093705287,0.0010976957270904992,1.2388419448210302,0.21671227576687185,-0.0007916121157268497,0.003511355134467907,0.44905638005536475,LEAVE_ONE_OUT_사하구,사하구,broad_middle_quality_median,adjusted_upper_grade_index
240,0.0002950523372803733,0.00017203284032955734,1.7150930991731101,0.08772983872917091,-4.213202976555911e-05,0.0006322367043263057,0.5452450514161318,LEAVE_ONE_OUT_사하구,사하구,broad_middle_quality_median,adjusted_cohort_growth
240,0.00027200142566062346,0.00023821168800501743,1.1418475220027589,0.25475306283768356,-0.00019489348282921071,0.0007388963341504577,0.3671120902229681,LEAVE_ONE_OUT_사하구,사하구,broad_middle_quality_median,net_transfer_rate
31,0.0031539652682795252,0.006184327587193114,0.5099932407867511,0.6149155776561708,-0.00896731680261898,0.01527524733917803,0.31285191649336763,LEAVE_ONE_OUT_서구,서구,confirmed_middle_quality_median,adjusted_upper_grade_index
31,0.0010463679303408524,0.0012147723526920882,0.8613695628007746,0.3979259739667445,-0.0013345858809356405,0.0034273217416173453,0.5869031182857535,LEAVE_ONE_OUT_서구,서구,confirmed_middle_quality_median,adjusted_cohort_growth
31,-0.0012841219059383279,0.001949600309450033,-0.658659059353847,0.5166547953380706,-0.005105338512460393,0.0025370947005837366,0.5361845252171362,LEAVE_ONE_OUT_서구,서구,confirmed_middle_quality_median,net_transfer_rate
257,0.0017431477604821306,0.0010936582834163663,1.5938687494204233,0.11229256043395543,-0.00040042247501394733,0.0038867179959782084,0.45330622989879676,LEAVE_ONE_OUT_서구,서구,broad_middle_quality_median,adjusted_upper_grade_index
256,0.0003413390213642248,0.00016858830887492315,2.0246897524635985,0.0440207488268686,1.0905935969375427e-05,0.0006717721067590742,0.5341519508928475,LEAVE_ONE_OUT_서구,서구,broad_middle_quality_median,adjusted_cohort_growth
256,0.0003405742403305849,0.00023102487581513862,1.4741886090357883,0.14175786111273492,-0.00011223451626708676,0.0007933829969282566,0.3518131024291462,LEAVE_ONE_OUT_서구,서구,broad_middle_quality_median,net_transfer_rate
31,0.0031539652682795252,0.006184327587193114,0.5099932407867511,0.6149155776561708,-0.00896731680261898,0.01527524733917803,0.31285191649336763,LEAVE_ONE_OUT_수영구,수영구,confirmed_middle_quality_median,adjusted_upper_grade_index
31,0.0010463679303408524,0.0012147723526920882,0.8613695628007746,0.3979259739667445,-0.0013345858809356405,0.0034273217416173453,0.5869031182857535,LEAVE_ONE_OUT_수영구,수영구,confirmed_middle_quality_median,adjusted_cohort_growth
31,-0.0012841219059383279,0.001949600309450033,-0.658659059353847,0.5166547953380706,-0.005105338512460393,0.0025370947005837366,0.5361845252171362,LEAVE_ONE_OUT_수영구,수영구,confirmed_middle_quality_median,net_transfer_rate
257,0.00190509412461741,0.0011390551661611971,1.6725213854548324,0.09573555404349077,-0.0003274540010585363,0.004137642250293356,0.45757286303166866,LEAVE_ONE_OUT_수영구,수영구,broad_middle_quality_median,adjusted_upper_grade_index
256,0.00033416630273814575,0.00016888999695529566,1.9786032847558042,0.049018573661702834,3.141908705766249e-06,0.0006651906967705252,0.5422506566010704,LEAVE_ONE_OUT_수영구,수영구,broad_middle_quality_median,adjusted_cohort_growth
256,0.0003391265225558866,0.00023055927847626014,1.4708864670167905,0.14264826344926212,-0.00011276966325758327,0.0007910227083693565,0.355934751187978,LEAVE_ONE_OUT_수영구,수영구,broad_middle_quality_median,net_transfer_rate
31,0.0031539652682795252,0.006184327587193114,0.5099932407867511,0.6149155776561708,-0.00896731680261898,0.01527524733917803,0.31285191649336763,LEAVE_ONE_OUT_연제구,연제구,confirmed_middle_quality_median,adjusted_upper_grade_index
31,0.0010463679303408524,0.0012147723526920882,0.8613695628007746,0.3979259739667445,-0.0013345858809356405,0.0034273217416173453,0.5869031182857535,LEAVE_ONE_OUT_연제구,연제구,confirmed_middle_quality_median,adjusted_cohort_growth
