legal_dong,train_transactions,test_transactions,test_apartments,test_schools,school_score_spearman,school_coefficient,rmse,mae,direction,stable_flag,train_contains_holdout,test_only_holdout
엄궁동,131766,1213,5,2,-0.5773502691896257,0.043299431670128584,0.29469537179017496,0.2602910305658798,NEGATIVE,False,False,True
연산동,127669,5310,16,9,-0.5018616172251747,0.046672542004857966,0.3802748174308658,0.3089101546834634,NEGATIVE,False,False,True
온천동,130531,2448,9,6,-0.4767036572248992,0.04374913947048979,0.42134935561213854,0.2853671841269055,NEGATIVE,False,False,True
용호동,129039,3940,9,6,0.41711570007178683,0.03889562056746065,0.3122874861805354,0.21140541181273056,POSITIVE,True,False,True
우동,129050,3929,19,6,0.07991404857694746,0.0408570434349654,0.7686459098800483,0.6932387729399768,POSITIVE,True,False,True
일광읍삼성리,131911,1068,6,2,-0.8280786712108251,0.04257509441711872,0.1488488452949339,0.12139110721612911,NEGATIVE,False,False,True
장림동,131367,1612,5,3,-0.7905694150420949,0.04728162106856107,0.6838905592537831,0.6281652711420135,NEGATIVE,False,False,True
장전동,130906,2073,5,3,0.10540925533894598,0.04125888225136821,0.33505788617532867,0.29407363870502873,POSITIVE,True,False,True
재송동,129790,3189,11,5,0.432675157835289,0.035509017424969584,0.5342752670793994,0.47626921878670986,POSITIVE,True,False,True
전포동,131140,1839,7,2,0.4330127018922194,0.04279467194015956,0.3050369879359804,0.27390514467450555,POSITIVE,True,False,True
정관읍모전리,130682,2297,6,3,-0.6789347398332044,0.042815838337698114,0.4846242700549571,0.4592050381804142,NEGATIVE,False,False,True
정관읍용수리,131140,1839,6,3,0.06172133998483677,0.04256184518527082,0.4188905753708108,0.37504870516766226,POSITIVE,True,False,True
좌동,126166,6813,28,8,-0.02541194270596033,0.041996691504060414,0.3544264278249187,0.30119111233497803,NEGATIVE,False,False,True
주례동,130750,2229,9,5,-0.16244657241348273,0.04197063247173609,0.30685953936480376,0.258989829654062,NEGATIVE,False,False,True
중동,131624,1355,5,3,0.4472135954999579,0.041588925328714485,0.48808107132354955,0.41126305576815947,POSITIVE,True,False,True
학장동,131064,1915,10,3,-0.6292532049656926,0.042634194665863046,0.3267541878055155,0.2740685928637625,NEGATIVE,False,False,True
화명동,125786,7193,18,8,0.5473654805887995,0.03797816035515448,0.2398014994145743,0.19460765259655824,POSITIVE,True,False,True
