apartment,legal_dong,local_market,issue_type,issue_detail,recommended_action
,사하구 신평동,,LEGAL_DONG_SPLIT,"algorithm clusters={0: 2, 2: 4}",최소표본 규칙 충족 여부 확인; 미충족 시 법정동 유지
,사하구 장림동,,LEGAL_DONG_SPLIT,"algorithm clusters={1: 1, 2: 4}",최소표본 규칙 충족 여부 확인; 미충족 시 법정동 유지
,사하구 하단동,,LEGAL_DONG_SPLIT,"algorithm clusters={0: 1, 2: 3}",최소표본 규칙 충족 여부 확인; 미충족 시 법정동 유지
,서구 서대신동3가,,LEGAL_DONG_SPLIT,"algorithm clusters={0: 1, 2: 1}",최소표본 규칙 충족 여부 확인; 미충족 시 법정동 유지
,수영구 광안동,,LEGAL_DONG_SPLIT,"algorithm clusters={0: 2, 1: 2}",최소표본 규칙 충족 여부 확인; 미충족 시 법정동 유지
,수영구 망미동,,LEGAL_DONG_SPLIT,"algorithm clusters={1: 3, 2: 1}",최소표본 규칙 충족 여부 확인; 미충족 시 법정동 유지
,수영구 민락동,,LEGAL_DONG_SPLIT,"algorithm clusters={0: 2, 1: 3}",최소표본 규칙 충족 여부 확인; 미충족 시 법정동 유지
,연제구 거제동,,LEGAL_DONG_SPLIT,"algorithm clusters={0: 4, 1: 5}",최소표본 규칙 충족 여부 확인; 미충족 시 법정동 유지
,연제구 연산동,,LEGAL_DONG_SPLIT,"algorithm clusters={0: 7, 1: 8, 2: 1}",최소표본 규칙 충족 여부 확인; 미충족 시 법정동 유지
,영도구 동삼동,,LEGAL_DONG_SPLIT,"algorithm clusters={0: 2, 1: 1, 2: 4}",최소표본 규칙 충족 여부 확인; 미충족 시 법정동 유지
,영도구 청학동,,LEGAL_DONG_SPLIT,"algorithm clusters={0: 1, 2: 1}",최소표본 규칙 충족 여부 확인; 미충족 시 법정동 유지
,해운대구 반여동,,LEGAL_DONG_SPLIT,"algorithm clusters={0: 10, 1: 1, 2: 1}",최소표본 규칙 충족 여부 확인; 미충족 시 법정동 유지
,해운대구 우동,,LEGAL_DONG_SPLIT,"algorithm clusters={0: 4, 1: 15}",최소표본 규칙 충족 여부 확인; 미충족 시 법정동 유지
,해운대구 재송동,,LEGAL_DONG_SPLIT,"algorithm clusters={0: 1, 1: 6, 2: 4}",최소표본 규칙 충족 여부 확인; 미충족 시 법정동 유지
,해운대구 좌동,,LEGAL_DONG_SPLIT,"algorithm clusters={0: 7, 1: 21}",최소표본 규칙 충족 여부 확인; 미충족 시 법정동 유지
,해운대구 중동,,LEGAL_DONG_SPLIT,"algorithm clusters={0: 1, 1: 4}",최소표본 규칙 충족 여부 확인; 미충족 시 법정동 유지
해운대경동리인뷰2차,우동,LM089,CLUSTER_SWITCHING_APARTMENT,bootstrap stability=0.680,Algorithmic comparable에서 제외 또는 별도 검토
부산대연동푸르지오,대연동,LM022,CLUSTER_SWITCHING_APARTMENT,bootstrap stability=0.520,Algorithmic comparable에서 제외 또는 별도 검토
센텀센시빌,우동,LM089,CLUSTER_SWITCHING_APARTMENT,bootstrap stability=0.790,Algorithmic comparable에서 제외 또는 별도 검토
,신호동,LM002,TINY_MARKET,"apartments=2, tx12=34",Phase 15.2에서 상위 지리단위 fallback 검토
,지사동,LM003,TINY_MARKET,"apartments=3, tx12=179",Phase 15.2에서 상위 지리단위 fallback 검토
,화전동,LM004,TINY_MARKET,"apartments=1, tx12=8",Phase 15.2에서 상위 지리단위 fallback 검토
,구서동,LM005,TINY_MARKET,"apartments=7, tx12=250",Phase 15.2에서 상위 지리단위 fallback 검토
,부곡동,LM006,TINY_MARKET,"apartments=8, tx12=282",Phase 15.2에서 상위 지리단위 fallback 검토
,장전동,LM007,TINY_MARKET,"apartments=5, tx12=363",Phase 15.2에서 상위 지리단위 fallback 검토
,청룡동,LM008,TINY_MARKET,"apartments=1, tx12=14",Phase 15.2에서 상위 지리단위 fallback 검토
,기장읍교리,LM009,TINY_MARKET,"apartments=1, tx12=30",Phase 15.2에서 상위 지리단위 fallback 검토
,기장읍내리,LM010,TINY_MARKET,"apartments=1, tx12=16",Phase 15.2에서 상위 지리단위 fallback 검토
,기장읍동부리,LM011,TINY_MARKET,"apartments=1, tx12=37",Phase 15.2에서 상위 지리단위 fallback 검토
,기장읍서부리,LM012,TINY_MARKET,"apartments=1, tx12=19",Phase 15.2에서 상위 지리단위 fallback 검토
,기장읍청강리,LM013,TINY_MARKET,"apartments=4, tx12=88",Phase 15.2에서 상위 지리단위 fallback 검토
,일광읍삼성리,LM014,TINY_MARKET,"apartments=6, tx12=308",Phase 15.2에서 상위 지리단위 fallback 검토
,일광읍이천리,LM015,TINY_MARKET,"apartments=1, tx12=33",Phase 15.2에서 상위 지리단위 fallback 검토
,정관읍달산리,LM016,TINY_MARKET,"apartments=2, tx12=58",Phase 15.2에서 상위 지리단위 fallback 검토
,정관읍매학리,LM017,TINY_MARKET,"apartments=1, tx12=61",Phase 15.2에서 상위 지리단위 fallback 검토
,정관읍모전리,LM018,TINY_MARKET,"apartments=6, tx12=236",Phase 15.2에서 상위 지리단위 fallback 검토
,정관읍방곡리,LM019,TINY_MARKET,"apartments=1, tx12=21",Phase 15.2에서 상위 지리단위 fallback 검토
,정관읍용수리,LM020,TINY_MARKET,"apartments=6, tx12=224",Phase 15.2에서 상위 지리단위 fallback 검토
,감만동,LM021,TINY_MARKET,"apartments=2, tx12=31",Phase 15.2에서 상위 지리단위 fallback 검토
,문현동,LM023,TINY_MARKET,"apartments=7, tx12=329",Phase 15.2에서 상위 지리단위 fallback 검토
,용당동,LM024,TINY_MARKET,"apartments=2, tx12=39",Phase 15.2에서 상위 지리단위 fallback 검토
,우암동,LM026,TINY_MARKET,"apartments=1, tx12=17",Phase 15.2에서 상위 지리단위 fallback 검토
,범일동,LM027,TINY_MARKET,"apartments=4, tx12=179",Phase 15.2에서 상위 지리단위 fallback 검토
,수정동,LM028,TINY_MARKET,"apartments=1, tx12=29",Phase 15.2에서 상위 지리단위 fallback 검토
,좌천동,LM029,TINY_MARKET,"apartments=1, tx12=23",Phase 15.2에서 상위 지리단위 fallback 검토
,초량동,LM030,TINY_MARKET,"apartments=2, tx12=86",Phase 15.2에서 상위 지리단위 fallback 검토
,낙민동,LM031,TINY_MARKET,"apartments=6, tx12=143",Phase 15.2에서 상위 지리단위 fallback 검토
,명륜동,LM032,TINY_MARKET,"apartments=5, tx12=306",Phase 15.2에서 상위 지리단위 fallback 검토
,명장동,LM033,TINY_MARKET,"apartments=2, tx12=132",Phase 15.2에서 상위 지리단위 fallback 검토
,복천동,LM034,TINY_MARKET,"apartments=1, tx12=20",Phase 15.2에서 상위 지리단위 fallback 검토
,안락동,LM036,TINY_MARKET,"apartments=6, tx12=263",Phase 15.2에서 상위 지리단위 fallback 검토
,가야동,LM038,TINY_MARKET,"apartments=3, tx12=155",Phase 15.2에서 상위 지리단위 fallback 검토
,개금동,LM039,TINY_MARKET,"apartments=8, tx12=361",Phase 15.2에서 상위 지리단위 fallback 검토
,범전동,LM041,TINY_MARKET,"apartments=1, tx12=72",Phase 15.2에서 상위 지리단위 fallback 검토
,범천동,LM042,TINY_MARKET,"apartments=5, tx12=198",Phase 15.2에서 상위 지리단위 fallback 검토
,부전동,LM044,TINY_MARKET,"apartments=2, tx12=73",Phase 15.2에서 상위 지리단위 fallback 검토
,양정동,LM045,TINY_MARKET,"apartments=5, tx12=366",Phase 15.2에서 상위 지리단위 fallback 검토
,연지동,LM046,TINY_MARKET,"apartments=6, tx12=308",Phase 15.2에서 상위 지리단위 fallback 검토
,전포동,LM047,TINY_MARKET,"apartments=7, tx12=439",Phase 15.2에서 상위 지리단위 fallback 검토
,초읍동,LM048,TINY_MARKET,"apartments=2, tx12=139",Phase 15.2에서 상위 지리단위 fallback 검토
,구포동,LM049,TINY_MARKET,"apartments=5, tx12=218",Phase 15.2에서 상위 지리단위 fallback 검토
,덕천동,LM051,TINY_MARKET,"apartments=6, tx12=198",Phase 15.2에서 상위 지리단위 fallback 검토
,괘법동,LM054,TINY_MARKET,"apartments=3, tx12=123",Phase 15.2에서 상위 지리단위 fallback 검토
,덕포동,LM055,TINY_MARKET,"apartments=3, tx12=145",Phase 15.2에서 상위 지리단위 fallback 검토
,모라동,LM056,TINY_MARKET,"apartments=6, tx12=174",Phase 15.2에서 상위 지리단위 fallback 검토
,엄궁동,LM057,TINY_MARKET,"apartments=5, tx12=130",Phase 15.2에서 상위 지리단위 fallback 검토
,주례동,LM058,TINY_MARKET,"apartments=9, tx12=271",Phase 15.2에서 상위 지리단위 fallback 검토
,감천동,LM060,TINY_MARKET,"apartments=1, tx12=20",Phase 15.2에서 상위 지리단위 fallback 검토
,괴정동,LM061,TINY_MARKET,"apartments=3, tx12=160",Phase 15.2에서 상위 지리단위 fallback 검토
,구평동,LM062,TINY_MARKET,"apartments=3, tx12=118",Phase 15.2에서 상위 지리단위 fallback 검토
,당리동,LM064,TINY_MARKET,"apartments=1, tx12=19",Phase 15.2에서 상위 지리단위 fallback 검토
,신평동,LM065,TINY_MARKET,"apartments=6, tx12=195",Phase 15.2에서 상위 지리단위 fallback 검토
,장림동,LM066,TINY_MARKET,"apartments=5, tx12=181",Phase 15.2에서 상위 지리단위 fallback 검토
,하단동,LM067,TINY_MARKET,"apartments=4, tx12=236",Phase 15.2에서 상위 지리단위 fallback 검토
,동대신동1가,LM068,TINY_MARKET,"apartments=1, tx12=37",Phase 15.2에서 상위 지리단위 fallback 검토
,동대신동3가,LM069,TINY_MARKET,"apartments=1, tx12=32",Phase 15.2에서 상위 지리단위 fallback 검토
,부민동3가,LM070,TINY_MARKET,"apartments=1, tx12=24",Phase 15.2에서 상위 지리단위 fallback 검토
,서대신동1가,LM071,TINY_MARKET,"apartments=1, tx12=68",Phase 15.2에서 상위 지리단위 fallback 검토
,서대신동2가,LM072,TINY_MARKET,"apartments=2, tx12=120",Phase 15.2에서 상위 지리단위 fallback 검토
,서대신동3가,LM073,TINY_MARKET,"apartments=2, tx12=28",Phase 15.2에서 상위 지리단위 fallback 검토
,암남동,LM074,TINY_MARKET,"apartments=2, tx12=159",Phase 15.2에서 상위 지리단위 fallback 검토
,광안동,LM075,TINY_MARKET,"apartments=4, tx12=155",Phase 15.2에서 상위 지리단위 fallback 검토
,남천동,LM076,TINY_MARKET,"apartments=5, tx12=444",Phase 15.2에서 상위 지리단위 fallback 검토
,망미동,LM077,TINY_MARKET,"apartments=4, tx12=145",Phase 15.2에서 상위 지리단위 fallback 검토
,민락동,LM078,TINY_MARKET,"apartments=5, tx12=219",Phase 15.2에서 상위 지리단위 fallback 검토
,수영동,LM079,TINY_MARKET,"apartments=2, tx12=35",Phase 15.2에서 상위 지리단위 fallback 검토
,동삼동,LM082,TINY_MARKET,"apartments=7, tx12=234",Phase 15.2에서 상위 지리단위 fallback 검토
,봉래동2가,LM083,TINY_MARKET,"apartments=1, tx12=9",Phase 15.2에서 상위 지리단위 fallback 검토
,봉래동4가,LM084,TINY_MARKET,"apartments=1, tx12=59",Phase 15.2에서 상위 지리단위 fallback 검토
,영선동4가,LM085,TINY_MARKET,"apartments=1, tx12=19",Phase 15.2에서 상위 지리단위 fallback 검토
,청학동,LM086,TINY_MARKET,"apartments=2, tx12=29",Phase 15.2에서 상위 지리단위 fallback 검토
,반송동,LM087,TINY_MARKET,"apartments=3, tx12=67",Phase 15.2에서 상위 지리단위 fallback 검토
,중동,LM092,TINY_MARKET,"apartments=5, tx12=254",Phase 15.2에서 상위 지리단위 fallback 검토
