internal_complex_id,kapt_code,complex_name,households,address,road_address,sigungu,legal_dong,admin_dong,latitude,longitude,raw_road_address,raw_lot_address,normalized_road_address,normalized_lot_address,address_evidence_source,address_source_document,upstream_match_method,lawd_cd,jibun_evidence,road_name_evidence,road_number_evidence,missing_reason
TRADE_ED511AB5082C,,미소드림,,,,서구,서대신동1가,,,,부산광역시 서구 구덕로 275-24,부산광역시 서구 서대신동1가 50-3,부산광역시 서구 구덕로 275-24,부산광역시 서구 서대신동1가 50-3,OFFICIAL_TRANSACTION_API,D:\90.invest\80.데이터수집\아파트정보수집\kapt\busan_apartment_analysis\data\interim\trade_matched.parquet,unmatched,26140,50-3,구덕로,275-24,KAPT_UNMATCHED
TRADE_ED7B49EE8167,,한솔,,,,수영구,광안동,,,,부산광역시 수영구 광서로10번길 50,부산광역시 수영구 광안동 1077-7,부산광역시 수영구 광서로10번길 50,부산광역시 수영구 광안동 1077-7,OFFICIAL_TRANSACTION_API,D:\90.invest\80.데이터수집\아파트정보수집\kapt\busan_apartment_analysis\data\interim\trade_matched.parquet,unmatched,26500,1077-7,광서로10번길,50,KAPT_UNMATCHED
TRADE_EDA4D0BFF07F,,청송,,,,사상구,엄궁동,,,,부산광역시 사상구 엄궁로 184,부산광역시 사상구 엄궁동 37-1,부산광역시 사상구 엄궁로 184,부산광역시 사상구 엄궁동 37-1,OFFICIAL_TRANSACTION_API,D:\90.invest\80.데이터수집\아파트정보수집\kapt\busan_apartment_analysis\data\interim\trade_matched.parquet,unmatched,26530,37-1,엄궁로,184,KAPT_UNMATCHED
TRADE_EDB2779F6BDF,,신도,,,,북구,덕천동,,,,부산광역시 북구 만덕대로65번길 29,부산광역시 북구 덕천동 344-2,부산광역시 북구 만덕대로65번길 29,부산광역시 북구 덕천동 344-2,OFFICIAL_TRANSACTION_API,D:\90.invest\80.데이터수집\아파트정보수집\kapt\busan_apartment_analysis\data\interim\trade_matched.parquet,unmatched,26320,344-2,만덕대로65번길,29,KAPT_UNMATCHED
TRADE_EDBC70B21818,,성인아르빌,,,,영도구,봉래동2가,,,,부산광역시 영도구 절영로7번길 37-3,부산광역시 영도구 봉래동2가 62-14,부산광역시 영도구 절영로7번길 37-3,부산광역시 영도구 봉래동2가 62-14,OFFICIAL_TRANSACTION_API,D:\90.invest\80.데이터수집\아파트정보수집\kapt\busan_apartment_analysis\data\interim\trade_matched.parquet,unmatched,26200,62-14,절영로7번길,37-3,KAPT_UNMATCHED
TRADE_EDD80C5CDDD3,,영림더채움,,,,사하구,하단동,,,,부산광역시 사하구 낙동남로1373번길 18-5,부산광역시 사하구 하단동 517-36,부산광역시 사하구 낙동남로1373번길 18-5,부산광역시 사하구 하단동 517-36,OFFICIAL_TRANSACTION_API,D:\90.invest\80.데이터수집\아파트정보수집\kapt\busan_apartment_analysis\data\interim\trade_matched.parquet,unmatched,26380,517-36,낙동남로1373번길,18-5,KAPT_UNMATCHED
TRADE_EE0150B8B42D,,서동로얄맨션,,,,금정구,서동,,,,부산광역시 금정구 서동로194번길 29-1,부산광역시 금정구 서동 237-1,부산광역시 금정구 서동로194번길 29-1,부산광역시 금정구 서동 237-1,OFFICIAL_TRANSACTION_API,D:\90.invest\80.데이터수집\아파트정보수집\kapt\busan_apartment_analysis\data\interim\trade_matched.parquet,unmatched,26410,237-1,서동로194번길,29-1,KAPT_UNMATCHED
TRADE_EE1082BD4718,,동양빌라,,,,중구,보수동3가,,,,부산광역시 중구 흑교로59번길 20,부산광역시 중구 보수동3가 61-36,부산광역시 중구 흑교로59번길 20,부산광역시 중구 보수동3가 61-36,OFFICIAL_TRANSACTION_API,D:\90.invest\80.데이터수집\아파트정보수집\kapt\busan_apartment_analysis\data\interim\trade_matched.parquet,unmatched,26110,61-36,흑교로59번길,20,KAPT_UNMATCHED
TRADE_EE13A82326DC,,우성빌라(백세해운대빌라2차),,,,해운대구,중동,,,,부산광역시 해운대구 달맞이길117번가길 15,부산광역시 해운대구 중동 1505-3,부산광역시 해운대구 달맞이길117번가길 15,부산광역시 해운대구 중동 1505-3,OFFICIAL_TRANSACTION_API,D:\90.invest\80.데이터수집\아파트정보수집\kapt\busan_apartment_analysis\data\interim\trade_matched.parquet,unmatched,26350,1505-3,달맞이길117번가길,15,KAPT_UNMATCHED
TRADE_EE18736D8974,,나경위너스,,,,연제구,연산동,,,,부산광역시 연제구 월드컵대로111번길 14,부산광역시 연제구 연산동 708-8,부산광역시 연제구 월드컵대로111번길 14,부산광역시 연제구 연산동 708-8,OFFICIAL_TRANSACTION_API,D:\90.invest\80.데이터수집\아파트정보수집\kapt\busan_apartment_analysis\data\interim\trade_matched.parquet,unmatched,26470,708-8,월드컵대로111번길,14,KAPT_UNMATCHED
TRADE_EE1EDD4CF515,,엘리시아,,,,부산진구,양정동,,,,부산광역시 부산진구 중앙대로 966,부산광역시 부산진구 양정동 270-3,부산광역시 부산진구 중앙대로 966,부산광역시 부산진구 양정동 270-3,OFFICIAL_TRANSACTION_API,D:\90.invest\80.데이터수집\아파트정보수집\kapt\busan_apartment_analysis\data\interim\trade_matched.parquet,unmatched,26230,270-3,중앙대로,966,KAPT_UNMATCHED
TRADE_EE3F0AE04252,,아침햇살,,,,남구,대연동,,,,부산광역시 남구 용소로13번길 61,부산광역시 남구 대연동 40-3,부산광역시 남구 용소로13번길 61,부산광역시 남구 대연동 40-3,OFFICIAL_TRANSACTION_API,D:\90.invest\80.데이터수집\아파트정보수집\kapt\busan_apartment_analysis\data\interim\trade_matched.parquet,unmatched,26290,40-3,용소로13번길,61,KAPT_UNMATCHED
TRADE_EE5B6C1C0BF4,,우소재,,,,금정구,장전동,,,,부산광역시 금정구 금정로161번길 14,부산광역시 금정구 장전동 204-11,부산광역시 금정구 금정로161번길 14,부산광역시 금정구 장전동 204-11,OFFICIAL_TRANSACTION_API,D:\90.invest\80.데이터수집\아파트정보수집\kapt\busan_apartment_analysis\data\interim\trade_matched.parquet,unmatched,26410,204-11,금정로161번길,14,KAPT_UNMATCHED
