internal_complex_id,kapt_code,complex_name,households,sigungu,legal_dong,is_500plus,manual_review,elementary_school_ids,elementary_school_names,elementary_school_count,nearest_elementary_distance_m,mean_elementary_feeder_score,best_elementary_feeder_score,worst_elementary_feeder_score,middle_school_count,best_middle_score,mean_middle_score,worst_middle_score,feeder_exclusivity,assignment_data_quality,elementary_accessibility_score,shared_catchment,school_zone_score,score_quality_focused,score_stability_focused,school_score_status,school_score_quality,busan_school_rank,school_zone_percentile,school_zone_grade
A60402104,A60402104,남영1차아파트,165.0,사하구,하단동,False,False,['S020001870'],['을숙도초등학교'],1,213.35424540403665,58.96580882352942,58.96580882352942,58.96580882352942,4,69.70588235294117,61.13970588235294,46.5,0.375,85.0,100.0,False,65.67264705882354,62.31922794117648,62.23811764705883,SCORED,HIGH,2.0,99.88789237668162,S
A60402001,A60402001,남영임대2차아파트,354.0,사하구,하단동,False,False,['S020001870'],['을숙도초등학교'],1,166.6271279320689,58.96580882352942,58.96580882352942,58.96580882352942,4,69.70588235294117,61.13970588235294,46.5,0.375,85.0,100.0,False,65.67264705882354,62.31922794117648,62.23811764705883,SCORED,HIGH,2.0,99.88789237668162,S
TRADE_CEEA98BA24C0,,대운스카이뷰1차,,사하구,하단동,,False,['S020001494'],['하단초등학교'],1,55.131029579999705,58.96580882352942,58.96580882352942,58.96580882352942,4,69.70588235294117,61.13970588235294,46.5,0.375,85.0,100.0,False,65.67264705882354,62.31922794117648,62.23811764705883,SCORED,HIGH,2.0,99.88789237668162,S
TRADE_291AB6D75ECA,,동방,,사하구,하단동,,False,['S020001494'],['하단초등학교'],1,236.17340576578908,58.96580882352942,58.96580882352942,58.96580882352942,4,69.70588235294117,61.13970588235294,46.5,0.375,85.0,100.0,False,65.67264705882354,62.31922794117648,62.23811764705883,SCORED,HIGH,2.0,99.88789237668162,S
TRADE_B9E1FECE04A8,,동산,,사하구,하단동,,False,['S020001494'],['하단초등학교'],1,268.7443108494675,58.96580882352942,58.96580882352942,58.96580882352942,4,69.70588235294117,61.13970588235294,46.5,0.375,85.0,100.0,False,65.67264705882354,62.31922794117648,62.23811764705883,SCORED,HIGH,2.0,99.88789237668162,S
TRADE_729D111D2C1B,,동조리젠시,,사하구,하단동,,False,['S020001494'],['하단초등학교'],1,288.32332084927003,58.96580882352942,58.96580882352942,58.96580882352942,4,69.70588235294117,61.13970588235294,46.5,0.375,85.0,100.0,False,65.67264705882354,62.31922794117648,62.23811764705883,SCORED,HIGH,2.0,99.88789237668162,S
TRADE_EB0FD844CEB6,,남부,,서구,아미동2가,,False,['S020001477'],['아미초등학교'],1,295.1173016428154,54.56960784313726,54.56960784313726,54.56960784313726,3,77.23529411764707,56.68627450980392,34.82352941176471,0.39999999999999997,84.99999999999999,100.0,False,62.15568627450981,58.36264705882354,59.82454901960784,SCORED,HIGH,269.0,69.95515695067265,B
TRADE_DD25344A1A1D,,성원맨션,,서구,아미동2가,,False,['S020001477'],['아미초등학교'],1,219.0676321119167,54.56960784313726,54.56960784313726,54.56960784313726,3,77.23529411764707,56.68627450980392,34.82352941176471,0.39999999999999997,84.99999999999999,100.0,False,62.15568627450981,58.36264705882354,59.82454901960784,SCORED,HIGH,269.0,69.95515695067265,B
TRADE_3E7471D57E3C,,일광,,서구,아미동2가,,False,['S020001477'],['아미초등학교'],1,210.17669927811423,54.56960784313726,54.56960784313726,54.56960784313726,3,77.23529411764707,56.68627450980392,34.82352941176471,0.39999999999999997,84.99999999999999,100.0,False,62.15568627450981,58.36264705882354,59.82454901960784,SCORED,HIGH,269.0,69.95515695067265,B
TRADE_C27B6E67CDAE,,고려빌라맨션,,서구,암남동,,False,['S020001471'],['송도초등학교'],1,154.89598986177825,52.43500000000001,52.43500000000001,52.43500000000001,5,76.79411764705881,54.017647058823535,34.82352941176471,0.36,85.0,100.0,False,60.44800000000001,56.44150000000001,57.81840000000001,SCORED,HIGH,337.0,62.33183856502242,C
TRADE_C9F5D23B6A03,,기산비치타운,,서구,암남동,,False,['S020001471'],['송도초등학교'],1,264.1026197174272,52.43500000000001,52.43500000000001,52.43500000000001,5,76.79411764705881,54.017647058823535,34.82352941176471,0.36,85.0,100.0,False,60.44800000000001,56.44150000000001,57.81840000000001,SCORED,HIGH,337.0,62.33183856502242,C
TRADE_57F1AB8923C0,,대륙빌라,,서구,암남동,,False,['S020001471'],['송도초등학교'],1,210.53430004984332,52.43500000000001,52.43500000000001,52.43500000000001,5,76.79411764705881,54.017647058823535,34.82352941176471,0.36,85.0,100.0,False,60.44800000000001,56.44150000000001,57.81840000000001,SCORED,HIGH,337.0,62.33183856502242,C
TRADE_AA9C11777BB9,,보강빌라,,서구,암남동,,False,['S020001471'],['송도초등학교'],1,154.4588429261252,52.43500000000001,52.43500000000001,52.43500000000001,5,76.79411764705881,54.017647058823535,34.82352941176471,0.36,85.0,100.0,False,60.44800000000001,56.44150000000001,57.81840000000001,SCORED,HIGH,337.0,62.33183856502242,C
A60283203,A60283203,삼경빌라맨션,181.0,서구,암남동,False,False,['S020001471'],['송도초등학교'],1,293.9987032681891,52.43500000000001,52.43500000000001,52.43500000000001,5,76.79411764705881,54.017647058823535,34.82352941176471,0.36,85.0,100.0,False,60.44800000000001,56.44150000000001,57.81840000000001,SCORED,HIGH,337.0,62.33183856502242,C
