match_level,area_group,high_complex_id,high_complex_name,low_complex_id,low_complex_name,sigungu,legal_dong,high_score,low_score,score_gap,high_price_per_m2,low_price_per_m2,price_difference_pct,household_difference_pct,age_difference_years
legal_dong,80_90,A61870411,명지오션시티한신휴플러스,A10026445,부산명지중흥S-클래스에듀오션,강서구,명지동,74.28764705882352,60.25294117647059,14.034705882352931,3800447.1114248736,5834753.635205061,-0.34865337098482174,0.10820451843043995,4.0
legal_dong,80_90,A61870411,명지오션시티한신휴플러스,A10027139,명지국제신도시호반베르디움2차,강서구,명지동,74.28764705882352,60.25294117647059,14.034705882352931,3800447.1114248736,5742822.945348844,-0.3382266617669478,0.17479191438763378,3.0
legal_dong,80_90,A10028117,명지오션시티삼정그린코아,A10027581,명지대방노블랜드오션뷰2차,강서구,명지동,75.28764705882352,61.25294117647059,14.034705882352931,4355728.842930064,5941281.316729118,-0.26687045929546327,0.01639344262295082,2.0
legal_dong,80_90,A10028117,명지오션시티삼정그린코아,A10027656,명지대방노블랜드오션뷰1차,강서구,명지동,75.28764705882352,61.25294117647059,14.034705882352931,4355728.842930064,5674988.0201238375,-0.2324690682192816,0.1723202170963365,2.0
legal_dong,80_90,A61870411,명지오션시티한신휴플러스,A10027698,명지국제신도시호반베르디움1차,강서구,명지동,74.28764705882352,60.25294117647059,14.034705882352931,3800447.1114248736,5825928.323427293,-0.3476666892480518,0.23662306777645659,2.0
legal_dong,80_90,A61870411,명지오션시티한신휴플러스,A10027918,명지1차 금강펜테리움 센트럴파크,강서구,명지동,74.28764705882352,60.25294117647059,14.034705882352931,3800447.1114248736,4925284.03460279,-0.228380112756001,0.010588235294117647,1.0
legal_dong,80_90,A61870411,명지오션시티한신휴플러스,A10027953,에일린의 뜰,강서구,명지동,74.28764705882352,60.25294117647059,14.034705882352931,3800447.1114248736,5412414.195585823,-0.297827739324831,0.14183673469387756,1.0
legal_dong,80_90,A61870411,명지오션시티한신휴플러스,A10027282,부산명지중흥S-클래스프라디움,강서구,명지동,74.28764705882352,60.25294117647059,14.034705882352931,3800447.1114248736,5167433.169253439,-0.26453870094773946,0.18586640851887706,3.0
legal_dong,80_90,A61203033,벽산2,A61203034,대동타운,해운대구,좌동,87.26705882352942,73.34980392156862,13.917254901960803,6000705.965407696,6715362.865221489,-0.10642118887051721,0.13709677419354838,1.0
legal_dong,80_90,A61203033,벽산2,A61203037,대림,해운대구,좌동,87.26705882352942,73.34980392156862,13.917254901960803,6000705.965407696,6637324.358038929,-0.09591491364440863,0.24859550561797752,0.0
legal_dong,80_90,A61701002,한일유엔아이,A61778608,주례청구,사상구,주례동,57.46941176470588,43.65294117647059,13.81647058823529,3153153.153153153,2355435.166647038,0.3386711711711712,0.15890688259109312,3.0
legal_dong,80_90,A61281512,센텀피오레1차,A61278214,센텀우신골든빌,해운대구,재송동,53.88392156862745,40.252941176470586,13.630980392156864,5709603.671098575,3659813.0136114396,0.5600807062720501,0.0851063829787234,2.0
legal_dong,80_90,A61203032,대우2,A61275302,현대,해운대구,좌동,86.26705882352942,72.73352941176469,13.533529411764732,6432287.375532591,5923468.783319512,0.08589875473741193,0.04491017964071856,2.0
legal_dong,80_90,A61203032,대우2,A61203031,상록,해운대구,좌동,86.26705882352942,72.73352941176469,13.533529411764732,6432287.375532591,4954051.796157059,0.29838920548271686,0.001996007984031936,0.0
legal_dong,80_90,A61203035,경남선경,A61275302,현대,해운대구,좌동,86.26705882352942,72.73352941176469,13.533529411764732,5298481.102084069,5923468.783319512,-0.10551042034616764,0.29528718703976436,1.0
legal_dong,80_90,A61203035,경남선경,A61203031,상록,해운대구,좌동,86.26705882352942,72.73352941176469,13.533529411764732,5298481.102084069,4954051.796157059,0.06952476883551939,0.26362297496318116,1.0
legal_dong,80_90,A61777409,학장대림,A61777312,반도보라타운,사상구,학장동,58.46235294117648,45.31411764705883,13.148235294117654,1646076.0089422285,2326266.195524146,-0.29239568020660656,0.17334669338677355,3.0
legal_dong,80_90,A61870411,명지오션시티한신휴플러스,A10025923,스위트팰리스,강서구,명지동,74.28764705882352,61.25294117647059,13.034705882352931,3800447.1114248736,4712535.3440150805,-0.19354512295564186,0.07378854625550661,5.0
legal_dong,80_90,A61870411,명지오션시티한신휴플러스,A10027581,명지대방노블랜드오션뷰2차,강서구,명지동,74.28764705882352,61.25294117647059,13.034705882352931,3800447.1114248736,5941281.316729118,-0.3603320716822829,0.28656361474435194,2.0
legal_dong,80_90,A61870411,명지오션시티한신휴플러스,A10027656,명지대방노블랜드오션뷰1차,강서구,명지동,74.28764705882352,61.25294117647059,13.034705882352931,3800447.1114248736,5674988.0201238375,-0.330316275920184,0.12366230677764566,2.0
legal_dong,80_90,A61203012,영남,A61203013,두산2,해운대구,좌동,87.26705882352942,74.34980392156862,12.917254901960803,5459363.957597173,7538280.329799764,-0.27578125,0.189873417721519,1.0
