sigungu,legal_dong,high_complex_id,high_complex_name,low_complex_id,low_complex_name,high_E,low_E,high_M,low_M,high_EM,low_EM,high_price_per_m2,low_price_per_m2,price_difference_pct,age_difference,household_difference_pct,score_gap
강서구,명지동,A10028117,명지오션시티삼정그린코아,A10027621,명지2차금강펜테리움센트럴파크,58.468598233995586,35.94221854304636,75.28764705882352,59.25294117647059,0.4401963187865212,0.21296821610829764,4417172.56688204,4700224.210190228,-0.06022088110063417,2.0,0.08955223880597014,38.56108557330216
사상구,모라동,A61775202,백양그린,A61781807,모라동원타운,61.79635761589404,30.155077262693155,41.07176470588236,45.77352941176471,0.25380854596805613,0.13803043159979222,1849119.6699962474,2763819.095477387,-0.33095488303772136,3.0,0.02702702702702703,36.34304505908324
금정구,부곡동,A60970301,대우,A60975303,경남한신,65.36490066225166,37.02941501103752,65.63352941176471,60.84862745098039,0.4290129130112973,0.22531890787343628,5304532.331559359,4234039.006501083,0.2528302935836455,4.0,0.09801136363636363,33.12038761199846
해운대구,좌동,A61203029,건영2,A61203034,대동타운,82.6453642384106,59.09834437086093,80.32764705882353,73.34980392156862,0.6638707649590961,0.4334851971691988,6420610.256196037,5734058.329214038,0.11973228864522278,2.0,0.2435483870967742,30.524863004804573
남구,문현동,A10023872,대연양우내안애퍼스트,A10024704,문현경동리인아파트,63.7098233995585,43.80700883002207,47.078823529411764,57.665882352941175,0.2999383532917803,0.2526169817426308,7402752.081950466,5309392.4409069065,0.39427479967670065,2.0,0.06666666666666667,30.489873393065842
수영구,남천동,A10023607,더샵남천프레스티지,A10023420,남천자이,77.64387417218543,53.67406181015453,68.08847058823531,62.339529411764715,0.5286652642929491,0.33460157548630054,14054742.961708114,16734292.766118592,-0.16012327750328836,0.0,0.06358974358974359,29.718753538501502
부산진구,당감동,A61475903,태화현대2,A61477806,국제백양,62.1960816777042,37.058388520971306,45.75382352941177,49.420392156862746,0.2845708545302558,0.1831440093407783,4072852.3037333786,1892741.0917463219,1.151827485277236,1.0,0.2888117953165655,28.804261784183872
부산진구,부암동,A61409002,쌍용스윗닷홈스카이,A61409004,타워베르빌,57.03956953642385,41.84972406181016,61.529411764705884,51.63725490196079,0.35096111608881975,0.21610048689564126,4738455.820867788,3496791.6642138106,0.35508668399126453,2.0,0.22727272727272727,25.082002337358787
사상구,엄궁동,A61776710,엄궁2차한신,A61776508,엄궁대림,52.09056291390729,31.78956953642384,45.31411764705883,47.31411764705883,0.23604378961823144,0.15040954329957149,2354231.710404185,2514619.8830409357,-0.06378227330438224,0.0,0.2706692913385827,22.30099337748345
해운대구,우동,A10023542,해운대센트럴푸르지오,A10025214,해운대비스타동원,81.58217439293598,69.79343267108167,81.95333333333333,72.51686274509802,0.6685931132082413,0.506120077751807,11501895.240147397,11095075.324846545,0.03666671053506154,3.0,0.08029197080291971,21.225212310089617
부산진구,가야동,A10023627,가야롯데캐슬골드아너,A10020213,가야역롯데캐슬스카이엘,62.1960816777042,46.08741721854304,46.75382352941177,50.14470588235294,0.2907904626980263,0.2311039981301129,9998630.948223056,9236957.182611136,0.08245938035155076,3.0,0.22459893048128343,19.49954681210233
동래구,사직동,A10027341,사직KCC스위첸1단지,A10024982,쌍용더플래티넘사직아시아드아파트,80.76136865342164,89.16280353200884,80.18529411764706,69.36666666666667,0.6475874098818336,0.6184926471670348,8412546.577858413,12594227.339982418,-0.33203154502766374,3.0,0.08508508508508508,19.220062329567583
북구,만덕동,A61682607,대성타워,A61678706,럭키,49.15954746136866,35.35176600441501,56.20058823529412,50.84117647058823,0.27627954847097785,0.17973253739774056,2624439.7263505543,1542477.4560987186,0.7014444625909593,1.0,0.09333333333333334,19.167193221659538
사하구,다대동,A60476604,다대코오롱맨션,A60474307,다대해송,40.872958057395145,24.5848233995585,52.81882352941177,50.31882352941177,0.21588615587586032,0.12370793901441372,3187959.247485539,2590673.5751295337,0.23055226952941799,4.0,0.27170868347338933,18.788134657836647
수영구,민락동,A10026760,센텀비스타동원,A10025075,e편한세상오션테라스3단지,58.72201986754967,42.56953642384106,59.96176470588235,58.96176470588236,0.35210759383521617,0.2509974990261005,10020465.326832213,9148980.012363488,0.09525491511524153,3.0,0.1907514450867052,17.152483443708604
기장군,일광읍삼성리,A10023912,일광한신더휴센트럴포레2단지,A10024909,일광자이푸르지오2단지,75.63647902869756,70.97770419426048,50.39176470588235,37.96509803921568,0.38114556543955325,0.26946754983335497,5617160.425098677,6386935.186632512,-0.1205233400747403,0.0,0.18412942989214176,17.08544150110375
사상구,학장동,A61777409,학장대림,A61777312,반도보라타운,38.87693156732892,40.93316777041943,58.46235294117648,45.31411764705883,0.22728368945591487,0.18548503800155827,1719349.2924216373,2496659.9866399467,-0.3113402298982767,3.0,0.17334669338677355,15.204471497208168
기장군,정관읍용수리,A61996303,정관신동아파밀리에,A61996306,정관신도시한진해모로,63.0385761589404,72.22753863134659,42.58509803921568,37.00274509803921,0.2684503945981041,0.2672617201034498,3213642.9856885765,3318097.1229148526,-0.03148013254491966,0.0,0.14154652686762778,14.771315413582656
수영구,광안동,A10024695,광안자이,A61310007,쌍용예가디오션,64.94271523178807,56.86467991169978,57.748000000000005,63.98235294117647,0.37503119192052975,0.3638336019997403,11411684.685562,12295607.58538976,-0.07188932256410652,5.0,0.044284243048403706,14.312388261264758
