apartment_id,apartment_name,gu,legal_dong,household_count,school_premium_core_score,school_premium_confidence,expected_school_premium_pct,gap_confidence,residual_method_gap_pct,comparable_method_gap_pct,school_value_gap_pct,comparable_count,data_quality_flag,internal_complex_id,apartment_age,transaction_count_6m,market_price_6m,market_price_per_m2_6m,representative_area_6m,baseline_price_6m,fair_price_6m,has_6m_price,residual_gap_6m,comparable_rule_6m,comparable_count_6m,comparable_gap_6m,gap_6m,transaction_count_12m,market_price_12m,market_price_per_m2_12m,representative_area_12m,baseline_price_12m,fair_price_12m,has_12m_price,residual_gap_12m,comparable_rule_12m,comparable_count_12m,comparable_gap_12m,gap_12m,transaction_count_24m,market_price_24m,market_price_per_m2_24m,representative_area_24m,baseline_price_24m,fair_price_24m,has_24m_price,residual_gap_24m,comparable_rule_24m,comparable_count_24m,comparable_gap_24m,gap_24m,phase145_gap_reproduced,phase145_reproduction_error,temporal_sign_pattern,temporal_stability,temporal_std,temporal_range,temporal_median,temporal_min,temporal_max,temporal_cv,gap_method_agreement,gap_method_abs_diff,large_method_disagreement,bootstrap_iterations,bootstrap_gap_p05,bootstrap_gap_p25,bootstrap_gap_median,bootstrap_gap_p75,bootstrap_gap_p95,gap_positive_probability,gap_negative_probability,bootstrap_iqr,bootstrap_stability,sanity_flag
A10022541,에코델타스마트시티수자인,강서구,강동동,554.0,84.39039735099338,C,15.707645281770244,LOW,4.852893870474006,,4.852893870474006,0.0,INSUFFICIENT_COMPARABLES,A10022541,2,2.0,824500000.0,6200712.047806775,132.9686,685988630.521178,793741291.2767181,True,-4.4838510953035815,INSUFFICIENT_COMPARABLES,0.0,,-4.4838510953035815,3.0,749000000.0,6302556.01482424,132.9686,675658905.4275539,781789009.6068056,True,4.852893870474006,INSUFFICIENT_COMPARABLES,0.0,,4.852893870474006,3.0,749000000.0,6302556.01482424,132.9686,675658905.4275539,781789009.6068056,True,4.852893870474006,INSUFFICIENT_COMPARABLES,0.0,,4.852893870474006,4.852893870474006,0.0,-++,MIXED,5.3905722193465735,9.336744965777587,4.852893870474006,-4.4838510953035815,4.852893870474006,3.0968810530339166,INSUFFICIENT,,False,500,-13.543579067379774,-13.543579067379774,4.852893870474006,8.547630821395602,8.547630821395602,0.716,0.28400000000000003,22.091209888775374,UNCERTAIN,True
A10022568,해운대경동리인뷰2차,해운대구,우동,632.0,81.58217439293598,B,14.337341114040411,MEDIUM,27.858210555444764,16.377183628198342,22.117697091821555,5.0,OK,A10022568,2,2.0,902500000.0,10620483.35261299,84.9773,1096006702.876603,1253144922.5007687,True,31.992954201872898,RELAXED_SAME_DONG_2,5.0,22.017872607233123,27.00541340455301,5.0,950000000.0,11179456.160645254,84.9773,1098530933.2594512,1256031060.4041102,True,27.85821055544476,RELAXED_SAME_DONG_2,5.0,17.140697193799067,22.499453874621913,7.0,899000000.0,10579295.882547457,84.9773,1093482472.4937546,1250258784.5974274,True,32.12294604012809,RELAXED_SAME_DONG_2,5.0,19.789748850568408,25.95634744534825,22.117697091821555,0.0,+++,STABLE_POSITIVE,2.357764613338524,4.505959529931097,25.95634744534825,22.499453874621913,27.00541340455301,0.0937341635148223,STRONG_POSITIVE,11.481026927246422,False,500,5.281531845806139,18.74686338608167,22.54377589840204,28.18529954527409,33.207279769950915,0.998,0.0020000000000000018,9.43843615919242,VERY_STABLE_POSITIVE,False
A10022574,초읍하늘채포레스원,부산진구,초읍동,756.0,61.15353200883003,B,4.84546555839156,HIGH,-19.77306219367001,-14.215139166291692,-16.994100679980853,10.0,OK,A10022574,2,11.0,550000000.0,8417508.417508418,59.994,441346892.7303238,462732204.410603,True,-19.77306219367001,DISTRICT_RELAXED,10.0,-14.215139166291692,-16.994100679980853,18.0,530000000.0,8429472.765235096,59.994,431713021.13868165,452631526.8890482,True,-17.921273930280268,DISTRICT_RELAXED,6.0,-26.703324602399412,-22.312299266339842,22.0,530000000.0,8156131.37634583,59.994,431713021.13868165,452631526.8890482,True,-17.921273930280268,INSUFFICIENT_COMPARABLES,0.0,,-17.921273930280268,-16.994100679980853,0.0,---,STABLE_NEGATIVE,2.8408915836974673,5.318198586358989,-17.921273930280268,-22.312299266339842,-16.994100679980853,0.14892575870670013,STRONG_NEGATIVE,5.557923027378319,False,500,-33.06897770683917,-28.695654634578812,-20.381090372169915,-10.670892744428315,-0.3644317378627927,0.044,0.956,18.024761890150497,VERY_STABLE_NEGATIVE,False
A10022591,사직하늘채리센티아,동래구,사직동,690.0,77.53211920529802,B,12.389600394485466,MEDIUM,-19.588834612494743,-27.717632635431304,-23.653233623963025,8.0,OK,A10022591,2,27.0,720000000.0,8680497.592831245,84.8978,545543671.5565841,613134352.4398491,True,-19.588834612494743,ALL_SAME_DONG,8.0,-27.717632635431304,-23.653233623963025,42.0,714000000.0,8668982.87433048,84.8978,544916168.1990354,612429103.9238381,True,-18.639728825051517,ALL_SAME_DONG,8.0,-34.273904832322046,-26.456816828686783,61.0,700000000.0,8480785.132241353,84.8978,551775313.668666,620138070.1076324,True,-14.473632276402196,ALL_SAME_DONG,8.0,-39.845369128930955,-27.159500702666577,-23.653233623963025,0.0,---,STABLE_NEGATIVE,1.8550719770294952,3.5062670787035515,-26.456816828686783,-27.159500702666577,-23.653233623963025,0.07202340181712809,STRONG_NEGATIVE,8.12879802293656,False,500,-79.92257609743281,-45.66616236471682,-26.673766441116037,-12.65542737211568,5.817930616088064,0.102,0.898,33.01073499260114,STABLE_NEGATIVE,False
A10022696,에코델타호반써밋스마트시티,강서구,강동동,526.0,84.39039735099338,C,15.707645281770263,LOW,-12.380317892148527,-30.56519549258308,-21.4727566923658,21.0,OK,A10022696,2,,,,,,,False,,,,,,2.0,588000000.0,6925729.910377404,84.9017,490118083.1922147,567104093.1618595,True,-4.263443352679877,DISTRICT_RELAXED,22.0,-20.680529337316948,-12.471986344998413,3.0,629000000.0,7409693.622715835,84.9146,491068781.49505675,568204123.7818117,True,-12.38031789214853,DISTRICT_RELAXED,21.0,-23.459103990531112,-17.919710941339822,-21.4727566923658,0.0,NA--,STABLE_NEGATIVE,3.8521230041097576,5.447724596341409,-15.195848643169118,-17.919710941339822,-12.471986344998413,0.25349837936437825,STRONG_NEGATIVE,18.184877600434554,False,500,-28.067806340675062,-17.85600193391052,-12.471986344998411,-7.5361525417007575,-0.28671909607260027,0.034,0.966,10.319849392209761,VERY_STABLE_NEGATIVE,True
A10022844,롯데캐슬라센트,부산진구,부암동,2195.0,70.84387417218544,B,9.24547906344728,HIGH,-2.228541778946536,-81.88387616282422,-42.05620897088538,11.0,OK,A10022844,1,45.0,440000000.0,7031514.740765842,59.2,394710800.485154,431203704.905174,True,-2.2285417789465356,ALL_SAME_DONG,11.0,-81.88387616282422,-42.05620897088538,70.0,510000000.0,7179054.0540540535,72.13,457719219.8657702,500037554.5078347,True,-2.1765407830344863,ALL_SAME_DONG,11.0,-90.43239648652127,-46.304468634777876,76.0,510000000.0,7179054.0540540535,72.13,457719219.8657702,500037554.5078347,True,-2.1765407830344863,ALL_SAME_DONG,11.0,-90.09821352348855,-46.13737715326152,-42.05620897088538,0.0,---,STABLE_NEGATIVE,2.405949690104744,4.248259663892497,-46.13737715326152,-46.304468634777876,-42.05620897088538,0.05366508150063251,STRONG_NEGATIVE,79.65533438387769,True,500,-70.50987975074634,-50.24767856758232,-45.66314685395216,-24.274400622430726,-19.792896925846332,0.0,1.0,25.973277945151594,VERY_STABLE_NEGATIVE,False
A10022847,대연비치,남구,대연동,1384.0,77.64387417218543,B,12.442897505507622,HIGH,-67.37664077382429,-86.98307056756983,-77.17985567069705,11.0,OK,A10022847,1,24.0,1042500000.0,17274633.234962106,59.9372,579747901.6882911,651885338.8856962,True,-67.37664077382429,ALL_SAME_DONG,11.0,-86.98307056756983,-77.17985567069707,78.0,1038500000.0,16334854.506834053,59.9372,601008321.3107784,675791170.7310507,True,-60.35005114037259,ALL_SAME_DONG,11.0,-75.83087640208402,-68.0904637712283,88.0,1045000000.0,16189752.886872698,59.9372,603981612.4856682,679134425.4793723,True,-60.57561471365313,ALL_SAME_DONG,11.0,-78.57370079169178,-69.57465775267245,-77.17985567069705,0.0,---,STABLE_NEGATIVE,4.876113757372248,9.089391899468765,-69.57465775267245,-77.17985567069707,-68.0904637712283,0.06808789045539095,STRONG_NEGATIVE,19.606429793745534,False,500,-99.9526896805609,-92.13852965550436,-68.4699892983522,-66.5348835494626,-57.27893828045819,0.0,1.0,25.60364610604175,VERY_STABLE_NEGATIVE,False
A10022890,레이카운티(5단지),연제구,거제동,4470.0,80.79547461368652,B,13.956380261679737,LOW,8.009387990720796,-32.90462698986858,-12.447619499573891,9.0,METHOD_DIRECTION_DISAGREEMENT,A10022890,2,146.0,894500000.0,12225448.266436435,84.8261,844290131.1557014,962122472.3716257,True,8.009387990720796,ALL_SAME_DONG,8.0,-43.977281159893806,-17.983946584586505,345.0,900000000.0,12252736.444472598,84.8261,846425819.6092186,964556225.6269203,True,7.626920650497772,ALL_SAME_DONG,9.0,-40.634460815634526,-16.503770082568376,402.0,900000000.0,12139266.439776573,84.8261,848445283.5374215,966857533.6201909,True,7.8800053365188045,ALL_SAME_DONG,9.0,-59.25939062779885,-25.689692645640022,-12.447619499573891,0.0,---,STABLE_NEGATIVE,4.932048563043508,9.185922563071646,-17.983946584586505,-25.689692645640022,-16.503770082568376,0.2458754183355077,MIXED_POSITIVE_RESIDUAL,40.91401498058938,False,500,-56.066094737746,-27.867719280145725,-16.272818440380814,-8.586674456314926,-4.993499447275667,0.002,0.998,19.281044823830797,VERY_STABLE_NEGATIVE,False
A10022905,포레나부산덕천2차,북구,덕천동,795.0,67.33973509933774,A,7.633466263367361,MEDIUM,-25.631429615726557,-218.03249119756688,-121.8319604066467,5.0,OK,A10022905,2,30.0,582500000.0,8010694.448463308,74.7172,437099354.7531675,470465186.535647,True,-25.631429615726553,ALL_SAME_DONG,5.0,-218.03249119756688,-121.83196040664672,47.0,572000000.0,8016895.7080832785,74.7172,435740940.2587182,469003077.92904717,True,-23.63719186216451,ALL_SAME_DONG,5.0,-215.90706612631888,-119.7721289942417,60.0,514500000.0,7967230.679583213,74.7172,421528847.9689249,453706110.36899376,True,-14.422237036428843,ALL_SAME_DONG,5.0,-212.37776227473918,-113.39999965558401,-121.8319604066467,0.0,---,STABLE_NEGATIVE,4.395924246078679,8.431960751062704,-119.7721289942417,-121.83196040664672,-113.39999965558401,0.03714822770995797,STRONG_NEGATIVE,192.40106158184034,True,500,-130.2730710879846,-123.89147276469615,-119.57416309873251,-50.23934971242322,-11.56566621003069,0.002,0.998,73.65212305227293,VERY_STABLE_NEGATIVE,False
A10022985,경동포레스트힐 행복주택 아미,서구,아미동2가,767.0,44.87897350993377,B,,LOW,,,,,RECENT_PRICE_MISSING,A10022985,3,,,,,,,False,,,,,,,,,,,,False,,,,,,,,,,,,False,,,,,,,,NANANA,INSUFFICIENT,,,,,,,INSUFFICIENT,,False,0,,,,,,,,,,False
