scope,group,predictor,outcome,n,pearson,spearman
DISTRICT,사상구,confirmed_middle_quality_median,adjusted_upper_grade_index,7,0.4431606480995529,0.5273599014036483
DISTRICT,사상구,confirmed_middle_quality_median,adjusted_cohort_growth,7,0.2684057010455474,-0.1272937693043289
DISTRICT,사상구,confirmed_middle_quality_median,net_transfer_rate,7,0.25764676630261274,-0.36369648372665403
DISTRICT,사상구,broad_middle_quality_median,adjusted_upper_grade_index,20,0.0559299676080675,0.02499118063325722
DISTRICT,사상구,broad_middle_quality_median,adjusted_cohort_growth,20,-0.04154098896329181,-0.26354335940525797
DISTRICT,사상구,broad_middle_quality_median,net_transfer_rate,20,-0.0514977983327129,-0.37865425201904873
DISTRICT,사하구,confirmed_middle_quality_median,adjusted_upper_grade_index,0,,
DISTRICT,사하구,confirmed_middle_quality_median,adjusted_cohort_growth,0,,
DISTRICT,사하구,confirmed_middle_quality_median,net_transfer_rate,0,,
DISTRICT,사하구,broad_middle_quality_median,adjusted_upper_grade_index,26,0.13854026247841864,0.004109595065910111
DISTRICT,사하구,broad_middle_quality_median,adjusted_cohort_growth,26,0.06768234561783035,0.21369894342732582
DISTRICT,사하구,broad_middle_quality_median,net_transfer_rate,26,0.25986115209465904,0.33390459910519654
DISTRICT,서구,confirmed_middle_quality_median,adjusted_upper_grade_index,0,,
DISTRICT,서구,confirmed_middle_quality_median,adjusted_cohort_growth,0,,
DISTRICT,서구,confirmed_middle_quality_median,net_transfer_rate,0,,
DISTRICT,서구,broad_middle_quality_median,adjusted_upper_grade_index,10,-0.46059179504984943,-0.49696992650327754
DISTRICT,서구,broad_middle_quality_median,adjusted_cohort_growth,10,0.19326416132237037,0.41107388982369863
DISTRICT,서구,broad_middle_quality_median,net_transfer_rate,10,0.2625225290495145,0.5583242384172624
DISTRICT,수영구,confirmed_middle_quality_median,adjusted_upper_grade_index,0,,
DISTRICT,수영구,confirmed_middle_quality_median,adjusted_cohort_growth,0,,
DISTRICT,수영구,confirmed_middle_quality_median,net_transfer_rate,0,,
DISTRICT,수영구,broad_middle_quality_median,adjusted_upper_grade_index,10,-0.45068672493406425,-0.260405408741612
DISTRICT,수영구,broad_middle_quality_median,adjusted_cohort_growth,10,0.4895160037416013,0.18879392133766867
DISTRICT,수영구,broad_middle_quality_median,net_transfer_rate,10,0.16382411724491405,0.1562432452449672
DISTRICT,연제구,confirmed_middle_quality_median,adjusted_upper_grade_index,0,,
DISTRICT,연제구,confirmed_middle_quality_median,adjusted_cohort_growth,0,,
DISTRICT,연제구,confirmed_middle_quality_median,net_transfer_rate,0,,
DISTRICT,연제구,broad_middle_quality_median,adjusted_upper_grade_index,13,-0.15490617911432855,-0.24904906769296004
DISTRICT,연제구,broad_middle_quality_median,adjusted_cohort_growth,13,0.5247191608727098,0.46413689888233456
DISTRICT,연제구,broad_middle_quality_median,net_transfer_rate,13,0.6483663776486386,0.534889474931471
DISTRICT,영도구,confirmed_middle_quality_median,adjusted_upper_grade_index,0,,
DISTRICT,영도구,confirmed_middle_quality_median,adjusted_cohort_growth,0,,
DISTRICT,영도구,confirmed_middle_quality_median,net_transfer_rate,0,,
DISTRICT,영도구,broad_middle_quality_median,adjusted_upper_grade_index,12,-0.3321458267015817,-0.4181210050035454
DISTRICT,영도구,broad_middle_quality_median,adjusted_cohort_growth,12,-0.09703469308134455,-0.027874733666903025
DISTRICT,영도구,broad_middle_quality_median,net_transfer_rate,12,-0.46332187530408453,-0.5863954716083737
DISTRICT,중구,confirmed_middle_quality_median,adjusted_upper_grade_index,0,,
DISTRICT,중구,confirmed_middle_quality_median,adjusted_cohort_growth,0,,
DISTRICT,중구,confirmed_middle_quality_median,net_transfer_rate,0,,
DISTRICT,중구,broad_middle_quality_median,adjusted_upper_grade_index,3,-0.9286422769984545,-0.5
DISTRICT,중구,broad_middle_quality_median,adjusted_cohort_growth,3,-0.49520118889335435,-0.5
DISTRICT,중구,broad_middle_quality_median,net_transfer_rate,3,0.27804804796250704,-0.5
DISTRICT,해운대구,confirmed_middle_quality_median,adjusted_upper_grade_index,2,-1.0,-0.9999999999999999
DISTRICT,해운대구,confirmed_middle_quality_median,adjusted_cohort_growth,2,1.0,0.9999999999999999
DISTRICT,해운대구,confirmed_middle_quality_median,net_transfer_rate,2,1.0,0.9999999999999999
DISTRICT,해운대구,broad_middle_quality_median,adjusted_upper_grade_index,28,-0.30376554282425955,-0.40690536481693573
DISTRICT,해운대구,broad_middle_quality_median,adjusted_cohort_growth,28,0.5640826070011475,0.5800799039174767
DISTRICT,해운대구,broad_middle_quality_median,net_transfer_rate,28,0.725791064949584,0.6600909251474735
