kapt_code,complex_name,sigungu,dong,households,eligible_households,confirmed_households,priced_households,valuation_scope,market_cap_krw,partial_cap_krw,per_household_krw,status,release_status,reason,rank,district_rank,adjusted_market_cap_krw,estimated_households,adjusted_status,adjusted_scope,adjustment_source
A61612019,화명대림타운,북구,화명동,3382.0,3382.0,3382.0,3382.0,전체 분양 주거 세대,963260000000.0,963260000000.0,284819633.3530455,산정 완료,VERIFIED_MASTER,,33.0,5.0,963260000000.0,0,산정 완료,전체 분양 주거 세대,
A10024695,광안자이아파트,수영구,광안동,971.0,971.0,971.0,971.0,전체 분양 주거 세대,953310000000.0,953310000000.0,981781668.3831102,산정 완료,VERIFIED_MASTER,,34.0,3.0,953310000000.0,0,산정 완료,전체 분양 주거 세대,
A10024982,쌍용 더 플래티넘 사직 아시아드,동래구,사직동,914.0,914.0,914.0,914.0,전체 분양 주거 세대,948510000000.0,948510000000.0,1037757111.5973742,산정 완료,VERIFIED_MASTER,,35.0,4.0,948510000000.0,0,산정 완료,전체 분양 주거 세대,
A61206118,메가센텀꿈에그린아파트,해운대구,반여동,1564.0,1564.0,1564.0,1564.0,전체 분양 주거 세대,944185000000.0,944185000000.0,603698849.1048594,산정 완료,VERIFIED_MASTER,,36.0,12.0,944185000000.0,0,산정 완료,전체 분양 주거 세대,
A61377106,부산더샵센텀포레,수영구,민락동,1006.0,920.0,920.0,920.0,분양 세대만 (임대 제외),942850000000.0,942850000000.0,1024836956.5217391,산정 완료,VERIFIED_MASTER,,37.0,4.0,942850000000.0,0,산정 완료,분양 세대만 (임대 제외),
A10024664,더샵명지퍼스트월드3단지,강서구,명지동,1530.0,1530.0,1530.0,1530.0,전체 분양 주거 세대,942720000000.0,942720000000.0,616156862.745098,산정 완료,VERIFIED_MASTER,,38.0,1.0,942720000000.0,0,산정 완료,전체 분양 주거 세대,
A60971101,롯데캐슬골드1단지,금정구,구서동,1728.0,1728.0,1728.0,1728.0,전체 분양 주거 세대,941700000000.0,941700000000.0,544965277.7777778,산정 완료,VERIFIED_MASTER,,39.0,2.0,941700000000.0,0,산정 완료,전체 분양 주거 세대,
A10024591,해운대 롯데캐슬 스타 아파트,해운대구,중동,828.0,828.0,828.0,828.0,전체 분양 주거 세대,927130000000.0,927130000000.0,1119722222.2222223,산정 완료,VERIFIED_MASTER,,40.0,13.0,927130000000.0,0,산정 완료,전체 분양 주거 세대,
A61381903,남천뉴비치아파트,수영구,남천동,990.0,990.0,990.0,990.0,전체 분양 주거 세대,905212500000.0,905212500000.0,914356060.6060606,산정 완료,VERIFIED_MASTER,,41.0,5.0,905212500000.0,0,산정 완료,전체 분양 주거 세대,
A10024697,더샵명지퍼스트월드2단지아파트,강서구,명지동,1406.0,1406.0,1406.0,1406.0,전체 분양 주거 세대,880885000000.0,880885000000.0,626518492.176387,산정 완료,VERIFIED_MASTER,,42.0,2.0,880885000000.0,0,산정 완료,전체 분양 주거 세대,
