kapt_code,kapt_name,audited_status,in_master,in_rental,in_pending
A61673302,삼한힐파크아파트,MASTER_INCLUDED,True,False,False
A61673304,화명동원로얄듀크,MASTER_INCLUDED,True,False,False
A61673305,화명유림아파트,MASTER_INCLUDED,True,False,False
A61673308,화명롯데캐슬카이저,MASTER_INCLUDED,True,False,False
A61679206,벽산강변타운아파트,MASTER_INCLUDED,True,False,False
A61679207,도시화명그린(21B)아파트,MASTER_INCLUDED,True,False,False
A61679208,화명경남아너스빌,MASTER_INCLUDED,True,False,False
A61683305,그린숲속(화명그린24),MASTER_INCLUDED,True,False,False
A61685214,화명코오롱하늘채2차,MASTER_INCLUDED,True,False,False
A10023725,백양산 베스티움에코포레,MASTER_INCLUDED,True,False,False
A10024318,e편한세상 금정산 아파트,MASTER_INCLUDED,True,False,False
A10025235,더래디언트금정산,MASTER_INCLUDED,True,False,False
A10027832,백양디이스트,FINAL_PENDING,False,False,True
A61673103,신만덕쌍용예가,MASTER_INCLUDED,True,False,False
A61675601,만덕 상록한신휴플러스아파트,MASTER_INCLUDED,True,False,False
A61675806,만덕삼성아파트,MASTER_INCLUDED,True,False,False
A61678209,만덕그린코아아파트,MASTER_INCLUDED,True,False,False
A61678706,럭키만덕1차아파트,MASTER_INCLUDED,True,False,False
A61678804,럭키만덕2차아파트,MASTER_INCLUDED,True,False,False
A61679609,부산만덕3단지 주공아파트,EXCLUDED_RENTAL_ONLY,False,True,False
A61682607,만덕대성타워,MASTER_INCLUDED,True,False,False
A61682907,만덕동원,MASTER_INCLUDED,True,False,False
A61682908,벽산라인타운 아파트,MASTER_INCLUDED,True,False,False
A10022905,포레나부산덕천2차,MASTER_INCLUDED,True,False,False
A10023684,포레나부산덕천아파트,MASTER_INCLUDED,True,False,False
A61610003,덕천동롯데아파트,MASTER_INCLUDED,True,False,False
A61670501,덕천삼정그린코아,MASTER_INCLUDED,True,False,False
A61677404,덕천주공2단지,EXCLUDED_RENTAL_ONLY,False,True,False
A61677608,기비골마을아파트,MASTER_INCLUDED,True,False,False
A61681409,부산도시공사 덕천2지구 아파트,EXCLUDED_RENTAL_ONLY,False,True,False
A61682303,덕천주공1단지아파트,MASTER_INCLUDED,True,False,False
A10024201,리버파크반도유보라,MASTER_INCLUDED,True,False,False
A61609002,동원로얄듀크비스타,MASTER_INCLUDED,True,False,False
A61609206,구포유림노르웨이숲,MASTER_INCLUDED,True,False,False
A61680705,구포삼정그린코아아파트,MASTER_INCLUDED,True,False,False
A61680707,구포현대아파트,MASTER_INCLUDED,True,False,False
A61273009,부산도시공사 반송영구임대아파트,EXCLUDED_RENTAL_ONLY,False,True,False
A61273306,벽산삼협한솔,MASTER_INCLUDED,True,False,False
A61273507,반송삼한2차,MASTER_INCLUDED,True,False,False
A61273609,부산반송주공,EXCLUDED_RENTAL_ONLY,False,True,False
A61280805,삼한그린타운1차아파트,MASTER_INCLUDED,True,False,False
A10022405,드파인센텀아파트,MASTER_INCLUDED,True,False,False
A10023647,센텀KCC스위첸아파트,MASTER_INCLUDED,True,False,False
A10024249,센텀트루엘 아파트,MASTER_INCLUDED,True,False,False
A61206110,센텀롯데캐슬3차,MASTER_INCLUDED,True,False,False
A61206113,우방신세계타운아파트,MASTER_INCLUDED,True,False,False
A61206114,센텀롯데캐슬2차,MASTER_INCLUDED,True,False,False
A61206118,메가센텀꿈에그린아파트,MASTER_INCLUDED,True,False,False
A61270515,센텀롯데캐슬,MASTER_INCLUDED,True,False,False
A61271919,아시아선수촌아파트,MASTER_INCLUDED,True,False,False
A61272011,반여현대그린아파트,MASTER_INCLUDED,True,False,False
A61279802,일동미라주,MASTER_INCLUDED,True,False,False
A61279804,센텀SK뷰,MASTER_INCLUDED,True,False,False
A61281117,센텀대림,MASTER_INCLUDED,True,False,False
A10026557,센텀리슈빌 아파트,FINAL_PENDING,False,False,True
A61205002,센텀동부센트레빌아파트,MASTER_INCLUDED,True,False,False
A61205003,더샵센텀스타,MASTER_INCLUDED,True,False,False
A61271204,더샵센텀파크1차,MASTER_INCLUDED,True,False,False
A61271302,더샵센텀파크2차,MASTER_INCLUDED,True,False,False
A61274815,센텀(재송)삼익,MASTER_INCLUDED,True,False,False
A61278214,센텀우신골든빌,MASTER_INCLUDED,True,False,False
A61281512,센텀피오레1차,MASTER_INCLUDED,True,False,False
A61283211,재송그린,MASTER_INCLUDED,True,False,False
A61283410,센텀동국아파트,MASTER_INCLUDED,True,False,False
A61286403,센텀이편한세상,MASTER_INCLUDED,True,False,False
A10022568,해운대 경동리인뷰2차,MASTER_INCLUDED,True,False,False
A10023542,해운대센트럴푸르지오,MASTER_INCLUDED,True,False,False
A10025214,해운대비스타동원,MASTER_INCLUDED,True,False,False
A10026484,해운대 자이2차,MASTER_INCLUDED,True,False,False
A61202004,트럼프월드센텀,MASTER_INCLUDED,True,False,False
A61202007,해운대두산위브더제니스,MASTER_INCLUDED,True,False,False
A61202009,해운대자이,FINAL_PENDING,False,False,True
A61202011,해운대센텀두산위브,MASTER_INCLUDED,True,False,False
A61271101,센텀삼환아파트,MASTER_INCLUDED,True,False,False
A61274011,경남마리나아파트,MASTER_INCLUDED,True,False,False
A61274013,해운대아이파크,MASTER_INCLUDED,True,False,False
A61274114,경동마리나아파트,MASTER_INCLUDED,True,False,False
A61274213,해운대롯데아파트,MASTER_INCLUDED,True,False,False
A61274508,동부올림픽아파트,MASTER_INCLUDED,True,False,False
A61274707,삼호가든아파트,MASTER_INCLUDED,True,False,False
A61278912,대우마리나3차아파트,MASTER_INCLUDED,True,False,False
A61282215,"대우마리나1,2차아파트",MASTER_INCLUDED,True,False,False
A61282705,센텀센시빌구새한센시빌,MASTER_INCLUDED,True,False,False
A61286810,해운대반도보라빌,MASTER_INCLUDED,True,False,False
A10024591,해운대 롯데캐슬 스타 아파트,MASTER_INCLUDED,True,False,False
A10025181,해운대 LCT 더샵아파트,MASTER_INCLUDED,True,False,False
A10028037,해운대힐스테이트위브,MASTER_INCLUDED,True,False,False
A61201007,롯데캐슬마린,MASTER_INCLUDED,True,False,False
A61288603,래미안해운대,MASTER_INCLUDED,True,False,False
