kapt_code,kapt_name,kapt_households,master_households,difference,audit_result,detailed_cause
A10022844,롯데캐슬라센트,2195,2079,-116,WARNING,일반 분양단지 세대수 차이
A10026861,서면동일파크스위트3차아파트,727,727,0,PASS,K-apt 총세대수와 100% exact 일치
A10028147,서면동일파크스위트1차아파트,751,751,0,PASS,K-apt 총세대수와 100% exact 일치
A61409002,서면쌍용스윗닷홈스카이,544,544,0,PASS,K-apt 총세대수와 100% exact 일치
A61409003,일성in4아파트,546,546,0,PASS,K-apt 총세대수와 100% exact 일치
A61409005,서면동문굿모닝힐,559,559,0,PASS,K-apt 총세대수와 100% exact 일치
A61409302,당감뜨란채아파트,630,630,0,PASS,K-apt 총세대수와 100% exact 일치
A61479403,백양산쌍용스윗닷홈아파트,718,718,0,PASS,K-apt 총세대수와 100% exact 일치
A61484004,협성피닉스아파트,774,774,0,PASS,K-apt 총세대수와 100% exact 일치
A61484005,화승삼성아파트,1811,1811,0,PASS,K-apt 총세대수와 100% exact 일치
A10023021,서면 비스타동원,806,806,0,PASS,K-apt 총세대수와 100% exact 일치
A10025434,서면2차 봄여름가을겨울아파트,535,535,0,PASS,K-apt 총세대수와 100% exact 일치
A61410304,서면삼익아파트,1074,1074,0,PASS,K-apt 총세대수와 100% exact 일치
A61475202,태화현대1차아파트,668,668,0,PASS,K-apt 총세대수와 100% exact 일치
A61475903,태화현대2차아파트,820,820,0,PASS,K-apt 총세대수와 100% exact 일치
A61477806,국제백양아파트,1153,1153,0,PASS,K-apt 총세대수와 100% exact 일치
A61479605,당감동일스위트아파트,1090,1090,0,PASS,K-apt 총세대수와 100% exact 일치
A61482207,개금주공3단지아파트,2716,2716,0,PASS,K-apt 총세대수와 100% exact 일치
A61482302,백양뜨란채아파트,851,851,0,PASS,K-apt 총세대수와 100% exact 일치
A61482303,백양푸른채,1116,1116,0,PASS,K-apt 총세대수와 100% exact 일치
A10020213,가야역롯데캐슬스카이엘아파트,725,725,0,PASS,K-apt 총세대수와 100% exact 일치
A10023627,가야롯데캐슬 골드아너,935,935,0,PASS,K-apt 총세대수와 100% exact 일치
A61476403,가야벽산아파트,1772,1772,0,PASS,K-apt 총세대수와 100% exact 일치
A61479502,가야반도보라빌,1048,1048,0,PASS,K-apt 총세대수와 100% exact 일치
A10023409,이진젠시티,736,736,0,PASS,K-apt 총세대수와 100% exact 일치
A10026363,금강펜테리움 더 스퀘어,620,620,0,PASS,K-apt 총세대수와 100% exact 일치
A61475512,개금주공2단지,2544,2544,0,PASS,K-apt 총세대수와 100% exact 일치
A61477009,개금우드빌,980,980,0,PASS,K-apt 총세대수와 100% exact 일치
A61477105,개금아이파크,1424,1424,0,PASS,K-apt 총세대수와 100% exact 일치
A61477403,개금시영아파트,633,633,0,PASS,K-apt 총세대수와 100% exact 일치
A61480908,동원화인패밀리타운,894,894,0,PASS,K-apt 총세대수와 100% exact 일치
A61481111,신개금LG아파트,2510,2510,0,PASS,K-apt 총세대수와 100% exact 일치
A10025342,e편한세상동래명장,0,1384,1384,PASS,K-apt 신축 세대수 미등재 단지 공식 공급세대수 반영
A10026360,동래동일스위트,702,702,0,PASS,K-apt 총세대수와 100% exact 일치
A10027972,안락경동리인아파트,693,693,0,PASS,K-apt 총세대수와 100% exact 일치
A60710004,안락뜨란채2단지아파트,1420,1420,0,PASS,K-apt 총세대수와 100% exact 일치
A60777205,안락1차SK아파트,1898,1898,0,PASS,K-apt 총세대수와 100% exact 일치
A60777604,안락현대아파트,738,738,0,PASS,K-apt 총세대수와 100% exact 일치
A60778502,강변뜨란채,814,814,0,PASS,K-apt 총세대수와 100% exact 일치
A60782701,동래화목타운,793,793,0,PASS,K-apt 총세대수와 100% exact 일치
A10025662,포레나동래아파트,0,732,732,PASS,K-apt 신축 세대수 미등재 단지 공식 공급세대수 반영
A60775407,동원로얄듀크,632,632,0,PASS,K-apt 총세대수와 100% exact 일치
A60775605,동래우성아파트,531,531,0,PASS,K-apt 총세대수와 100% exact 일치
A60776006,동래한양아파트,552,552,0,PASS,K-apt 총세대수와 100% exact 일치
A60780104,중앙하이츠2차아파트,511,511,0,PASS,K-apt 총세대수와 100% exact 일치
A60780108,낙민한일유앤아이,935,935,0,PASS,K-apt 총세대수와 100% exact 일치
A60702002,우성베스토피아아파트,744,744,0,PASS,K-apt 총세대수와 100% exact 일치
A10023781,힐스테이트 명륜 트라디움,874,874,0,PASS,K-apt 총세대수와 100% exact 일치
A10025687,명륜자이,671,671,0,PASS,K-apt 총세대수와 100% exact 일치
A10027690,명륜2차아이파크아파트,2058,1882,-176,PASS,혼합단지 분양(sale_apartment) 세대수 분리 적재
A60701003,동래센트럴파크하이츠2단지,680,680,0,PASS,K-apt 총세대수와 100% exact 일치
A10022002,래미안포레스티지,0,4043,4043,PASS,K-apt 신축 세대수 미등재 단지 공식 공급세대수 반영
A10023417,더샵 동래,603,603,0,PASS,K-apt 총세대수와 100% exact 일치
A10023975,동래래미안아이파크아파트,3853,3853,0,PASS,혼합단지 분양(sale_apartment) 세대수 분리 적재
A10024005,동래3차 SK VIEW 아파트,999,999,0,PASS,K-apt 총세대수와 100% exact 일치
A10025463,동래효성해링턴플레이스,762,762,0,PASS,K-apt 총세대수와 100% exact 일치
A10026316,동래삼정그린코아포레스트,582,582,0,PASS,K-apt 총세대수와 100% exact 일치
A60775306,동래럭키아파트,1536,1536,0,PASS,K-apt 총세대수와 100% exact 일치
A60783306,벽산 아스타,648,648,0,PASS,K-apt 총세대수와 100% exact 일치
A60784207,온천동반도보라스카이뷰,1149,1149,0,PASS,K-apt 총세대수와 100% exact 일치
A10022591,사직 하늘채 리센티아,690,690,0,PASS,K-apt 총세대수와 100% exact 일치
A10024982,쌍용 더 플래티넘 사직 아시아드,914,914,0,PASS,K-apt 총세대수와 100% exact 일치
A10027054,사직롯데캐슬더클래식,1064,978,-86,WARNING,일반 분양단지 세대수 차이
A10027341,사직KCC스위첸,999,999,0,PASS,K-apt 총세대수와 100% exact 일치
A60712001,사직2차삼정그린코아,560,560,0,PASS,K-apt 총세대수와 100% exact 일치
A60712204,사직한신아파트,710,710,0,PASS,K-apt 총세대수와 100% exact 일치
A60776402,사직2차쌍용예가,625,625,0,PASS,K-apt 총세대수와 100% exact 일치
