kapt_code,area_group_id,verified_at,valid_from,valid_to,valid_date_format,copied_suspicion
A60776006,exclusive_82_91,2026-09-18,nan,nan,True,False
A60776006,exclusive_96_4,2026-09-18,nan,nan,True,False
A60776006,exclusive_113_39,2026-09-18,nan,nan,True,False
A60776006,exclusive_133_42,2026-09-18,nan,nan,True,False
A60780104,exclusive_59_9,2026-09-18,nan,nan,True,False
A60780104,exclusive_84_83,2026-09-18,nan,nan,True,False
A60780108,exclusive_71_01,2026-09-18,nan,nan,True,False
A60780108,exclusive_76_61,2026-09-18,nan,nan,True,False
A60780108,exclusive_84_95,2026-09-18,nan,nan,True,False
A60780108,exclusive_84_93,2026-09-18,nan,nan,True,False
A60780108,exclusive_84_98,2026-09-18,nan,nan,True,False
A60780108,exclusive_105_18,2026-09-18,nan,nan,True,False
A60780108,exclusive_112_17,2026-09-18,nan,nan,True,False
A60780108,exclusive_124_97,2026-09-18,nan,nan,True,False
A60702002,exclusive_84_87,2026-09-18,nan,nan,True,False
A60702002,exclusive_112_37,2026-09-18,nan,nan,True,False
A60702002,exclusive_124_7,2026-09-18,nan,nan,True,False
A60702002,exclusive_134_77,2026-09-18,nan,nan,True,False
A60702002,exclusive_152_71,2026-09-18,nan,nan,True,False
A60702002,exclusive_174_16,2026-09-18,nan,nan,True,False
A60702002,exclusive_201_4,2026-09-18,nan,nan,True,False
A60702002,exclusive_234_08,2026-09-18,nan,nan,True,False
A10023781,exclusive_84_93,2026-09-18,nan,nan,True,False
A10023781,exclusive_84_96,2026-09-18,nan,nan,True,False
A10023781,exclusive_109_98,2026-09-18,nan,nan,True,False
A10023781,exclusive_137_32,2026-09-18,nan,nan,True,False
