kapt_code,mapping_category,in_legacy_mapping_csv
A61870411,HAS_KB_MAPPING,True
A10027026,HAS_KB_MAPPING,True
A10028069,HAS_KB_MAPPING,True
A61823002,HAS_KB_MAPPING,True
A61829001,HAS_KB_MAPPING,True
A10025950,HAS_KB_MAPPING,True
A61175804,HAS_KB_MAPPING,True
A61176513,HAS_KB_MAPPING,True
A61176612,HAS_KB_MAPPING,True
A61176911,HAS_KB_MAPPING,True
A61177214,HAS_KB_MAPPING,True
A61180503,HAS_KB_MAPPING,True
A10022365,HAS_KB_MAPPING,True
A10024627,HAS_KB_MAPPING,True
A10025135,HAS_KB_MAPPING,True
A10025559,HAS_KB_MAPPING,True
A10025994,HAS_KB_MAPPING,True
A10027937,HAS_KB_MAPPING,True
A10028028,HAS_KB_MAPPING,True
A61175110,HAS_KB_MAPPING,True
A61175901,HAS_KB_MAPPING,True
A61176308,HAS_KB_MAPPING,True
A61176411,HAS_KB_MAPPING,True
A10025433,HAS_KB_MAPPING,True
A61313001,HAS_KB_MAPPING,True
A61313203,HAS_KB_MAPPING,True
A61375702,HAS_KB_MAPPING,True
A61383101,HAS_KB_MAPPING,True
A10026760,HAS_KB_MAPPING,True
A61377105,HAS_KB_MAPPING,True
A10024695,HAS_KB_MAPPING,True
A61310007,HAS_KB_MAPPING,True
A61375202,HAS_KB_MAPPING,True
A61375603,HAS_KB_MAPPING,True
A10023420,HAS_KB_MAPPING,True
A61301003,HAS_KB_MAPPING,True
A61775202,HAS_KB_MAPPING,True
A61775706,HAS_KB_MAPPING,True
A61781805,HAS_KB_MAPPING,True
A61781807,HAS_KB_MAPPING,True
A61781808,HAS_KB_MAPPING,True
A61777903,HAS_KB_MAPPING,True
A61781005,HAS_KB_MAPPING,True
A10023544,HAS_KB_MAPPING,True
A61780802,HAS_KB_MAPPING,True
A10026975,HAS_KB_MAPPING,True
A61701002,HAS_KB_MAPPING,True
A61778608,HAS_KB_MAPPING,True
A61776907,HAS_KB_MAPPING,True
A61777010,HAS_KB_MAPPING,True
A61777105,HAS_KB_MAPPING,True
A61777312,HAS_KB_MAPPING,True
A61777411,HAS_KB_MAPPING,True
A61777711,HAS_KB_MAPPING,True
A61777806,HAS_KB_MAPPING,True
A61784208,HAS_KB_MAPPING,True
A61784213,HAS_KB_MAPPING,True
A61776508,HAS_KB_MAPPING,True
A61776509,HAS_KB_MAPPING,True
A61776710,HAS_KB_MAPPING,True
