kb_complex_id,kb_type_id,kb_sale_general,has_price_inversion
13269,61069,42000.0,False
13269,101826,53000.0,False
13269,133274,61000.0,False
43586,42346,59500.0,False
43586,87200,59500.0,False
43586,122903,66500.0,False
43586,149453,66500.0,False
43586,168601,90000.0,False
29812,28705,56000.0,False
29812,75143,60500.0,False
29812,113366,60500.0,False
29812,142384,59000.0,False
29812,163555,60500.0,False
29812,178855,60000.0,False
5575,5426,10500.0,False
5575,54381,13750.0,False
5575,97076,17000.0,False
5575,130255,19000.0,False
5575,154715,19750.0,False
5575,172205,23000.0,False
5575,184948,27000.0,False
36293,35126,9000.0,False
36293,80828,12250.0,False
5583,5434,23000.0,False
5583,1226048,23000.0,False
5583,54388,27000.0,False
5583,97080,30250.0,False
5583,130258,34500.0,False
5583,154716,35000.0,False
5583,172206,40500.0,False
5583,184949,44000.0,False
5585,5491810,,False
5585,5436,6000.0,False
5577,5428,19250.0,False
5577,54383,28750.0,False
5577,97078,33500.0,False
31355,30226,34000.0,False
31355,76522,34000.0,False
31355,114515,39500.0,False
31355,143295,45000.0,False
29234,142056,38500.0,False
29234,74623,38500.0,False
29234,112938,38500.0,False
29234,28129,38500.0,False
29234,163314,49500.0,False
29234,178671,49500.0,False
29234,189793,53750.0,False
29234,197904,53750.0,False
29234,203982,56000.0,False
29234,208595,56000.0,False
29234,212148,64000.0,False
29234,214925,64000.0,False
29234,217157,74000.0,False
13826,13603,30500.0,False
13826,61561,35500.0,False
13826,102202,35000.0,False
13826,133541,44000.0,False
13826,156666,46000.0,False
5494,5345,25250.0,False
5494,54302,30500.0,False
5494,97004,35000.0,False
5494,130197,45000.0,False
5494,154667,54500.0,False
14533,14301,37250.0,False
14533,62183,45000.0,False
14533,102685,51250.0,False
5485,5336,23000.0,False
5485,54293,33000.0,False
5485,96996,45000.0,False
5485,130192,46000.0,False
5485,154663,50500.0,False
5485,172168,51500.0,False
31578,30448,63000.0,False
31578,76717,63000.0,False
5417,5268,30500.0,False
5417,54226,41500.0,False
5417,1219545,41500.0,False
5417,96935,53000.0,False
5414,5265,16000.0,False
5414,54223,20250.0,False
5414,96934,26000.0,False
5414,130142,33500.0,False
5414,154620,44000.0,False
5418,5269,44000.0,False
5418,54227,49000.0,False
5418,96936,56000.0,False
5418,130143,65500.0,False
5416,5267,22750.0,False
5416,54225,37500.0,False
15051,14808,40500.0,False
15051,62644,44500.0,False
15051,103053,48500.0,False
15051,157107,48500.0,False
15051,134188,48500.0,False
15051,173775,52500.0,False
15051,186006,57500.0,False
15051,194924,61000.0,False
5411,201075,32500.0,False
5411,54220,40000.0,False
5411,96932,42500.0,False
5411,130141,47500.0,False
5411,154619,51000.0,False
5411,172134,52000.0,False
5411,184898,60000.0,False
5411,194134,61500.0,False
45594,44335,100000.0,False
45594,88940,100000.0,False
45594,124309,135000.0,False
45594,150500,,False
45594,169317,,False
34200,1211840,,False
34200,33051,47500.0,False
34200,79012,47500.0,False
34200,116513,66500.0,False
34200,144777,66500.0,False
34200,165303,72000.0,False
34200,180154,72000.0,False
34200,190835,72000.0,False
34200,198683,72000.0,False
34200,204586,91000.0,False
34200,209075,91000.0,False
34200,212525,91000.0,False
43564,42324,65000.0,False
43564,87181,76500.0,False
43564,122888,76500.0,False
43564,149444,76500.0,False
43564,168594,76500.0,False
30915,29788,64000.0,False
30915,76130,68500.0,False
30915,114199,69300.0,False
30915,143043,61000.0,False
30915,164048,79500.0,False
30915,179236,79500.0,False
30755,29632,52000.0,False
30755,75997,52000.0,False
30755,114087,52000.0,False
30755,142952,52000.0,False
30755,163981,52000.0,False
5434,54243,85500.0,False
5434,5285,85500.0,False
5434,172142,114000.0,False
5434,96950,114000.0,False
5434,130153,121000.0,False
5434,184902,121000.0,False
5434,194138,137500.0,False
5434,154630,137500.0,False
15340,15090,53000.0,False
15340,62908,54500.0,False
15340,173846,64000.0,False
15340,157211,63500.0,False
15340,134338,68000.0,False
15340,186060,63500.0,False
15340,194959,67500.0,False
15340,201673,67500.0,False
15340,206782,70500.0,False
15340,210709,82500.0,False
15340,213773,,False
15340,218196,,False
15340,216211,,False
13877,13654,55000.0,False
13877,102230,55000.0,False
13877,61605,55500.0,False
13877,133560,55500.0,False
13877,156679,59500.0,False
13877,173483,64000.0,False
13877,185784,64000.0,False
13877,194757,74000.0,False
13877,201535,,False
13877,206680,81000.0,False
550539,1402852,61000.0,False
550539,1402853,61000.0,False
550539,1402854,74250.0,False
550539,1402855,74250.0,False
550539,1402856,74250.0,False
27382,1377078,38000.0,False
27382,1377079,55750.0,False
27382,26290,55750.0,False
27382,1377080,59750.0,False
27382,111625,74000.0,False
27382,73001,74000.0,False
27382,141030,74000.0,False
27382,162530,74000.0,False
27382,1377074,74000.0,False
27382,1377075,74000.0,False
27382,178056,74000.0,False
27382,1377082,74000.0,False
27382,1377081,74000.0,False
27382,189321,81250.0,False
27382,1377076,81750.0,False
14279,14053,19500.0,False
14279,61962,32000.0,False
14279,102514,33000.0,False
14279,133778,33000.0,False
14279,156821,35500.0,False
14279,173583,40250.0,False
14279,185865,40250.0,False
14279,194817,43000.0,False
14279,201580,53500.0,False
5474,5325,18250.0,False
5474,154655,18250.0,False
5474,172160,18250.0,False
5474,54282,23500.0,False
5474,96985,34250.0,False
5474,130183,44500.0,False
16124,63614,50500.0,False
16124,15849,50500.0,False
16124,103881,66500.0,False
16124,134847,86000.0,False
14653,14419,40750.0,False
14653,62288,56500.0,False
14653,102765,63000.0,False
14653,133972,71000.0,False
14653,156949,96000.0,False
1072913,1687658,97000.0,False
1072913,1687659,97000.0,False
1072913,1687660,97000.0,False
1072913,1688385,114500.0,False
1072913,1688384,140000.0,False
1072913,1687661,135500.0,False
1072913,1687662,,False
1072913,1687663,,False
1072913,1687664,,False
1072913,1687665,,False
31369,30240,74500.0,False
31369,76534,74500.0,False
31369,114525,78000.0,False
31369,143299,91000.0,False
31369,164229,91000.0,False
31369,179367,101000.0,False
31369,190283,112500.0,False
31111,198223,,False
31111,29984,49000.0,False
31111,76307,49000.0,False
31111,114339,54000.0,False
31111,143153,58000.0,False
31111,164129,58000.0,False
31111,179297,58000.0,False
31111,190230,68500.0,False
30004,220542,23000.0,False
30004,221774,33500.0,False
30004,28893,64500.0,False
30004,75322,64500.0,False
30004,113521,64500.0,False
30004,142515,64500.0,False
