kapt_code,area_group_id,exclusive_area_sqm,supply_area_sqm,type_name,households,source,verified_at,valid_from,valid_to,verification_status,scope,notes
A60681702,exclusive_99_96,99.96,123.4,37평,96,KB부동산 단지 시세/평형정보 | https://kbland.kr/map?complex=6034,2026-09-18,,,verified,sale_apartment,
A60681702,exclusive_134_82,134.82,162.2,49평,96,KB부동산 단지 시세/평형정보 | https://kbland.kr/map?complex=6034,2026-09-18,,,verified,sale_apartment,
A60681702,exclusive_167_66,167.66,201.31,60평,48,KB부동산 단지 시세/평형정보 | https://kbland.kr/map?complex=6034,2026-09-18,,,verified,sale_apartment,
A60675801,exclusive_84_78,84.78,103.66,31평,230,KB부동산 단지 시세/평형정보 | https://kbland.kr/map?complex=6037,2026-09-18,,,verified,sale_apartment,
A60675801,exclusive_84_92,84.92,104.1,31평S,176,KB부동산 단지 시세/평형정보 | https://kbland.kr/map?complex=6037,2026-09-18,,,verified,sale_apartment,
A60675801,exclusive_122_74,122.74,144.28,43평,138,KB부동산 단지 시세/평형정보 | https://kbland.kr/map?complex=6037,2026-09-18,,,verified,sale_apartment,
A60675801,exclusive_149_22,149.22,172.19,52평,88,KB부동산 단지 시세/평형정보 | https://kbland.kr/map?complex=6037,2026-09-18,,,verified,sale_apartment,
A60675801,exclusive_189_85,189.85,215.46,65평,44,KB부동산 단지 시세/평형정보 | https://kbland.kr/map?complex=6037,2026-09-18,,,verified,sale_apartment,
A60607003,exclusive_59_96,59.96,81.22,24평,218,KB부동산 단지 시세/평형정보 | https://kbland.kr/map?complex=13741,2026-09-18,,,verified,sale_apartment,
A60607003,exclusive_74_46,74.46,97.42,29평,36,KB부동산 단지 시세/평형정보 | https://kbland.kr/map?complex=13741,2026-09-18,,,verified,sale_apartment,
A60607003,exclusive_84_97,84.97,108.41,32평,234,KB부동산 단지 시세/평형정보 | https://kbland.kr/map?complex=13741,2026-09-18,,,verified,sale_apartment,
A60607003,exclusive_101_79,101.79,129.38,39평,40,KB부동산 단지 시세/평형정보 | https://kbland.kr/map?complex=13741,2026-09-18,,,verified,sale_apartment,
A10023837,exclusive_84_82,84.82,116.37,35평D,82,KB부동산 단지 시세/평형정보 | https://kbland.kr/map?complex=44307,2026-09-18,,,verified,sale_apartment,
A10023837,exclusive_84_93,84.93,117.5,35평E,89,KB부동산 단지 시세/평형정보 | https://kbland.kr/map?complex=44307,2026-09-18,,,verified,sale_apartment,
A10023837,exclusive_84_91,84.91,118.2,35평A,357,KB부동산 단지 시세/평형정보 | https://kbland.kr/map?complex=44307,2026-09-18,,,verified,sale_apartment,
A10023837,exclusive_84_84,84.84,119.04,36평C,135,KB부동산 단지 시세/평형정보 | https://kbland.kr/map?complex=44307,2026-09-18,,,verified,sale_apartment,
A10023837,exclusive_84_8,84.8,119.84,36평B,135,KB부동산 단지 시세/평형정보 | https://kbland.kr/map?complex=44307,2026-09-18,,,verified,sale_apartment,
A10023837,exclusive_84_98,84.98,119.87,36평F,41,KB부동산 단지 시세/평형정보 | https://kbland.kr/map?complex=44307,2026-09-18,,,verified,sale_apartment,
A10023837,exclusive_115_84,115.84,163.61,49평A,6,KB부동산 단지 시세/평형정보 | https://kbland.kr/map?complex=44307,2026-09-18,,,verified,sale_apartment,
A10023837,exclusive_115_73,115.73,165.42,50평B,1,KB부동산 단지 시세/평형정보 | https://kbland.kr/map?complex=44307,2026-09-18,,,verified,sale_apartment,
A60675110,exclusive_45_5,45.5,62.48,18평,400,KB부동산 단지 시세/평형정보 | https://kbland.kr/map?complex=6054,2026-09-18,,,verified,sale_apartment,
A60675110,exclusive_57_09,57.09,78.3,23평,600,KB부동산 단지 시세/평형정보 | https://kbland.kr/map?complex=6054,2026-09-18,,,verified,sale_apartment,
A60680909,exclusive_85_76,85.76,104.61,31평,331,KB부동산 단지 시세/평형정보 | https://kbland.kr/map?complex=6056,2026-09-18,,,verified,sale_apartment,
A60680909,exclusive_116_63,116.63,137.8,41평,55,KB부동산 단지 시세/평형정보 | https://kbland.kr/map?complex=6056,2026-09-18,,,verified,sale_apartment,
A60680909,exclusive_121_26,121.26,142.79,43평,56,KB부동산 단지 시세/평형정보 | https://kbland.kr/map?complex=6056,2026-09-18,,,verified,sale_apartment,
A60680909,exclusive_146_99,146.99,170.44,51평,80,KB부동산 단지 시세/평형정보 | https://kbland.kr/map?complex=6056,2026-09-18,,,verified,sale_apartment,
A60680912,exclusive_46_27,46.27,65.78,19평,1340,KB부동산 단지 시세/평형정보 | https://kbland.kr/map?complex=6057,2026-09-18,,,verified,sale_apartment,
A61479902,exclusive_84_81,84.81,120.52,36평,156,KB부동산 단지 시세/평형정보 | https://kbland.kr/map?complex=14276,2026-09-18,,,verified,sale_apartment,
A61479902,exclusive_84_85,84.85,123.03,37평,68,KB부동산 단지 시세/평형정보 | https://kbland.kr/map?complex=14276,2026-09-18,,,verified,sale_apartment,
A61479902,exclusive_84_86,84.86,127.89,38평B,34,KB부동산 단지 시세/평형정보 | https://kbland.kr/map?complex=14276,2026-09-18,,,verified,sale_apartment,
A61479902,exclusive_84_85_38평A,84.85,128.6,38평A,136,KB부동산 단지 시세/평형정보 | https://kbland.kr/map?complex=14276,2026-09-18,,,verified,sale_apartment,
A61479902,exclusive_110_93,110.93,141.87,42평,140,KB부동산 단지 시세/평형정보 | https://kbland.kr/map?complex=14276,2026-09-18,,,verified,sale_apartment,
A61479902,exclusive_109_54,109.54,143.89,43평,72,KB부동산 단지 시세/평형정보 | https://kbland.kr/map?complex=14276,2026-09-18,,,verified,sale_apartment,
A61479902,exclusive_118_61,118.61,159.89,48평,166,KB부동산 단지 시세/평형정보 | https://kbland.kr/map?complex=14276,2026-09-18,,,verified,sale_apartment,
A61479902,exclusive_130_34,130.34,167.86,50평,68,KB부동산 단지 시세/평형정보 | https://kbland.kr/map?complex=14276,2026-09-18,,,verified,sale_apartment,
A61404006,exclusive_59_72,59.72,79.04,23평B,125,KB부동산 단지 시세/평형정보 | https://kbland.kr/map?complex=5515,2026-09-18,,,verified,sale_apartment,
A61404006,exclusive_59_84,59.84,79.17,23평A,176,KB부동산 단지 시세/평형정보 | https://kbland.kr/map?complex=5515,2026-09-18,,,verified,sale_apartment,
A61404006,exclusive_84_98,84.98,106.6,32평,324,KB부동산 단지 시세/평형정보 | https://kbland.kr/map?complex=5515,2026-09-18,,,verified,sale_apartment,
A61404006,exclusive_124_09,124.09,149.53,45평,80,KB부동산 단지 시세/평형정보 | https://kbland.kr/map?complex=5515,2026-09-18,,,verified,sale_apartment,
A61404007,exclusive_25_97,25.97,39.58,11평,24,KB부동산 단지 시세/평형정보 | https://kbland.kr/map?complex=13082,2026-09-18,,,verified,sale_apartment,
A61404007,exclusive_33_74,33.74,49.59,15평,316,KB부동산 단지 시세/평형정보 | https://kbland.kr/map?complex=13082,2026-09-18,,,verified,sale_apartment,
A61404007,exclusive_52_76,52.76,78.49,23평,96,KB부동산 단지 시세/평형정보 | https://kbland.kr/map?complex=13082,2026-09-18,,,verified,sale_apartment,
A61404007,exclusive_59_94,59.94,81.18,24평,177,KB부동산 단지 시세/평형정보 | https://kbland.kr/map?complex=13082,2026-09-18,,,verified,sale_apartment,
A61404007,exclusive_72_21,72.21,97.3,29평,185,KB부동산 단지 시세/평형정보 | https://kbland.kr/map?complex=13082,2026-09-18,,,verified,sale_apartment,
A61404007,exclusive_84_81,84.81,117.3,35평,369,KB부동산 단지 시세/평형정보 | https://kbland.kr/map?complex=13082,2026-09-18,,,verified,sale_apartment,
A61404007,exclusive_102_55,102.55,129.09,39평,47,KB부동산 단지 시세/평형정보 | https://kbland.kr/map?complex=13082,2026-09-18,,,verified,sale_apartment,
A61404007,exclusive_113_03,113.03,148.96,45평,134,KB부동산 단지 시세/평형정보 | https://kbland.kr/map?complex=13082,2026-09-18,,,verified,sale_apartment,
A61404007,exclusive_141_19,141.19,171.27,51평,47,KB부동산 단지 시세/평형정보 | https://kbland.kr/map?complex=13082,2026-09-18,,,verified,sale_apartment,
A61477302,exclusive_28_8,28.8,38.54,11평K,112,KB부동산 단지 시세/평형정보 | https://kbland.kr/map?complex=13167,2026-09-18,,,verified,sale_apartment,
A61477302,exclusive_30_49,30.49,40.83,12평J,270,KB부동산 단지 시세/평형정보 | https://kbland.kr/map?complex=13167,2026-09-18,,,verified,sale_apartment,
A61477302,exclusive_33_74,33.74,45.18,13평I,22,KB부동산 단지 시세/평형정보 | https://kbland.kr/map?complex=13167,2026-09-18,,,verified,sale_apartment,
A61477302,exclusive_38_53,38.53,51.6,15평H,22,KB부동산 단지 시세/평형정보 | https://kbland.kr/map?complex=13167,2026-09-18,,,verified,sale_apartment,
A61477302,exclusive_39_82,39.82,53.32,16평G,24,KB부동산 단지 시세/평형정보 | https://kbland.kr/map?complex=13167,2026-09-18,,,verified,sale_apartment,
A61477302,exclusive_41_76,41.76,55.91,16평F,8,KB부동산 단지 시세/평형정보 | https://kbland.kr/map?complex=13167,2026-09-18,,,verified,sale_apartment,
A61477302,exclusive_44_64,44.64,59.78,18평D,8,KB부동산 단지 시세/평형정보 | https://kbland.kr/map?complex=13167,2026-09-18,,,verified,sale_apartment,
A61477302,exclusive_45_15,45.15,60.46,18평E,20,KB부동산 단지 시세/평형정보 | https://kbland.kr/map?complex=13167,2026-09-18,,,verified,sale_apartment,
A61477302,exclusive_46_33,46.33,62.05,18평C,20,KB부동산 단지 시세/평형정보 | https://kbland.kr/map?complex=13167,2026-09-18,,,verified,sale_apartment,
A61477302,exclusive_60_99,60.99,81.67,24평B,4,KB부동산 단지 시세/평형정보 | https://kbland.kr/map?complex=13167,2026-09-18,,,verified,sale_apartment,
A61477302,exclusive_64_23,64.23,85.92,25평A,2,KB부동산 단지 시세/평형정보 | https://kbland.kr/map?complex=13167,2026-09-18,,,verified,sale_apartment,
A61486301,exclusive_84_98,84.98,110.6,33평C,132,KB부동산 단지 시세/평형정보 | https://kbland.kr/map?complex=14284,2026-09-18,,,verified,sale_apartment,
A61486301,exclusive_84_76,84.76,111.57,33평A2,28,KB부동산 단지 시세/평형정보 | https://kbland.kr/map?complex=14284,2026-09-18,,,verified,sale_apartment,
A61486301,exclusive_84_86,84.86,111.6,33평A1,90,KB부동산 단지 시세/평형정보 | https://kbland.kr/map?complex=14284,2026-09-18,,,verified,sale_apartment,
A61486301,exclusive_84_97,84.97,111.72,33평B,133,KB부동산 단지 시세/평형정보 | https://kbland.kr/map?complex=14284,2026-09-18,,,verified,sale_apartment,
A61486301,exclusive_126_72,126.72,161.8,48평,70,KB부동산 단지 시세/평형정보 | https://kbland.kr/map?complex=14284,2026-09-18,,,verified,sale_apartment,
A61486301,exclusive_128_91,128.91,164.96,49평,58,KB부동산 단지 시세/평형정보 | https://kbland.kr/map?complex=14284,2026-09-18,,,verified,sale_apartment,
A61473002,exclusive_59_9,59.9,89.91,27평,322,KB부동산 단지 시세/평형정보 | https://kbland.kr/map?complex=5514,2026-09-18,,,verified,sale_apartment,
A61473002,exclusive_71_02,71.02,106.61,32평,23,KB부동산 단지 시세/평형정보 | https://kbland.kr/map?complex=5514,2026-09-18,,,verified,sale_apartment,
A61473002,exclusive_78_76,78.76,118.23,35평,46,KB부동산 단지 시세/평형정보 | https://kbland.kr/map?complex=5514,2026-09-18,,,verified,sale_apartment,
