구,초등학교,배정가능 중학교
부산진구,양성초,양동여중
부산진구,양성초,동의중
부산진구,양성초,부산진여중
부산진구,성전초,동의중
부산진구,성전초,양동여중
부산진구,성전초,항도중
부산진구,성전초,부산진여중
부산진구,전포초,항도중
부산진구,전포초,동의중
부산진구,전포초,덕명여중
부산진구,전포초,부산진여중
부산진구,성북초,부산동중
부산진구,성북초,덕명여중
부산진구,성북초,부산진여중
부산진구,부산진초,부산동중
부산진구,부산진초,덕명여중
부산진구,부산진초,부산진여중
부산진구,선암초,서면중
부산진구,선암초,광무여중
부산진구,선암초,가야여중
부산진구,선암초,부산개성중
부산진구,가남초,가야여중
부산진구,가남초,서면중
부산진구,가남초,부산개성중
부산진구,부전초,서면중
부산진구,부전초,광무여중
부산진구,부전초,부산진중
부산진구,성지초,초읍중
부산진구,성지초,초연중
부산진구,성지초,부산진중
부산진구,성서초,부산진중
부산진구,성서초,동평여중
부산진구,성서초,동평중
부산진구,부암초,동평중
부산진구,부암초,동평여중
부산진구,부암초,서면중
부산진구,부암초,광무여중
부산진구,당감초,동평중
부산진구,당감초,동평여중
부산진구,당감초,개림중
부산진구,당감초,서면중
부산진구,당평초,동평중
부산진구,당평초,동평여중
부산진구,당평초,서면중
부산진구,동평초,동평중
부산진구,동평초,동평여중
부산진구,동평초,부산진중
부산진구,동평초,초연중
부산진구,동원초,동평중
부산진구,동원초,동평여중
부산진구,동원초,개림중
부산진구,가야초,가야여중
부산진구,가야초,서면중
부산진구,가야초,부산개성중
부산진구,가야초,개림중
부산진구,가평초,가야여중
부산진구,가평초,부산개성중
부산진구,가평초,서면중
부산진구,개금초,개금여중
부산진구,개금초,개림중
부산진구,개금초,부산개성중
부산진구,개화초,개림중
부산진구,개화초,개금여중
부산진구,개화초,부산개성중
부산진구,개림초,개림중
부산진구,개림초,개금여중
부산진구,개림초,부산개성중
부산진구,연지초,초읍중
부산진구,연지초,초연중
부산진구,연지초,부산진중
부산진구,연학초,부산진중
부산진구,연학초,초연중
부산진구,연학초,양동여중
부산진구,초읍초,초읍중
부산진구,초읍초,초연중
부산진구,개포초,동양중
부산진구,개포초,개금여중
부산진구,개포초,개림중
부산진구,개원초,동양중
부산진구,개원초,개금여중
부산진구,개원초,개림중
부산진구,동양초,동양중
부산진구,동양초,개금여중
사상구,주례초,주례여중
사상구,주례초,주례중
사상구,주례초,동주중
사상구,주양초,주례여중
사상구,주양초,주례중
사상구,주양초,동양중
연제구,연미초,연제중
연제구,연미초,연산중
연제구,연미초,연일중
동구,초량초,부산중
동구,초량초,선화여중
동구,초량초,경남여중
동구,동일중앙초,경남여중
동구,동일중앙초,부산중
동구,동일중앙초,선화여중
동구,수정초,경남여중
동구,수정초,부산중
동구,수정초,부산서중
동구,수성초,경남여중
동구,수성초,부산중
동구,수성초,부산서중
동구,범일초,금성중
동구,범일초,데레사여중
동구,범일초,부산동여중
동구,범일초,부산서중
동구,성남초,금성중
동구,성남초,데레사여중
동구,성남초,부산서중
중구,광일초,덕원중
중구,광일초,부산여중
중구,광일초,동주여중
중구,광일초,대신중
영도구,봉래초,부산남중
영도구,봉래초,영도중
영도구,봉래초,해도중
영도구,봉래초,신선중
수영구,망미초,망미중
수영구,망미초,수영중
수영구,망미초,동수영중
해운대구,신재초,재송중
해운대구,신재초,재송여중
해운대구,신재초,반안중
수영구,수미초,망미중
수영구,수미초,수영중
수영구,수미초,동수영중
해운대구,신도초,신도중
해운대구,신도초,양운중
해운대구,신도초,부흥중
해운대구,신도초,상당중
해운대구,삼어초,반여중
해운대구,삼어초,반안중
해운대구,삼어초,재송중
해운대구,해원초,해강중
해운대구,해원초,해운대중
해운대구,해원초,해운대여중
기장군,정관초,정관중
기장군,정관초,신정중
기장군,정관초,모전중
기장군,내리초,기장중
기장군,내리초,대청중
기장군,내리초,기장여중
해운대구,인지초,인지중
해운대구,인지초,반여중
해운대구,인지초,반안중
해운대구,동백초,동백중
해운대구,동백초,해강중
해운대구,동백초,해운대중
해운대구,동백초,해운대여중
수영구,광안초,한바다중
수영구,광안초,동아중
수영구,광안초,수영중
해운대구,해동초,해운대중
해운대구,해동초,해운대여중
해운대구,해동초,동백중
해운대구,반산초,반송중
해운대구,반산초,운송중
수영구,배산초,망미중
수영구,배산초,부산수영중
수영구,배산초,동수영중
해운대구,운봉초,운송중
해운대구,운봉초,반송중
해운대구,신진초,재송중
해운대구,신진초,재송여중
해운대구,신진초,반안중
동래구,명장초,학산여중
동래구,명장초,동신중
동래구,명장초,안락중
동래구,명장초,충렬중
연제구,연천초,연천중
연제구,연천초,토현중
연제구,연천초,연산중
연제구,창신초,거제여중
연제구,창신초,이사벨중
연제구,창신초,여명중
연제구,연동초,연산중
연제구,연동초,연일중
연제구,연동초,토현중
금정구,장전초,장전중
금정구,장전초,부곡여중
금정구,장전초,금정중
금정구,장전초,동래여중
금정구,금빛초,장전중
금정구,금빛초,부곡여중
금정구,금빛초,금정중
동래구,교동초,동래중
동래구,교동초,부곡여중
동래구,교동초,동해중
동래구,안진초,안락중
동래구,안진초,동신중
동래구,안진초,학산여중
동래구,안진초,충렬중
금정구,두실초,구서여중
금정구,두실초,남산중
금정구,두실초,금정중
동래구,여고초,여명중
동래구,여고초,이사벨중
동래구,여고초,온천중
연제구,토현초,토현중
연제구,토현초,연천중
연제구,토현초,망미중
동래구,안남초,안락중
동래구,안남초,동신중
동래구,안남초,학산여중
동래구,안남초,충렬중
연제구,연제초,연제중
연제구,연제초,연일중
연제구,연제초,연산중
금정구,남산초,남산중
금정구,남산초,구서여중
금정구,청룡초,금정중
금정구,청룡초,남산중
동래구,달북초,사직중
동래구,달북초,사직여중
동래구,달북초,온천중
연제구,거학초,여명중
연제구,거학초,거제여중
연제구,거학초,이사벨중
연제구,거제초,거제여중
연제구,거제초,이사벨중
연제구,거제초,여명중
동래구,내성초,동래중
동래구,내성초,유락여중
동래구,내성초,동해중
연제구,연신초,연산중
연제구,연신초,연일중
연제구,연신초,연제중
금정구,현곡초,부곡여중
금정구,현곡초,부곡중
금정구,현곡초,금정중
연제구,연미초,연제중
연제구,연미초,연산중
연제구,연미초,연일중
동래구,예원초,사직중
동래구,예원초,사직여중
동래구,예원초,온천중
동래구,충렬초,충렬중
동래구,충렬초,학산여중
동래구,충렬초,안락중
동래구,내산초,유락여중
동래구,내산초,동래중
동래구,내산초,온천중
동래구,명동초,동신중
동래구,명동초,학산여중
동래구,명동초,충렬중
동래구,온샘초,온천중
동래구,온샘초,유락여중
동래구,온샘초,동래중
금정구,서동초,동현중
금정구,서동초,부곡여중
금정구,서동초,금사중
