elementary_school_id,elementary_school_name,middle_school_id,middle_school_name,relation_type,relation_status,assignment_share,override_reason,override_source,updated_at
S020002370,강서초,S020001202,가락중,EXACT,ACTIVE,1.0,2026 북부교육지원청 공식 배정표의 남녀 동일 단일 배정학교 자동검증,D:\90.invest\80.데이터수집\아파트정보수집\kapt\busan_school_analysis\em_school\01.북부교육지청_2026학년도 중입배정 및 전학배정표.pdf; layout line 74,2026-09-11T10:11:25.609479+09:00
S020001242,금곡초,S020001208,금곡중,EXACT,ACTIVE,1.0,2026 북부교육지원청 공식 배정표의 남녀 동일 단일 배정학교 자동검증,D:\90.invest\80.데이터수집\아파트정보수집\kapt\busan_school_analysis\em_school\01.북부교육지청_2026학년도 중입배정 및 전학배정표.pdf; layout line 28,2026-09-11T10:11:25.609479+09:00
S020001243,금창초,S020001208,금곡중,EXACT,ACTIVE,1.0,2026 북부교육지원청 공식 배정표의 남녀 동일 단일 배정학교 자동검증,D:\90.invest\80.데이터수집\아파트정보수집\kapt\busan_school_analysis\em_school\01.북부교육지청_2026학년도 중입배정 및 전학배정표.pdf; layout line 30,2026-09-11T10:11:25.609479+09:00
S020001244,녹명초,S020001211,녹산중,EXACT,ACTIVE,1.0,2026 북부교육지원청 공식 배정표의 남녀 동일 단일 배정학교 자동검증,D:\90.invest\80.데이터수집\아파트정보수집\kapt\busan_school_analysis\em_school\01.북부교육지청_2026학년도 중입배정 및 전학배정표.pdf; layout line 77,2026-09-11T10:11:25.609479+09:00
S020002054,녹산초,S020002073,지사중,EXACT,ACTIVE,1.0,2026 북부교육지원청 공식 배정표의 남녀 동일 단일 배정학교 자동검증,D:\90.invest\80.데이터수집\아파트정보수집\kapt\busan_school_analysis\em_school\01.북부교육지청_2026학년도 중입배정 및 전학배정표.pdf; layout line 83,2026-09-11T10:11:25.609479+09:00
S020001246,대사초,S020001210,낙동중,EXACT,ACTIVE,1.0,2026 북부교육지원청 공식 배정표의 남녀 동일 단일 배정학교 자동검증,D:\90.invest\80.데이터수집\아파트정보수집\kapt\busan_school_analysis\em_school\01.북부교육지청_2026학년도 중입배정 및 전학배정표.pdf; layout line 78,2026-09-11T10:11:25.609479+09:00
S020001247,대상초,S020001210,낙동중,EXACT,ACTIVE,1.0,2026 북부교육지원청 공식 배정표의 남녀 동일 단일 배정학교 자동검증,D:\90.invest\80.데이터수집\아파트정보수집\kapt\busan_school_analysis\em_school\01.북부교육지청_2026학년도 중입배정 및 전학배정표.pdf; layout line 79,2026-09-11T10:11:25.609479+09:00
S020001248,대저중앙초,S020001202,가락중,EXACT,ACTIVE,1.0,2026 북부교육지원청 공식 배정표의 남녀 동일 단일 배정학교 자동검증,D:\90.invest\80.데이터수집\아파트정보수집\kapt\busan_school_analysis\em_school\01.북부교육지청_2026학년도 중입배정 및 전학배정표.pdf; layout line 73,2026-09-11T10:11:25.609479+09:00
S020001250,대저초,S020001210,낙동중,EXACT,ACTIVE,1.0,2026 북부교육지원청 공식 배정표의 남녀 동일 단일 배정학교 자동검증,D:\90.invest\80.데이터수집\아파트정보수집\kapt\busan_school_analysis\em_school\01.북부교육지청_2026학년도 중입배정 및 전학배정표.pdf; layout line 81,2026-09-11T10:11:25.609479+09:00
S020001251,대천리초,S020001213,대천리중,EXACT,ACTIVE,1.0,2026 북부교육지원청 공식 배정표의 남녀 동일 단일 배정학교 자동검증,D:\90.invest\80.데이터수집\아파트정보수집\kapt\busan_school_analysis\em_school\01.북부교육지청_2026학년도 중입배정 및 전학배정표.pdf; layout line 31,2026-09-11T10:11:25.609479+09:00
