kapt_code,kapt_name,legal_dong,kb_complex_id,kb_name,reason_code,reason,match_score,match_confidence,kapt_households,kb_households,types_found,recommended_next_action,source_url
A61273609,부산반송주공,반송동,,,RENTAL_COMPLEX,임대 단지 (sale_type=임대),,unmatched,1710,,0,,
A10022405,드파인센텀아파트,반여동,,,MIXED_RENTAL_COMPLEX,혼합 단지 (sale_type=혼합),,unmatched,750,,0,,
A10024249,센텀트루엘 아파트,반여동,34612.0,해운대센텀트루엘1단지,LOW_MATCH_CONFIDENCE,KB 매칭 confidence 부족 (medium),,medium,531,,0,,
A61279804,센텀SK뷰,반여동,6197.0,센텀에스케이뷰,LOW_MATCH_CONFIDENCE,KB 매칭 confidence 부족 (medium),,medium,1374,,0,,
A10026557,센텀리슈빌 아파트,재송동,29529.0,센텀리슈빌2단지,LOW_MATCH_CONFIDENCE,KB 매칭 confidence 부족 (medium),,medium,753,,0,,
A10026484,해운대 자이2차,우동,,,MIXED_RENTAL_COMPLEX,혼합 단지 (sale_type=혼합),,unmatched,813,,0,,
A61202009,해운대자이,우동,24388.0,해운대자이1단지,LOW_MATCH_CONFIDENCE,KB 매칭 confidence 부족 (medium),,medium,1059,,0,,
A61202011,해운대센텀두산위브,우동,,,MIXED_RENTAL_COMPLEX,혼합 단지 (sale_type=혼합),,unmatched,581,,0,,
A61274213,해운대롯데아파트,우동,6104.0,롯데,LOW_MATCH_CONFIDENCE,KB 매칭 confidence 부족 (medium),,medium,852,,0,,
A61282215,"대우마리나1,2차아파트",우동,,,KB_COMPLEX_NOT_FOUND,KB 단지 매칭 실패 (후보 0개),,unmatched,1164,,0,,
A61282705,센텀센시빌구새한센시빌,우동,,,KB_COMPLEX_NOT_FOUND,KB 단지 매칭 실패 (후보 0개),,unmatched,800,,0,,
A10025181,해운대 LCT 더샵아파트,중동,,,KB_COMPLEX_NOT_FOUND,KB 단지 매칭 실패 (후보 0개),,unmatched,882,,0,,
A61288603,래미안해운대,중동,,,MIXED_RENTAL_COMPLEX,혼합 단지 (sale_type=혼합),,unmatched,747,,0,,
A61203018,해운대대림2차아파트,좌동,,,KB_COMPLEX_NOT_FOUND,KB 단지 매칭 실패 (후보 0개),,unmatched,682,,0,,
A61203022,해운대롯데3차아파트,좌동,,,KB_COMPLEX_NOT_FOUND,KB 단지 매칭 실패 (후보 0개),,unmatched,824,,0,,
A61203025,해운대벽산1차아파트,좌동,,,KB_COMPLEX_NOT_FOUND,KB 단지 매칭 실패 (후보 0개),,unmatched,880,,0,,
A61203029,해운대건영2차아파트,좌동,,,KB_COMPLEX_NOT_FOUND,KB 단지 매칭 실패 (후보 0개),,unmatched,938,,0,,
A61203033,해운대벽산2차아파트,좌동,,,KB_COMPLEX_NOT_FOUND,KB 단지 매칭 실패 (후보 0개),,unmatched,1070,,0,,
A61203034,해운대대동타운아파트,좌동,,,KB_COMPLEX_NOT_FOUND,KB 단지 매칭 실패 (후보 0개),,unmatched,1240,,0,,
A61204001,송정1단지주공아파트,송정동,,,RENTAL_COMPLEX,임대 단지 (sale_type=임대),,unmatched,828,,0,,
A61204002,부산송정2휴먼시아,송정동,,,RENTAL_COMPLEX,임대 단지 (sale_type=임대),,unmatched,890,,0,,
A10023969,사하한신더휴아파트,괴정동,,,MIXED_RENTAL_COMPLEX,혼합 단지 (sale_type=혼합),,unmatched,835,,0,,
A60471810,당리푸르지오,당리동,24378.0,당리푸르지오,HOUSEHOLDS_MISMATCH,"세대수 불일치 (KB합계=494, K-apt=542, 차이=48)",,high,542,,7,,https://kbland.kr/map?complex=24378
A60402003,하단 SK VIEW 아파트,하단동,,,KB_COMPLEX_NOT_FOUND,KB 단지 매칭 실패 (후보 0개),,unmatched,1828,,0,,
A60474002,장림동원로얄듀크,장림동,,,KB_COMPLEX_NOT_FOUND,KB 단지 매칭 실패 (후보 0개),,unmatched,1973,,0,,
A60474516,장림신세대지큐빌아파트,장림동,,,KB_COMPLEX_NOT_FOUND,KB 단지 매칭 실패 (후보 0개),,unmatched,990,,0,,
A60405001,다대롯데캐슬몰운대,다대동,,,KB_COMPLEX_NOT_FOUND,KB 단지 매칭 실패 (후보 0개),,unmatched,3462,,0,,
A60472901,다대푸르지오,다대동,5824.0,부산다대푸르지오,HOUSEHOLDS_MISMATCH,"세대수 불일치 (KB합계=772, K-apt=972, 차이=200)",,high,972,,7,,https://kbland.kr/map?complex=5824
A60475309,3지구도개공아파트,다대동,,,RENTAL_COMPLEX,임대 단지 (sale_type=임대),,unmatched,750,,0,,
A60475411,도개공다대4지구영구임대아파트,다대동,,,RENTAL_COMPLEX,임대 단지 (sale_type=임대),,unmatched,1920,,0,,
A60482013,다대몰운대아파트,다대동,,,KB_COMPLEX_NOT_FOUND,KB 단지 매칭 실패 (후보 0개),,unmatched,2960,,0,,
A60482712,5지구몰운대영구임대아파트,다대동,,,RENTAL_COMPLEX,임대 단지 (sale_type=임대),,unmatched,2107,,0,,
A10024185,부산사하중흥S-클래스,구평동,,,RENTAL_COMPLEX,임대 단지 (sale_type=임대),,unmatched,665,,0,,
A10027306,대림e편한세상사하1차아파트,구평동,,,KB_COMPLEX_NOT_FOUND,KB 단지 매칭 실패 (후보 0개),,unmatched,1068,,0,,
A10027325,구서 SK VIEW 1단지,구서동,,,KB_COMPLEX_NOT_FOUND,KB 단지 매칭 실패 (후보 0개),,unmatched,532,,0,,
A60976501,부곡시영,부곡동,,,RENTAL_COMPLEX,임대 단지 (sale_type=임대),,unmatched,553,,0,,
A60976502,부곡늘푸른아파트,부곡동,5280.0,부곡늘푸른,LOW_MATCH_CONFIDENCE,KB 매칭 confidence 부족 (medium),,medium,885,,0,,
A10020264,에코델타 더 베르힐 아파트,강동동,,,KB_COMPLEX_NOT_FOUND,KB 단지 매칭 실패 (후보 0개),,unmatched,1120,,0,,
A10020378,에코델타시티 푸르지오린,강동동,1044089.0,에코델타시티푸르지오린,HOUSEHOLDS_MISMATCH,"세대수 불일치 (KB합계=886, K-apt=895, 차이=9)",,high,895,,8,,https://kbland.kr/map?complex=1044089
A10022696,부산호반써밋스마트시티아파트,강동동,,,KB_COMPLEX_NOT_FOUND,KB 단지 매칭 실패 (후보 0개),,unmatched,526,,0,,
A10025776,더 힐 시그니처,명지동,,,KB_COMPLEX_NOT_FOUND,KB 단지 매칭 실패 (후보 0개),,unmatched,1210,,0,,
A10025923,스위트팰리스,명지동,,,MIXED_RENTAL_COMPLEX,혼합 단지 (sale_type=혼합),,unmatched,908,,0,,
A10025932,명지금강펜테리움센트럴파크3차,명지동,,,RENTAL_COMPLEX,임대 단지 (sale_type=임대),,unmatched,870,,0,,
A10027953,명지에일린의뜰아파트,명지동,,,KB_COMPLEX_NOT_FOUND,KB 단지 매칭 실패 (후보 0개),,unmatched,980,,0,,
A10028117,명지삼정그린코아,명지동,27834.0,명지삼정그린코아웨스트,LOW_MATCH_CONFIDENCE,KB 매칭 confidence 부족 (medium),,medium,610,,0,,
A61881402,명지극동스타클래스,명지동,,,KB_COMPLEX_NOT_FOUND,KB 단지 매칭 실패 (후보 0개),,unmatched,1124,,0,,
A10025154,명지화전지구우방아이유쉘아파트,화전동,,,KB_COMPLEX_NOT_FOUND,KB 단지 매칭 실패 (후보 0개),,unmatched,1515,,0,,
A61823001,지사휴먼시아,지사동,,,RENTAL_COMPLEX,임대 단지 (sale_type=임대),,unmatched,961,,0,,
A61872201,부산신호사랑으로부영1차아파트,신호동,,,MIXED_RENTAL_COMPLEX,혼합 단지 (sale_type=혼합),,unmatched,1064,,0,,
A61872202,부산신호 사랑으로 부영2차아파트,신호동,,,MIXED_RENTAL_COMPLEX,혼합 단지 (sale_type=혼합),,unmatched,1388,,0,,
A61872203,부산신호사랑으로부영5차,신호동,,,RENTAL_COMPLEX,임대 단지 (sale_type=임대),,unmatched,1109,,0,,
A61872204,부산신호3사랑으로부영3차,신호동,,,RENTAL_COMPLEX,임대 단지 (sale_type=임대),,unmatched,1278,,0,,
A10022890,레이카운티 아파트,거제동,,,MIXED_RENTAL_COMPLEX,혼합 단지 (sale_type=혼합),,unmatched,4470,,0,,
A10025258,아시아드코오롱하늘채,거제동,46817.0,아시아드코오롱하늘채,LOW_MATCH_CONFIDENCE,KB 매칭 confidence 부족 (medium),,medium,660,,0,,
A61176709,거제쌍용스윗닷홈아파트,거제동,,,KB_COMPLEX_NOT_FOUND,KB 단지 매칭 실패 (후보 0개),,unmatched,502,,0,,
A10020498,시청앞 행복주택1단지,연산동,,,RENTAL_COMPLEX,임대 단지 (sale_type=임대),,unmatched,589,,0,,
A10023014,시청앞 행복주택2단지,연산동,,,RENTAL_COMPLEX,임대 단지 (sale_type=임대),,unmatched,999,,0,,
A10023526,힐스테이트연산 아파트,연산동,,,MIXED_RENTAL_COMPLEX,혼합 단지 (sale_type=혼합),,unmatched,1651,,0,,
A10026902,연산동 일동미라주 더 스타,연산동,,,KB_COMPLEX_NOT_FOUND,KB 단지 매칭 실패 (후보 0개),,unmatched,624,,0,,
A10027085,센텀리버sk뷰,연산동,,,KB_COMPLEX_NOT_FOUND,KB 단지 매칭 실패 (후보 0개),,unmatched,529,,0,,
A10027159,브라운스톤연제,연산동,1061231.0,브라운스톤연제,HOUSEHOLDS_MISMATCH,"세대수 불일치 (KB합계=475, K-apt=521, 차이=46)",,high,521,,6,,https://kbland.kr/map?complex=1061231
A61175209,연산한양아파트,연산동,6019.0,한양,LOW_MATCH_CONFIDENCE,KB 매칭 confidence 부족 (medium),,medium,1452,,0,,
A61313002,망미동the#파크리치,망미동,,,KB_COMPLEX_NOT_FOUND,KB 단지 매칭 실패 (후보 0개),,unmatched,862,,0,,
A10025075,e편한세상 오션테라스,민락동,38321.0,e편한세상오션테라스3단지,LOW_MATCH_CONFIDENCE,KB 매칭 confidence 부족 (medium),,medium,1038,,0,,
A61377106,부산더샵센텀포레,민락동,,,MIXED_RENTAL_COMPLEX,혼합 단지 (sale_type=혼합),,unmatched,1006,,0,,
A61377204,롯데캐슬자이안트아파트,민락동,,,KB_COMPLEX_NOT_FOUND,KB 단지 매칭 실패 (후보 0개),,unmatched,591,,0,,
A10020002,드파인 광안,광안동,1849534.0,드파인광안,HOUSEHOLDS_MISMATCH,"세대수 불일치 (KB합계=1169, K-apt=1233, 차이=64)",,high,1233,,7,,https://kbland.kr/map?complex=1849534
A10023607,더샵남천프레스티지아파트,남천동,,,MIXED_RENTAL_COMPLEX,혼합 단지 (sale_type=혼합),,unmatched,975,,0,,
