kapt_code,kapt_name,legal_dong,kapt_households,original_reason_code,recommended_next_action,review_status,sigungu_kapt,bjd_code,road_address,legal_address,total_households,sale_type,approval_date,audit_status,master_overlap,rental_overlap,is_duplicate
A61872201,부산신호사랑으로부영1차아파트,신호동,1064,MIXED_RENTAL_COMPLEX,VERIFY_RENTAL_SPLIT,STILL_PENDING,강서구,2644011700,부산광역시 강서구 신호삼로 27,부산광역시 강서구 신호동 296-1 부산신호사랑으로부영1차아파트,1064.0,혼합,20131231,AUDIT_PASSED,False,False,False
A61872202,부산신호 사랑으로 부영2차아파트,신호동,1388,MIXED_RENTAL_COMPLEX,VERIFY_RENTAL_SPLIT,STILL_PENDING,강서구,2644011700,부산광역시 강서구 신호사로 27,부산광역시 강서구 신호동 298-1 부산신호 사랑으로 부영2차아파트,1388.0,혼합,20140626,AUDIT_PASSED,False,False,False
A10022890,레이카운티 아파트,거제동,4470,MIXED_RENTAL_COMPLEX,VERIFY_RENTAL_SPLIT,STILL_PENDING,연제구,2647010100,부산광역시 연제구 아시아드대로 39,부산광역시 연제구 거제동 1536- 레이카운티 아파트,0.0,혼합,20231129,AUDIT_PASSED,False,False,False
A10025258,아시아드코오롱하늘채,거제동,660,LOW_MATCH_CONFIDENCE,MANUAL_KB_COMPLEX_SELECTION,STILL_PENDING,연제구,2647010100,부산광역시 연제구 종합운동장로28번길 7,부산광역시 연제구 거제동 890-1 아시아드코오롱하늘채,660.0,분양,20191008,AUDIT_PASSED,False,False,False
A61175209,연산한양아파트,연산동,1452,LOW_MATCH_CONFIDENCE,MANUAL_KB_COMPLEX_SELECTION,STILL_PENDING,연제구,2647010200,부산광역시 연제구 온천천남로 110,부산광역시 연제구 연산동 387-1 연산한양아파트,1452.0,분양,19811106,AUDIT_PASSED,False,False,False
A10025075,e편한세상 오션테라스,민락동,1038,LOW_MATCH_CONFIDENCE,MANUAL_KB_COMPLEX_SELECTION,STILL_PENDING,수영구,2650010300,부산광역시 수영구 광안해변로326번길 10,부산광역시 수영구 민락동 113-10 e편한세상 오션테라스,1038.0,분양,20200116,AUDIT_PASSED,False,False,False
A61776104,주례반도보라매머드아파트,주례동,1206,KB_COMPLEX_NOT_FOUND,CHECK_BUILDING_REGISTER,STILL_PENDING,사상구,2653010600,부산광역시 사상구 백양대로 372-22,부산광역시 사상구 주례동 10-21 주례반도보라매머드아파트,1206.0,분양,19960925,AUDIT_PASSED,False,False,False
A61776303,주례럭키아파트,주례동,2293,LOW_MATCH_CONFIDENCE,MANUAL_KB_COMPLEX_SELECTION,STILL_PENDING,사상구,2653010600,부산광역시 사상구 가야대로284번길 12,부산광역시 사상구 주례동 595 주례럭키아파트,2293.0,분양,19870411,AUDIT_PASSED,False,False,False
A61990514,기장한신그린코아아파트,기장읍,1131,KB_COMPLEX_NOT_FOUND,CHECK_BUILDING_REGISTER,STILL_PENDING,기장군,2671025021,부산광역시 기장군 차성로344번길 13,부산광역시 기장군 기장읍 동부리 151-5 기장한신그린코아아파트,1131.0,분양,19950518,AUDIT_PASSED,False,False,False
A61970311,기장서부주공아파트,기장읍,702,KB_COMPLEX_NOT_FOUND,CHECK_BUILDING_REGISTER,STILL_PENDING,기장군,2671025025,부산광역시 기장군 차성서로 123,부산광역시 기장군 기장읍 서부리 101 기장서부주공아파트,702.0,분양,20010530,AUDIT_PASSED,False,False,False
A61990609,기장2주공아파트,기장읍,520,KB_COMPLEX_NOT_FOUND,CHECK_BUILDING_REGISTER,STILL_PENDING,기장군,2671025027,부산광역시 기장군 청강로 6,부산광역시 기장군 기장읍 청강리 333 기장2주공아파트,520.0,분양,19901008,AUDIT_PASSED,False,False,False
A10028081,정관이지더원3차아파트,정관읍,1035,KB_COMPLEX_NOT_FOUND,CHECK_BUILDING_REGISTER,STILL_PENDING,기장군,2671025627,부산광역시 기장군 정관로 385,부산광역시 기장군 정관읍 모전리 730 정관이지더원3차아파트,1035.0,분양,20150330,AUDIT_PASSED,False,False,False
A61990110,정관신도시이지더원1차,정관읍,978,KB_COMPLEX_NOT_FOUND,CHECK_BUILDING_REGISTER,STILL_PENDING,기장군,2671025627,부산광역시 기장군 정관1로 18,부산광역시 기장군 정관읍 모전리 723 정관신도시이지더원1차,978.0,분양,20111201,AUDIT_PASSED,False,False,False
A61996106,EGthe12차,정관읍,756,KB_COMPLEX_NOT_FOUND,CHECK_BUILDING_REGISTER,STILL_PENDING,기장군,2671025627,부산광역시 기장군 정관2로 9,부산광역시 기장군 정관읍 모전리 735 EGthe12차,756.0,분양,20121123,AUDIT_PASSED,False,False,False
A10027503,정관양우내안애,정관읍,830,HOUSEHOLDS_MISMATCH,VERIFY_OFFICIAL_HOUSEHOLDS,STILL_PENDING,기장군,2671025628,부산광역시 기장군 정관5로 144,부산광역시 기장군 정관읍 용수리 1275 정관양우내안애,830.0,분양,20160624,AUDIT_PASSED,False,False,False
A10023912,일광한신더휴센트럴포레,일광읍,1298,LOW_MATCH_CONFIDENCE,MANUAL_KB_COMPLEX_SELECTION,STILL_PENDING,기장군,2671025921,부산광역시 기장군 해빛3로 62,부산광역시 기장군 일광읍 삼성리 792 일광한신더휴센트럴포레,1298.0,분양,20200619,AUDIT_PASSED,False,False,False
