kapt_code,kapt_name,legal_dong,address,total_households,approval_date,sale_type,rental_type,evidence_source,exclusion_reason,processing_status,verified_at
A10028191,감전엘에이치,감전동,부산광역시 사상구 감전동 337 감전엘에이치,622,20141110,임대,공공임대/국민임대,K-apt 공식 분양형태(임대),"순수 임대단지 (일반 분양 주거세대 없음, sale_apartment 제외 대상)",EXCLUDED_RENTAL_ONLY,2026-09-18
A61777410,학장1지구도개공임대,학장동,부산광역시 사상구 학장동 168-7 학장1지구도개공임대,720,19930327,임대,공공임대/국민임대,K-apt 공식 분양형태(임대),"순수 임대단지 (일반 분양 주거세대 없음, sale_apartment 제외 대상)",EXCLUDED_RENTAL_ONLY,2026-09-18
A61970415,부산기장교리,기장읍,부산광역시 기장군 기장읍 교리 170 부산기장교리,875,20031229,임대,공공임대/국민임대,K-apt 공식 분양형태(임대),"순수 임대단지 (일반 분양 주거세대 없음, sale_apartment 제외 대상)",EXCLUDED_RENTAL_ONLY,2026-09-18
A61990213,내리 휴먼시아1단지,기장읍,부산광역시 기장군 기장읍 내리 768 내리 휴먼시아1단지,1002,20081024,임대,공공임대/국민임대,K-apt 공식 분양형태(임대),"순수 임대단지 (일반 분양 주거세대 없음, sale_apartment 제외 대상)",EXCLUDED_RENTAL_ONLY,2026-09-18
A61996105,정관LH4단지,정관읍,부산광역시 기장군 정관읍 달산리 1231 정관LH4단지,964,20120810,임대,LH공공임대,K-apt 공식 분양형태(임대),"순수 임대단지 (일반 분양 주거세대 없음, sale_apartment 제외 대상)",EXCLUDED_RENTAL_ONLY,2026-09-18
A61996112,정관신도시LH5단지,정관읍,부산광역시 기장군 정관읍 달산리 1202 정관신도시LH5단지,1128,20131002,임대,LH공공임대,K-apt 공식 분양형태(임대),"순수 임대단지 (일반 분양 주거세대 없음, sale_apartment 제외 대상)",EXCLUDED_RENTAL_ONLY,2026-09-18
A10025749,부산정관 행복주택,정관읍,부산광역시 기장군 정관읍 모전리 717 부산정관 행복주택,856,20181218,임대,행복주택,K-apt 공식 분양형태(임대),"순수 임대단지 (일반 분양 주거세대 없음, sale_apartment 제외 대상)",EXCLUDED_RENTAL_ONLY,2026-09-18
A10026813,정관 엘에이치 7단지,정관읍,부산광역시 기장군 정관읍 모전리 681 정관 엘에이치 7단지,1934,20170706,임대,공공임대/국민임대,K-apt 공식 분양형태(임대),"순수 임대단지 (일반 분양 주거세대 없음, sale_apartment 제외 대상)",EXCLUDED_RENTAL_ONLY,2026-09-18
A61996103,정관신도시휴먼시아2단지,정관읍,부산광역시 기장군 정관읍 모전리 768 정관신도시휴먼시아2단지,1301,20100104,임대,공공임대/국민임대,K-apt 공식 분양형태(임대),"순수 임대단지 (일반 분양 주거세대 없음, sale_apartment 제외 대상)",EXCLUDED_RENTAL_ONLY,2026-09-18
A61996308,정관신도시휴먼시아1단지,정관읍,부산광역시 기장군 정관읍 용수리 1359 정관신도시휴먼시아1단지,1533,20081229,임대,공공임대/국민임대,K-apt 공식 분양형태(임대),"순수 임대단지 (일반 분양 주거세대 없음, sale_apartment 제외 대상)",EXCLUDED_RENTAL_ONLY,2026-09-18
A10020313,일광동원로얄듀크,일광읍,부산광역시 기장군 일광읍 삼성리 771- 일광동원로얄듀크,1134,20251219,임대,공공임대/국민임대,K-apt 공식 분양형태(임대),"순수 임대단지 (일반 분양 주거세대 없음, sale_apartment 제외 대상)",EXCLUDED_RENTAL_ONLY,2026-09-18
A10023283,금호센트럴베이 행복주택 일광,일광읍,부산광역시 기장군 일광읍 삼성리 853 금호센트럴베이 행복주택 일광,999,20230324,임대,행복주택,K-apt 공식 분양형태(임대),"순수 임대단지 (일반 분양 주거세대 없음, sale_apartment 제외 대상)",EXCLUDED_RENTAL_ONLY,2026-09-18
A10023778,이지더원2차포레온아파트,일광읍,부산광역시 기장군 일광읍 삼성리 812 이지더원2차포레온아파트,786,20220526,임대,공공임대/국민임대,K-apt 공식 분양형태(임대),"순수 임대단지 (일반 분양 주거세대 없음, sale_apartment 제외 대상)",EXCLUDED_RENTAL_ONLY,2026-09-18
A61987101,고촌휴먼시아,철마면,부산광역시 기장군 철마면 고촌리 615 고촌휴먼시아,1084,20100104,임대,공공임대/국민임대,K-apt 공식 분양형태(임대),"순수 임대단지 (일반 분양 주거세대 없음, sale_apartment 제외 대상)",EXCLUDED_RENTAL_ONLY,2026-09-18
