kapt_code,area_group_id,exclusive_area_sqm,supply_area_sqm,type_name,households,source,verified_at,valid_from,valid_to,verification_status,scope,notes
A60106002,exclusive_84.99,84.99,,32평A | 32평B | 32평B1 | 32평C | 32평D | 32평D1,280.0,KB부동산 단지 시세/평형정보 | https://kbland.kr/map?complex=14680,2026-09-18,,,verified,sale_apartment, | 동일 전용면적 타입 세대수 합산; 실거래는 타입 구별 불가
A60106002,exclusive_127,127.0,160.08,48평B,56.0,KB부동산 단지 시세/평형정보 | https://kbland.kr/map?complex=14680,2026-09-18,,,verified,sale_apartment,
A60106002,exclusive_127.05,127.05,160.14,48평D,68.0,KB부동산 단지 시세/평형정보 | https://kbland.kr/map?complex=14680,2026-09-18,,,verified,sale_apartment,
A60106002,exclusive_127.24,127.24,,48평A | 48평A1,90.0,KB부동산 단지 시세/평형정보 | https://kbland.kr/map?complex=14680,2026-09-18,,,verified,sale_apartment, | 동일 전용면적 타입 세대수 합산; 실거래는 타입 구별 불가
A60106002,exclusive_127.29,127.29,160.44,48평C,56.0,KB부동산 단지 시세/평형정보 | https://kbland.kr/map?complex=14680,2026-09-18,,,verified,sale_apartment,
A60106002,exclusive_150.59,150.59,189.81,57평,86.0,KB부동산 단지 시세/평형정보 | https://kbland.kr/map?complex=14680,2026-09-18,,,verified,sale_apartment,
A60106002,exclusive_225.83,225.83,284.65,86평,2.0,KB부동산 단지 시세/평형정보 | https://kbland.kr/map?complex=14680,2026-09-18,,,verified,sale_apartment,
A60106002,exclusive_227.27,227.27,286.46,86평,2.0,KB부동산 단지 시세/평형정보 | https://kbland.kr/map?complex=14680,2026-09-18,,,verified,sale_apartment,
A60681702,exclusive_59.7,59.7,79.93,24평,336.0,KB부동산 단지 시세/평형정보 | https://kbland.kr/map?complex=6034,2026-09-18,,,verified,sale_apartment,
A60681702,exclusive_84.81,84.81,107.91,32평,292.0,KB부동산 단지 시세/평형정보 | https://kbland.kr/map?complex=6034,2026-09-18,,,verified,sale_apartment,
A60681702,exclusive_99.96,99.96,123.4,37평,96.0,KB부동산 단지 시세/평형정보 | https://kbland.kr/map?complex=6034,2026-09-18,,,verified,sale_apartment,
A60681702,exclusive_134.82,134.82,162.2,49평,96.0,KB부동산 단지 시세/평형정보 | https://kbland.kr/map?complex=6034,2026-09-18,,,verified,sale_apartment,
A60681702,exclusive_167.66,167.66,201.31,60평,48.0,KB부동산 단지 시세/평형정보 | https://kbland.kr/map?complex=6034,2026-09-18,,,verified,sale_apartment,
A60675801,exclusive_84.78,84.78,103.66,31평,230.0,KB부동산 단지 시세/평형정보 | https://kbland.kr/map?complex=6037,2026-09-18,,,verified,sale_apartment,
A60675801,exclusive_84.92,84.92,104.1,31평S,176.0,KB부동산 단지 시세/평형정보 | https://kbland.kr/map?complex=6037,2026-09-18,,,verified,sale_apartment,
A60675801,exclusive_122.74,122.74,144.28,43평,138.0,KB부동산 단지 시세/평형정보 | https://kbland.kr/map?complex=6037,2026-09-18,,,verified,sale_apartment,
A60675801,exclusive_149.22,149.22,172.19,52평,88.0,KB부동산 단지 시세/평형정보 | https://kbland.kr/map?complex=6037,2026-09-18,,,verified,sale_apartment,
A60675801,exclusive_189.85,189.85,215.46,65평,44.0,KB부동산 단지 시세/평형정보 | https://kbland.kr/map?complex=6037,2026-09-18,,,verified,sale_apartment,
A60607003,exclusive_59.96,59.96,81.22,24평,218.0,KB부동산 단지 시세/평형정보 | https://kbland.kr/map?complex=13741,2026-09-18,,,verified,sale_apartment,
A60607003,exclusive_74.46,74.46,97.42,29평,36.0,KB부동산 단지 시세/평형정보 | https://kbland.kr/map?complex=13741,2026-09-18,,,verified,sale_apartment,
A60607003,exclusive_84.97,84.97,108.41,32평,234.0,KB부동산 단지 시세/평형정보 | https://kbland.kr/map?complex=13741,2026-09-18,,,verified,sale_apartment,
A60607003,exclusive_101.79,101.79,129.38,39평,40.0,KB부동산 단지 시세/평형정보 | https://kbland.kr/map?complex=13741,2026-09-18,,,verified,sale_apartment,
A10023837,exclusive_84.82,84.82,116.37,35평D,82.0,KB부동산 단지 시세/평형정보 | https://kbland.kr/map?complex=44307,2026-09-18,,,verified,sale_apartment,
A10023837,exclusive_84.93,84.93,117.5,35평E,89.0,KB부동산 단지 시세/평형정보 | https://kbland.kr/map?complex=44307,2026-09-18,,,verified,sale_apartment,
A10023837,exclusive_84.91,84.91,118.2,35평A,357.0,KB부동산 단지 시세/평형정보 | https://kbland.kr/map?complex=44307,2026-09-18,,,verified,sale_apartment,
A10023837,exclusive_84.84,84.84,119.04,36평C,135.0,KB부동산 단지 시세/평형정보 | https://kbland.kr/map?complex=44307,2026-09-18,,,verified,sale_apartment,
A10023837,exclusive_84.8,84.8,119.84,36평B,135.0,KB부동산 단지 시세/평형정보 | https://kbland.kr/map?complex=44307,2026-09-18,,,verified,sale_apartment,
A10023837,exclusive_84.98,84.98,119.87,36평F,41.0,KB부동산 단지 시세/평형정보 | https://kbland.kr/map?complex=44307,2026-09-18,,,verified,sale_apartment,
A10023837,exclusive_115.84,115.84,163.61,49평A,6.0,KB부동산 단지 시세/평형정보 | https://kbland.kr/map?complex=44307,2026-09-18,,,verified,sale_apartment,
A10023837,exclusive_115.73,115.73,165.42,50평B,1.0,KB부동산 단지 시세/평형정보 | https://kbland.kr/map?complex=44307,2026-09-18,,,verified,sale_apartment,
A60675110,exclusive_45.5,45.5,62.48,18평,400.0,KB부동산 단지 시세/평형정보 | https://kbland.kr/map?complex=6054,2026-09-18,,,verified,sale_apartment,
A60675110,exclusive_57.09,57.09,78.3,23평,600.0,KB부동산 단지 시세/평형정보 | https://kbland.kr/map?complex=6054,2026-09-18,,,verified,sale_apartment,
A60680909,exclusive_85.76,85.76,104.61,31평,331.0,KB부동산 단지 시세/평형정보 | https://kbland.kr/map?complex=6056,2026-09-18,,,verified,sale_apartment,
A60680909,exclusive_116.63,116.63,137.8,41평,55.0,KB부동산 단지 시세/평형정보 | https://kbland.kr/map?complex=6056,2026-09-18,,,verified,sale_apartment,
A60680909,exclusive_121.26,121.26,142.79,43평,56.0,KB부동산 단지 시세/평형정보 | https://kbland.kr/map?complex=6056,2026-09-18,,,verified,sale_apartment,
A60680909,exclusive_146.99,146.99,170.44,51평,80.0,KB부동산 단지 시세/평형정보 | https://kbland.kr/map?complex=6056,2026-09-18,,,verified,sale_apartment,
A60680912,exclusive_46.27,46.27,65.78,19평,1340.0,KB부동산 단지 시세/평형정보 | https://kbland.kr/map?complex=6057,2026-09-18,,,verified,sale_apartment,
A61479902,exclusive_84.81,84.81,120.52,36평,156.0,KB부동산 단지 시세/평형정보 | https://kbland.kr/map?complex=14276,2026-09-18,,,verified,sale_apartment,
A61479902,exclusive_84.85,84.85,,37평 | 38평A,204.0,KB부동산 단지 시세/평형정보 | https://kbland.kr/map?complex=14276,2026-09-18,,,verified,sale_apartment, | 동일 전용면적 타입 세대수 합산; 실거래는 타입 구별 불가
A61479902,exclusive_84.86,84.86,127.89,38평B,34.0,KB부동산 단지 시세/평형정보 | https://kbland.kr/map?complex=14276,2026-09-18,,,verified,sale_apartment,
