kapt_code,kapt_name,legal_dong,kapt_address,kapt_households,kb_complex_id,kb_name,kb_address,kb_households,kb_url,match_score,match_confidence,match_method,verified_at
A61475903,태화현대2차아파트,당감동,부산광역시 부산진구 당감동 123 태화현대2차아파트,820.0,5556,당감동태화현대2차,,,https://kbland.kr/map?complex=5556,,high,playwright_search,2026-09-18T10:32:42.794623
A61477806,국제백양아파트,당감동,부산광역시 부산진구 당감동 791 국제백양아파트,1153.0,5557,국제백양,,,https://kbland.kr/map?complex=5557,,high,playwright_search,2026-09-18T10:32:44.968505
A61479605,당감동일스위트아파트,당감동,부산광역시 부산진구 당감동 807-4 당감동일스위트아파트,1090.0,13271,당감동일스위트,,,https://kbland.kr/map?complex=13271,,high,playwright_search,2026-09-18T10:32:47.184457
A61482207,개금주공3단지아파트,당감동,부산광역시 부산진구 당감동 516 개금주공3단지아파트,2716.0,5573,주공(개금주공3단지),,,https://kbland.kr/map?complex=5573,,high,playwright_search,2026-09-18T10:32:49.389657
A61482302,백양뜨란채아파트,당감동,부산광역시 부산진구 당감동 797 백양뜨란채아파트,851.0,5566,백양뜨란채,,,https://kbland.kr/map?complex=5566,,high,playwright_search,2026-09-18T10:32:51.592174
A61482303,백양푸른채,당감동,부산광역시 부산진구 당감동 794 백양푸른채,1116.0,5564,백양푸른채,,,https://kbland.kr/map?complex=5564,,high,playwright_search,2026-09-18T10:32:53.794698
A10020213,가야역롯데캐슬스카이엘아파트,가야동,부산광역시 부산진구 가야동 3-11 가야역롯데캐슬스카이엘아파트,725.0,2136163,가야역롯데캐슬스카이엘(주상복합),,,https://kbland.kr/map?complex=2136163,,high,playwright_search,2026-09-18T10:32:55.993996
A61476403,가야벽산아파트,가야동,부산광역시 부산진구 가야동 668 가야벽산아파트,1772.0,5495,가야벽산,,,https://kbland.kr/map?complex=5495,,high,playwright_search,2026-09-18T10:33:00.254408
A61479502,가야반도보라빌,가야동,부산광역시 부산진구 가야동 588 가야반도보라빌,1048.0,13269,가야반도보라빌,,,https://kbland.kr/map?complex=13269,,high,playwright_search,2026-09-18T10:33:02.460357
A10023409,이진젠시티,개금동,부산광역시 부산진구 개금동 187-1 이진젠시티,736.0,43586,이진젠시티개금,,,https://kbland.kr/map?complex=43586,,high,playwright_search,2026-09-18T10:33:04.660210
A10026363,금강펜테리움 더 스퀘어,개금동,부산광역시 부산진구 개금동 875 금강펜테리움 더 스퀘어,620.0,29812,개금역금강펜테리움더스퀘어,,,https://kbland.kr/map?complex=29812,,high,playwright_search,2026-09-18T10:33:06.855832
A61475512,개금주공2단지,개금동,부산광역시 부산진구 개금동 53 개금주공2단지,2544.0,5575,주공(2단지),,,https://kbland.kr/map?complex=5575,,high,playwright_search,2026-09-18T10:33:09.049725
A61477009,개금우드빌,개금동,부산광역시 부산진구 개금동 1-7 개금우드빌,980.0,36293,개금우드빌,,,https://kbland.kr/map?complex=36293,,high,playwright_search,2026-09-18T10:33:11.260221
A61477105,개금아이파크,개금동,부산광역시 부산진구 개금동 618-2 개금아이파크,1424.0,5583,개금아이파크,,,https://kbland.kr/map?complex=5583,,high,playwright_search,2026-09-18T10:33:13.521096
A61477403,개금시영아파트,개금동,부산광역시 부산진구 개금동 627-1 개금시영아파트,633.0,5585,시영,,,https://kbland.kr/map?complex=5585,,high,playwright_search,2026-09-18T10:33:15.702148
A61480908,동원화인패밀리타운,개금동,부산광역시 부산진구 개금동 1-12 동원화인패밀리타운,894.0,5577,동원화인패밀리타운,,,https://kbland.kr/map?complex=5577,,high,playwright_search,2026-09-18T10:33:17.897211
A61481111,신개금LG아파트,개금동,부산광역시 부산진구 개금동 455 신개금LG아파트,2510.0,5572,신개금LG(1차),,,,,medium,playwright_search,2026-09-18T10:33:26.335079
A10026360,동래동일스위트,명장동,부산광역시 동래구 명장동 617 동래동일스위트,702.0,31355,동래동일스위트,,,https://kbland.kr/map?complex=31355,,high,playwright_search,2026-09-18T10:33:30.552364
A10027972,안락경동리인아파트,안락동,부산광역시 동래구 안락동 1258 안락경동리인아파트,693.0,29234,안락경동리인,,,https://kbland.kr/map?complex=29234,,high,playwright_search,2026-09-18T10:33:32.745066
A60710004,안락뜨란채2단지아파트,안락동,부산광역시 동래구 안락동 1242 안락뜨란채2단지아파트,1420.0,13826,안락뜨란채2단지,,,https://kbland.kr/map?complex=13826,,high,playwright_search,2026-09-18T10:33:34.918378
A60777604,안락현대아파트,안락동,부산광역시 동래구 안락동 15-26 안락현대아파트,738.0,5494,안락동현대,,,https://kbland.kr/map?complex=5494,,high,playwright_search,2026-09-18T10:33:45.396521
A60778502,강변뜨란채,안락동,부산광역시 동래구 안락동 1251 강변뜨란채,814.0,14533,강변뜨란채,,,https://kbland.kr/map?complex=14533,,high,playwright_search,2026-09-18T10:33:47.550486
A60782701,동래화목타운,안락동,부산광역시 동래구 안락동 962 동래화목타운,793.0,5485,동래화목타운,,,https://kbland.kr/map?complex=5485,,high,playwright_search,2026-09-18T10:33:49.758734
A10025662,포레나동래아파트,낙민동,부산광역시 동래구 낙민동 133-3 포레나동래아파트,732.0,31578,포레나동래,,,https://kbland.kr/map?complex=31578,,high,playwright_search,2026-09-18T10:33:51.950069
