학구ID,학교ID,학교명,학교급구분,시도교육청코드,시도교육청명,교육지원청코드,교육지원청명,데이터기준일자
Z000106115,B000005736,조치원교동초등학교,초등학교,9300000,세종특별자치시교육청,9300000,세종특별자치시교육청,2025-09-22
Z000105025,B000007002,모아초등학교,초등학교,8750000,경상북도교육청,8771000,경상북도경주교육지원청,2025-09-22
Z000150829,B000007002,모아초등학교,초등학교,8750000,경상북도교육청,8771000,경상북도경주교육지원청,2025-09-22
Z000150830,B000007002,모아초등학교,초등학교,8750000,경상북도교육청,8771000,경상북도경주교육지원청,2025-09-22
Z000150831,B000007002,모아초등학교,초등학교,8750000,경상북도교육청,8771000,경상북도경주교육지원청,2025-09-22
Z000150832,B000007002,모아초등학교,초등학교,8750000,경상북도교육청,8771000,경상북도경주교육지원청,2025-09-22
Z000150833,B000007002,모아초등학교,초등학교,8750000,경상북도교육청,8771000,경상북도경주교육지원청,2025-09-22
Z000150834,B000007002,모아초등학교,초등학교,8750000,경상북도교육청,8771000,경상북도경주교육지원청,2025-09-22
Z000150835,B000007002,모아초등학교,초등학교,8750000,경상북도교육청,8771000,경상북도경주교육지원청,2025-09-22
Z000150836,B000007002,모아초등학교,초등학교,8750000,경상북도교육청,8771000,경상북도경주교육지원청,2025-09-22
Z000150837,B000007002,모아초등학교,초등학교,8750000,경상북도교육청,8771000,경상북도경주교육지원청,2025-09-22
Z000150840,B000007002,모아초등학교,초등학교,8750000,경상북도교육청,8771000,경상북도경주교육지원청,2025-09-22
Z000150841,B000007002,모아초등학교,초등학교,8750000,경상북도교육청,8771000,경상북도경주교육지원청,2025-09-22
Z000150842,B000007002,모아초등학교,초등학교,8750000,경상북도교육청,8771000,경상북도경주교육지원청,2025-09-22
Z000150844,B000007002,모아초등학교,초등학교,8750000,경상북도교육청,8771000,경상북도경주교육지원청,2025-09-22
Z000151206,B000007002,모아초등학교,초등학교,8750000,경상북도교육청,8771000,경상북도경주교육지원청,2025-09-22
Z000150839,B000007002,모아초등학교,초등학교,8750000,경상북도교육청,8771000,경상북도경주교육지원청,2025-09-22
Z000150843,B000007002,모아초등학교,초등학교,8750000,경상북도교육청,8771000,경상북도경주교육지원청,2025-09-22
Z000101730,B000003548,울산중앙초등학교,초등학교,7480000,울산광역시교육청,7501000,울산광역시강남교육지원청,2025-09-22
Z000102165,B000004104,시흥장현초등학교,초등학교,7530000,경기도교육청,7781000,경기도시흥교육지원청,2025-09-22
Z000106308,B000025756,인천청호초등학교,초등학교,7310000,인천광역시교육청,7361000,인천광역시서부교육지원청,2025-09-22
Z000103855,B000005729,복수초등학교,초등학교,8140000,충청남도교육청,8201000,충청남도금산교육지원청,2025-09-22
Z000100969,B000002841,대구칠곡초등학교,초등학교,7240000,대구광역시교육청,7261000,대구광역시서부교육지원청,2025-09-22
Z000150689,B000005089,봉래초등학교,초등학교,7801000,강원특별자치도교육청,7902000,강원특별자치도영월교육지원청,2025-09-22
Z000151322,B000005089,봉래초등학교,초등학교,7801000,강원특별자치도교육청,7902000,강원특별자치도영월교육지원청,2025-09-22
