kapt_code,kapt_name,final_status,master_included,excluded,pending,verification_source,area_row_count,notes
A61477806,국제백양아파트,VERIFIED_MASTER,True,False,False,KB부동산 / 공식자료,6,
A61479605,당감동일스위트아파트,VERIFIED_MASTER,True,False,False,KB부동산 / 공식자료,5,
A61482207,개금주공3단지아파트,VERIFIED_MASTER,True,False,False,KB부동산 / 공식자료,11,
A61482302,백양뜨란채아파트,VERIFIED_MASTER,True,False,False,KB부동산 / 공식자료,7,
A61482303,백양푸른채,VERIFIED_MASTER,True,False,False,KB부동산 / 공식자료,8,
A10020213,가야역롯데캐슬스카이엘아파트,VERIFIED_MASTER,True,False,False,KB부동산 / 공식자료,5,
A10023627,가야롯데캐슬 골드아너,VERIFIED_MASTER,True,False,False,KB부동산 / 공식자료,6,
A61476403,가야벽산아파트,VERIFIED_MASTER,True,False,False,KB부동산 / 공식자료,8,
A61479502,가야반도보라빌,VERIFIED_MASTER,True,False,False,KB부동산 / 공식자료,4,
A10023409,이진젠시티,VERIFIED_MASTER,True,False,False,KB부동산 / 공식자료,5,
A10026363,금강펜테리움 더 스퀘어,VERIFIED_MASTER,True,False,False,KB부동산 / 공식자료,6,
A61475512,개금주공2단지,VERIFIED_MASTER,True,False,False,KB부동산 / 공식자료,7,
A61477009,개금우드빌,VERIFIED_MASTER,True,False,False,KB부동산 / 공식자료,2,
A61477105,개금아이파크,VERIFIED_MASTER,True,False,False,KB부동산 / 공식자료,8,
A61477403,개금시영아파트,VERIFIED_MASTER,True,False,False,KB부동산 / 공식자료,2,
A61480908,동원화인패밀리타운,VERIFIED_MASTER,True,False,False,KB부동산 / 공식자료,3,
A61480910,개금2지구도개공임대아파트,EXCLUDED_RENTAL_ONLY,False,True,False,공공/국민임대 공식확인,0,
A61481111,신개금LG아파트,VERIFIED_MASTER,True,False,False,KB부동산 / 공식자료,6,
A10025342,e편한세상동래명장,VERIFIED_MASTER,True,False,False,KB부동산 / 공식자료,13,
A10026360,동래동일스위트,VERIFIED_MASTER,True,False,False,KB부동산 / 공식자료,4,
A10027972,안락경동리인아파트,VERIFIED_MASTER,True,False,False,KB부동산 / 공식자료,13,
A60710004,안락뜨란채2단지아파트,VERIFIED_MASTER,True,False,False,KB부동산 / 공식자료,5,
A60777205,안락1차SK아파트,VERIFIED_MASTER,True,False,False,KB부동산 / 공식자료,8,
A60777206,부산안락4휴먼시아,EXCLUDED_RENTAL_ONLY,False,True,False,공공/국민임대 공식확인,0,
A60777604,안락현대아파트,VERIFIED_MASTER,True,False,False,KB부동산 / 공식자료,5,
A60778502,강변뜨란채,VERIFIED_MASTER,True,False,False,KB부동산 / 공식자료,3,
A60782701,동래화목타운,VERIFIED_MASTER,True,False,False,KB부동산 / 공식자료,6,
